"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Number of Patients 1","Footnote 1","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Number of Patients 2","Footnote 2","Percent of Heart Failure Patients Given Discharge Instructions","Number of Patients 3","Footnote 3"
"451354","HAMILTON HOSPITAL","901 WEST HAMILTON","","","OLNEY","TX","76374","YOUNG","9405645521","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"451356","MEMORIAL MEDICAL CENTER","815 N VIRGINIA STREET","","","PORT LAVACA","TX","77979","CALHOUN","3615526713","81","26","Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","94","18","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"451357","LITTLE RIVER HEALTHCARE","1700 BRAZOS","","","ROCKDALE","TX","76567","MILAM","5124464500","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"451361","SABINE COUNTY HOSPITAL","PO BOX 750, 2301 HWY 83 W","","","HEMPHILL","TX","75948","SABINE","4097873300","6","18","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","62","13","The number of cases/patients is too few to report"
"451364","OTTO KAISER MEMORIAL HOSPITAL","3349 S HIGHWAY 181","","","KENEDY","TX","78119","KARNES","8305833401","100","12","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"451365","SETON HIGHLAND LAKES","HIGHWAY 281 SOUTH","","","BURNET","TX","78611","BURNET","5127153000","100","21","The number of cases/patients is too few to report","100","11","The number of cases/patients is too few to report","100","29",""
"451366","COCHRAN MEMORIAL HOSPITAL","205 E GRANT STREET","","","MORTON","TX","79346","COCHRAN","8062665565","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"451367","EAST TEXAS MEDICAL CENTER PITTSBURG","2701 US HWY 271 N","","","PITTSBURG","TX","75686","CAMP","9038564520","63","27","Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","33","21","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"451369","GOLDEN PLAINS COMMUNITY HOSPITAL","100 MEDICAL DRIVE","","","BORGER","TX","79007","HUTCHINSON","8062731100","65","31","","Not Available","Not Available","The number of cases/patients is too few to report","83","23","The number of cases/patients is too few to report"
"451370","RED RIVER REGIONAL HOSPITAL","504 LIPSCOMB STREET","","","BONHAM","TX","75418","FANNIN","9036407311","96","56","","100","22","The number of cases/patients is too few to report","100","24","The number of cases/patients is too few to report"
"451371","SETON EDGAR B DAVIS HOSPITAL","130 HAYS STREET","","","LULING","TX","78648","CALDWELL","8308757000","100","46","","Not Available","Not Available","The number of cases/patients is too few to report","100","32",""
"451372","MULESHOE AREA MEDICAL CENTER","708 S 1ST ST","","","MULESHOE","TX","79347","BAILEY","8062724524","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"451373","WARD MEMORIAL HOSPITAL","406 SOUTH GARY ST","","","MONAHANS","TX","79756","WARD","4329432511","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"451374","SCOTT & WHITE HOSPITAL-TAYLOR","305 MALLARD","","","TAYLOR","TX","76574","WILLIAMSON","5123527611","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"451376","LAVACA MEDICAL CENTER","1400 NORTH TEXANA STREET","","","HALLETTSVILLE","TX","77964","LAVACA","3617983671","92","25","Data submitted were based on a sample of cases/patients","Not Available","Not Available","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","Not Available","Not Available","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report"
"451377","REEVES COUNTY HOSPITAL DISTRICT","2323 TEXAS STREET","","","PECOS","TX","79772","REEVES","4324473551","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"451378","BIG BEND REGIONAL MEDICAL CENTER","2600 HIGHWAY 118 NORTH","","","ALPINE","TX","79830","BREWSTER","4328373447","100","23","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","Not Available","Not Available","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","100","22","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report"
"451379","CORYELL MEMORIAL HEALTHCARE SYSTEM","1507 W MAIN STREET","","","GATESVILLE","TX","76528","CORYELL","2548658251","100","17","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"451380","EAST TEXAS MEDICAL CENTER QUITMAN","117 WINNSBORO STREET","","","QUITMAN","TX","75783","WOOD","9037634500","76","25","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required","Not Available","Not Available","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report","89","18","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"453300","COOK CHILDRENS MEDICAL CENTER","801 SEVENTH AVENUE","","","FORT WORTH","TX","76104","TARRANT","6828854000","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"453301","DRISCOLL CHILDRENS HOSPITAL","3533 S ALAMEDA BOX 6530","","","CORPUS CHRISTI","TX","78411","NUECES","5128505000","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"453310","DELL CHILDREN'S MEDICAL CENTER OF CENTRAL TEXAS","4900 MUELLER BLVD","","","AUSTIN","TX","78723","TRAVIS","5123240000","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"460001","UTAH VALLEY REGIONAL MEDICAL CENTER","1034 NORTH 500 WEST","","","PROVO","UT","84604","UTAH","8013737850","100","204","","99","70","","93","160",""
"460003","SALT LAKE REGIONAL MEDICAL CENTER","1050 EAST SOUTH TEMPLE","","","SALT LAKE CITY","UT","84102","SALT LAKE","8013504111","100","57","","100","17","The number of cases/patients is too few to report","97","37",""
"460004","MCKAY DEE HOSPITAL CENTER","4401 HARRISON BOULEVARD","","","OGDEN","UT","84403","WEBER","8013872800","99","234","","97","64","","98","185",""
"460005","OGDEN REGIONAL MEDICAL CENTER","5475 SOUTH 500 EAST","","","OGDEN","UT","84405","WEBER","8014792111","100","83","Data submitted were based on a sample of cases/patients","100","22","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","100","69","Data submitted were based on a sample of cases/patients"
"460006","LDS HOSPITAL","324 8TH AVENUE","","","SALT LAKE CITY","UT","84103","SALT LAKE","8014081100","100","65","","93","14","The number of cases/patients is too few to report","100","56",""
"460007","VALLEY VIEW MEDICAL CENTER","1303 NORTH MAIN STREET","","","CEDAR CITY","UT","84721","IRON","4358685800","100","35","","Not Available","Not Available","The number of cases/patients is too few to report","84","31",""
"460009","UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","50 NORTH MEDICAL DRIVE","","","SALT LAKE CITY","UT","84132","SALT LAKE","8015812121","100","247","","100","84","","99","223",""
"460010","INTERMOUNTAIN MEDICAL CENTER","5121 SOUTH COTTONWOOD STREET","","","MURRAY","UT","84107","SALT LAKE","8015077000","100","478","","98","181","","99","412",""
"460011","CASTLEVIEW HOSPITAL","300 NORTH HOSPITAL DRIVE","","","PRICE","UT","84501","CARBON","4356374800","96","28","","Not Available","Not Available","The number of cases/patients is too few to report","89","19","The number of cases/patients is too few to report"
"460013","MOUNTAIN VIEW HOSPITAL","1000 EAST 100 NORTH","","","PAYSON","UT","84651","UTAH","8014657100","100","34","Data submitted were based on a sample of cases/patients","Not Available","Not Available","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","96","25","Data submitted were based on a sample of cases/patients"
"460014","MOUNTAIN WEST MEDICAL CENTER","2055 NORTH MAIN STREET","","","TOOELE","UT","84074","TOOELE","4358433700","100","42","Data submitted were based on a sample of cases/patients","Not Available","Not Available","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","100","37","Data submitted were based on a sample of cases/patients"
"460015","LOGAN REGIONAL HOSPITAL","500 EAST 1400 NORTH","","","LOGAN","UT","84341","CACHE","4357161000","100","42","","Not Available","Not Available","The number of cases/patients is too few to report","89","28",""
"460017","BRIGHAM CITY COMMUNITY HOSPITAL","950 SOUTH MEDICAL DRIVE","","","BRIGHAM CITY","UT","84302","BOX ELDER","4357349471","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"460019","UINTAH BASIN MEDICAL CENTER","250 WEST 300 NORTH (75-2)","","","ROOSEVELT","UT","84066","DUCHESNE","4357224691","80","44","","Not Available","Not Available","The number of cases/patients is too few to report","51","35",""
"460021","DIXIE REGIONAL MEDICAL CENTER","1380 EAST MEDICAL CENTER DRIVE","","","ST GEORGE","UT","84790","WASHINGTON","4352511000","100","243","","98","51","","97","199",""
"460023","AMERICAN FORK HOSPITAL","170 NORTH 1100 EAST","","","AMERICAN FORK","UT","84003","UTAH","8018553300","100","42","","100","11","The number of cases/patients is too few to report","95","38",""
"460026","SEVIER VALLEY MEDICAL CENTER","1000 NORTH MAIN STREET","","","RICHFIELD","UT","84701","SEVIER","4358934100","100","14","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"46002F","VA SALT LAKE CITY HEALTHCARE - GEORGE E. WAHLEN VA","500 FOOTHILL BLVD.","","","SALT LAKE CITY                ","UT","84148","SALT LAKE","8015841211","100","242","","99","103","","100","219",""
"460030","ASHLEY REGIONAL MEDICAL CENTER","150 WEST 100 NORTH","","","VERNAL","UT","84078","UINTAH","4357893342","94","33","","Not Available","Not Available","The number of cases/patients is too few to report","96","24","The number of cases/patients is too few to report"
"460033","GARFIELD MEMORIAL HOSPITAL","200 NORTH 400 EAST","","","PANGUITCH","UT","84759","GARFIELD","4356768811","100","16","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","76","17","The number of cases/patients is too few to report"
"460035","BEAVER VALLEY HOSPITAL","1109 NORTH 100 WEST","","","BEAVER","UT","84713","BEAVER","4354387102","Not Available","Not Available","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","Data submitted were based on a sample of cases/patients., No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"460039","BEAR RIVER VALLEY HOSPITAL","905 NORTH 1000 WEST","","","TREMONTON","UT","84337","BOX ELDER","4352074708","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"460041","DAVIS HOSPITAL AND MEDICAL CENTER","1600 WEST ANTELOPE DRIVE","","","LAYTON","UT","84041","DAVIS","8018071000","100","89","","100","28","","95","66",""
"460042","LAKEVIEW HOSPITAL","630 EAST MEDICAL DRIVE","","","BOUNTIFUL","UT","84010","DAVIS","8012992211","100","55","","100","14","The number of cases/patients is too few to report","100","34",""
"460043","OREM COMMUNITY HOSPITAL","331 NORTH 400 WEST","","","OREM","UT","84057","UTAH","8017143307","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"460044","ALTA VIEW HOSPITAL","9660 SOUTH 1300 EAST","","","SANDY","UT","84094","SALT LAKE","8015012600","100","32","","Not Available","Not Available","The number of cases/patients is too few to report","96","24","The number of cases/patients is too few to report"
"460047","ST MARKS HOSPITAL","1200 EAST 3900 SOUTH","","","SALT LAKE CITY","UT","84124","SALT LAKE","8012687111","100","198","","100","85","","100","138",""
"460049","THE ORTHOPEDIC SPECIALTY HOSPITAL","5848 SOUTH 300 EAST","","","MURRAY","UT","84107","SALT LAKE","8013144100","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"460051","JORDAN VALLEY MEDICAL CENTER","3580 WEST 9000 SOUTH","","","WEST JORDAN","UT","84088","SALT LAKE","8015618888","99","108","","100","43","","100","94",""
"460052","TIMPANOGOS REGIONAL HOSPITAL","750 WEST 800 NORTH","","","OREM","UT","84057","UTAH","8017146800","100","25","","Not Available","Not Available","The number of cases/patients is too few to report","100","17","The number of cases/patients is too few to report"
"460054","CACHE VALLEY SPECIALITY HOSPITAL","2380 NORTH 400 EAST","","","NORTH LOGAN","UT","84341","CACHE","4357139700","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"460057","PARK CITY MEDICAL CENTER","900 ROUND VALLEY DRIVE","","","PARK CITY","UT","84060","SUMMIT","4356587000","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"460058","RIVERTON HOSPITAL","3741 WEST 12600 SOUTH","","","RIVERTON","UT","84065","SALT LAKE","8012854000","100","21","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","100","20","The number of cases/patients is too few to report"
"461300","DELTA COMMUNITY MEDICAL CENTER","126 SOUTH WHITE SAGE AVENUE","","","DELTA","UT","84624","MILLARD","4358645591","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"461301","FILLMORE COMMUNITY MEDICAL CENTER","674 SOUTH HIGHWAY 99","","","FILLMORE","UT","84631","MILLARD","4357435591","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"461302","MOAB REGIONAL HOSPITAL","450 WEST WILLIAMS WAY","","","MOAB","UT","84532","GRAND","4357193501","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"461303","SANPETE VALLEY HOSPITAL - CAH","1100 SOUTH MEDICAL DRIVE","","","MOUNT PLEASANT","UT","84647","SANPETE","4357622441","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"461304","CENTRAL VALLEY MEDICAL CENTER - CAH","48 WEST 1500 NORTH","","","NEPHI","UT","84648","JUAB","4356233000","67","18","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","Not Available","Not Available","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","100","16","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report"
"461305","MILFORD VALLEY MEMORIAL HOSPITAL","850 NORTH MAIN STREET","","","MILFORD","UT","84751","BEAVER","4353872411","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"461306","GUNNISON VALLEY HOSPITAL","64 EAST 100 NORTH","","","GUNNISON","UT","84634","SANPETE","4355287246","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"461307","HEBER VALLEY MEDICAL CENTER","1485 SOUTH HIGHWAY 40","","","HEBER CITY","UT","84032","WASATCH","4356542500","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"461308","SAN JUAN HOSPITAL","380 WEST 100 NORTH","","","MONTICELLO","UT","84535","SAN JUAN","4355872116","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"461309","KANE COUNTY HOSPITAL","355 NORTH MAIN STREET","","","KANAB","UT","84741","KANE","4356445811","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"461310","BLUE MOUNTAIN HOSPITAL","802 SOUTH 200 WEST","","","BLANDING","UT","84511","SAN JUAN","4356783993","Not Available","Not Available","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","Data submitted were based on a sample of cases/patients., No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"463301","PRIMARY CHILDRENS MEDICAL CENTER","100 NORTH MARIO CAPECCHI DRIVE","","","SALT LAKE CITY","UT","84113","SALT LAKE","8016626200","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"470001","CENTRAL VERMONT MEDICAL CENTER","BOX 547","","","BARRE","VT","05641","WASHINGTON","8023714100","100","84","","100","22","The number of cases/patients is too few to report","95","62",""
"470003","FLETCHER ALLEN HOSPITAL OF VERMONT","111 COLCHESTER AVE","","","BURLINGTON","VT","05401","CHITTENDEN","8028470000","100","511","","99","166","","99","414",""
"470005","RUTLAND REGIONAL MEDICAL CENTER","160 ALLEN ST","","","RUTLAND","VT","05701","RUTLAND","8027757111","100","123","","95","43","","86","96",""
"470011","BRATTLEBORO MEMORIAL HOSPITAL","17 BELMONT AVE","","","BRATTLEBORO","VT","05301","WINDHAM","8022570341","100","29","","Not Available","Not Available","The number of cases/patients is too few to report","89","18","The number of cases/patients is too few to report"
"470012","SOUTHWESTERN VERMONT MEDICAL CENTER","100 HOSPITAL DRIVE","","","BENNINGTON","VT","05201","BENNINGTON","8024426361","100","102","","100","22","The number of cases/patients is too few to report","83","65",""
"47001F","WHITE RIVER JCT VA MEDICAL CENTER","215 N. MAIN ST.","","","WHITE RIVER JUNCTION          ","VT","05009","WINDSOR","8022959363","100","77","","73","22","The number of cases/patients is too few to report","86","70",""
"470024","NORTHWESTERN MEDICAL CENTER INC","133 FAIRFIELD STREET","","","SAINT ALBANS","VT","05478","FRANKLIN","8025245911","100","40","","Not Available","Not Available","The number of cases/patients is too few to report","93","27",""
"471300","GRACE COTTAGE HOSPITAL","PO BOX 216","","","TOWNSHEND","VT","05353","WINDHAM","8023657920","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"471301","GIFFORD MEDICAL CENTER","44 SOUTH MAIN STREET","","","RANDOLPH","VT","05060","ORANGE","8027284441","100","33","","Not Available","Not Available","The number of cases/patients is too few to report","100","28",""
"471302","MT ASCUTNEY HOSPITAL","289 COUNTY ROAD","","","WINDSOR","VT","05089","WINDSOR","8026746711","95","20","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"471303","NORTHEASTERN VERMONT REGIONAL HOSPITAL","1315 HOSPITAL DRIVE","","","SAINT JOHNSBURY","VT","05819","CALEDONIA","8027487400","100","28","","Not Available","Not Available","The number of cases/patients is too few to report","100","17","The number of cases/patients is too few to report"
"471304","NORTH COUNTRY HOSPITAL AND HEALTH CENTER","189 PROUTY DRIVE","","","NEWPORT","VT","05855","ORLEANS","8023347331","100","36","","Not Available","Not Available","The number of cases/patients is too few to report","85","20","The number of cases/patients is too few to report"
"471305","COPLEY HOSPITAL","528 WASHINGTON HIGHWAY","","","MORRISVILLE","VT","05661","LAMOILLE","8028884231","100","40","","Not Available","Not Available","The number of cases/patients is too few to report","78","37",""
"471306","SPRINGFIELD HOSPITAL","PO BOX 2003","","","SPRINGFIELD","VT","05156","WINDSOR","8028852151","100","54","","100","19","The number of cases/patients is too few to report","100","33",""
"471307","PORTER HOSPITAL, INC","115 PORTER DRIVE","","","MIDDLEBURY","VT","05753","ADDISON","8023884701","100","53","","Not Available","Not Available","The number of cases/patients is too few to report","87","45",""
"480001","ROY LESTER SCHNEIDER HOSPITAL,THE","9048 SUGAR ESTATE","","","ST THOMAS","VI","00801","SAINT THOMAS","8097768311","95","79","","94","35","","97","77",""
"480002","GOV JUAN F LUIS HOSPITAL & MEDICAL CTR","#4007 EST DIAMOND RUBY, CHRISTIANSTED","","","ST CROIX","VI","00820","SAINT CROIX","3407786311","100","80","","95","43","","100","80",""
"490001","NORTON COMMUNITY HOSPITAL","100  15TH ST NW","","","NORTON","VA","24273","NORTON CITY","7036798865","98","95","Data submitted were based on a sample of cases/patients","100","13","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","94","80","Data submitted were based on a sample of cases/patients"
"490002","RUSSELL COUNTY MEDICAL CENTER","58 CARROLL STREET","","","LEBANON","VA","24266","RUSSELL","2768838100","91","67","Data submitted were based on a sample of cases/patients","95","19","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","81","58","Data submitted were based on a sample of cases/patients"
"490004","ROCKINGHAM MEMORIAL HOSPITAL","2010 HEALTH CAMPUS DRIVE","","","HARRISONBURG","VA","22801","HARRISONBURG CITY","5406891000","100","361","Data submitted were based on a sample of cases/patients","98","95","Data submitted were based on a sample of cases/patients","97","288","Data submitted were based on a sample of cases/patients"
"490005","WINCHESTER MEDICAL CENTER","220 CAMPUS BLVD SUITE 210","","","WINCHESTER","VA","22601","WINCHESTER CITY","5405368000","100","386","Data submitted were based on a sample of cases/patients","99","111","Data submitted were based on a sample of cases/patients","94","350","Data submitted were based on a sample of cases/patients"
"490007","SENTARA NORFOLK GENERAL HOSPITAL","600 GRESHAM DR","","","NORFOLK","VA","23507","NORFOLK CITY","7573883000","100","895","Data submitted were based on a sample of cases/patients","99","360","Data submitted were based on a sample of cases/patients","99","817","Data submitted were based on a sample of cases/patients"
"490009","UNIVERSITY OF VIRGINIA MEDICAL CENTER","JEFFERSON PARK AVE","","","CHARLOTTESVILLE","VA","22908","CHARLOTTESVILLE CITY","8002513627","100","278","Data submitted were based on a sample of cases/patients","97","105","Data submitted were based on a sample of cases/patients","99","225","Data submitted were based on a sample of cases/patients"
"490011","BON SECOURS DEPAUL MEDICAL CENTER","150 KINGSLEY LANE","","","NORFOLK","VA","23505","NORFOLK CITY","7578895000","99","211","","100","76","","84","170",""
"490012","WELLMONT LEE REGIONAL MEDICAL CENTER","127 HEALTH CARE DRIVE","","","PENNINGTON GAP","VA","24277","LEE","2765461440","93","67","","77","13","The number of cases/patients is too few to report","88","57",""
"490013","HALIFAX REGIONAL HOSPITAL","2204 WILBORN AVENUE","","","HALIFAX","VA","24558","HALIFAX","4345173100","99","236","","96","46","","89","200",""
"490017","BON SECOURS MARYVIEW MEDICAL CENTER","3636 HIGH STREET","","","PORTSMOUTH","VA","23707","PORTSMOUTH CITY","7573982200","100","334","","100","80","","100","289",""
"490018","AUGUSTA HEALTH","78 MEDICAL CENTER DRIVE","","","FISHERSVILLE","VA","22939","AUGUSTA","5409324000","100","375","","98","80","","88","278",""
"490019","CULPEPER REGIONAL HOSPITAL","501 SUNSET LANE","","","CULPEPER","VA","22701","CULPEPER","5408294100","100","148","","100","50","","93","112",""
"490020","JOHN RANDOLPH MEDICAL CENTER","411 WEST RANDOLPH ROAD","","","HOPEWELL","VA","23860","HOPEWELL CITY","8045411600","100","188","","100","85","","100","160",""
"490021","CENTRA  HEALTH, INC","1920 ATHERHOLT ROAD","","","LYNCHBURG","VA","24501","LYNCHBURG CITY","4342004789","100","703","Data submitted were based on a sample of cases/patients","97","172","Data submitted were based on a sample of cases/patients","69","548","Data submitted were based on a sample of cases/patients"
"490022","MARY WASHINGTON HOSPITAL, INC","1001 SAM PERRY BOULEVARD","","","FREDERICKSBURG","VA","22401","FREDERICKSBURG CITY","5407411100","100","476","","99","160","","98","401",""
"490023","THE FAUQUIER HOSPITAL, INC","500 HOSPITAL DRIVE","","","WARRENTON","VA","20186","FAUQUIER","5403165000","100","124","","90","30","","93","96",""
"490024","CARILION ROANOKE MEMORIAL HOSPITAL","1906 BELLEVIEW AVENUE, SE","","","ROANOKE","VA","24014","ROANOKE CITY","5409817000","98","790","","96","268","","99","587",""
"490032","MEDICAL COLLEGE OF VIRGINIA HOSPITALS","1250 EAST MARSHALL STREET - BOX 980510","","","RICHMOND","VA","23298","RICHMOND CITY","8048280938","100","772","","100","368","","99","719",""
"490033","WARREN MEMORIAL HOSPITAL","1000 NORTH SHENANDOAH AVE","","","FRONT ROYAL","VA","22630","WARREN","7036360300","99","84","","100","18","The number of cases/patients is too few to report","91","75",""
"490037","RIVERSIDE SHORE MEMORIAL HOSPITAL","9507 HOSPITAL AVENUE","","","NASSAWADOX","VA","23413","NORTHAMPTON","7574148000","100","113","","100","42","","95","95",""
"490038","SMYTH COUNTY COMMUNITY HOSPITAL","245 MEDICAL PARK DRIVE","","","MARION","VA","24354","SMYTH","2763781000","100","46","Data submitted were based on a sample of cases/patients","100","11","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","90","39","Data submitted were based on a sample of cases/patients"
"490040","INOVA ALEXANDRIA HOSPITAL","4320 SEMINARY RD","","","ALEXANDRIA","VA","22304","ALEXANDRIA CITY","7035043167","99","284","Data submitted were based on a sample of cases/patients","96","93","Data submitted were based on a sample of cases/patients","89","244","Data submitted were based on a sample of cases/patients"
"490041","MARY IMMACULATE HOSPITAL","2 BERNARDINE DRIVE","","","NEWPORT NEWS","VA","23602","NEWPORT NEWS CITY","7578866000","100","202","","98","53","","95","164",""
"490042","CARILION NEW RIVER VALLEY MEDICAL CENTER","2900 LAMB CIRCLE","","","CHRISTIANSBURG","VA","24073","MONTGOMERY","5407312000","100","171","","83","29","","97","148",""
