"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Death from serious treatable complications after surgery","Footnote - Death from serious treatable complications after surgery","Collapsed lung due to medical treatment","Footnote - Collapsed lung due to medical treatment","Serious blood clots after surgery","Footnote - Serious blood clots after surgery","A wound that splits open after surgery","Footnote - A wound that splits open after surgery","Accidental cuts and tears from medical treatment","Footnote - Accidental cuts and tears from medical treatment","Serious Complications","Footnote - Serious Complications","Number of Patients - Death from serious treatable complications after surgery","Rate - Death from serious treatable complications after surgery","Lower Estimate - Death from serious treatable complications after surgery","Higher Estimate - Death from serious treatable complications after surgery","Number of Patients - Collapsed lung due to medical treatment","Rate - Collapsed lung due to medical treatment","Lower Estimate - Collapsed lung due to medical treatment","Higher Estimate - Collapsed lung due to medical treatment","Number of Patients - Serious blood clots after surgery","Rate - Serious blood clots after surgery","Lower Estimate - Serious blood clots after surgery","Higher Estimate - Serious blood clots after surgery","Number of Patients - A wound that splits open after surgery","Rate - A wound that splits open after surgery","Lower Estimate - A wound that splits open after surgery","Higher Estimate - A wound that splits open after surgery","Number of Patients - Accidental cuts and tears from medical treatment","Rate - Accidental cuts and tears from medical treatment","Lower Estimate - Accidental cuts and tears from medical treatment","Higher Estimate - Accidental cuts and tears from medical treatment","Number of Patients - Serious Complications","Rate - Serious Complications","Lower Estimate - Serious Complications","Higher Estimate - Serious Complications"
"260210","ST ALEXIUS HOSPITAL","3933 S BROADWAY","","","SAINT LOUIS","MO","63118","SAINT LOUIS CITY","3148657000","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","24","Not Available","Not Available","Not Available","4224","0.58","0.21","0.95","658","2.58","0.00","6.67","74","0.73","0.00","2.80","4308","2.15","0.59","3.71","Not Available","0.68","0.35","1.02"
"450853","BAYLOR MEDICAL CENTER AT FRISCO","5601 WARREN PARKWAY","","","FRISCO","TX","75034","COLLIN","2146182000","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","17","Not Available","Not Available","Not Available","928","0.30","0.00","0.72","860","3.91","0.40","7.43","41","0.84","0.00","3.04","779","1.61","0.00","3.59","Not Available","0.56","0.16","0.96"
"131307","WEISER MEMORIAL HOSPITAL","645 EAST 5TH STREET","","","WEISER","ID","83672","WASHINGTON","2085490370","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"431334","WINNER REGIONAL HEALTHCARE CENTER - CAH","745 EAST 8TH STREET","","","WINNER","SD","57580","TRIPP","6058427100","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"101305","GEORGE E WEEMS MEMORIAL HOSPITAL","135 AVE G","","","APALACHICOLA","FL","32320","FRANKLIN","8506538853","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"360134","GOOD SAMARITAN HOSPITAL","375 DIXMYTH AVENUE","","","CINCINNATI","OH","45220","HAMILTON","5138622601","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","144","86.09","49.60","122.58","10026","0.29","0.03","0.56","3865","4.72","2.96","6.49","269","0.50","0.00","2.19","10412","1.73","0.86","2.59","Not Available","0.58","0.40","0.76"
"450018","UNIVERSITY OF TEXAS MEDICAL BRANCH GAL","301 UNIVERSITY BOULEVARD","","","GALVESTON","TX","77555","GALVESTON","4097721011","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","127","138.54","103.12","173.96","6646","0.22","0.00","0.54","2084","5.46","3.51","7.41","333","1.73","0.10","3.37","7011","1.75","0.72","2.78","Not Available","0.71","0.50","0.92"
"130007","ST ALPHONSUS REGIONAL MEDICAL CENTER","1055 NORTH CURTIS ROAD","","","BOISE","ID","83706","ADA","2083672121","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","166","106.42","72.71","140.12","8470","0.28","0.00","0.56","3926","6.79","5.18","8.40","385","1.34","0.00","2.78","8636","2.48","1.56","3.41","Not Available","0.82","0.64","1.01"
"450163","CHRISTUS SPOHN HOSPITAL KLEBERG","1311 EAST GENERAL CAVAZOS BLVD","","","KINGSVILLE","TX","78363","KLEBERG","3615951661","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","14","Not Available","Not Available","Not Available","2674","0.25","0.00","0.64","258","3.01","0.00","7.43","101","1.48","0.00","3.37","2745","0.93","0.00","2.64","Not Available","0.39","0.04","0.75"
"390183","ST LUKE'S MINERS MEMORIAL HOSPITAL","360 W RUDDLE STREET","","","COALDALE","PA","18218","SCHUYLKILL","5706452131","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","7","Not Available","Not Available","Not Available","1930","0.27","0.00","0.67","245","3.41","0.00","7.42","24","Not Available","Not Available","Not Available","1976","1.69","0.00","3.71","Not Available","0.53","0.14","0.93"
"520088","ST AGNES HSPTL","430 E DIVISON ST","","","FOND DU LAC","WI","54935","FOND DU LAC","9209292300","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","35","102.68","55.87","149.48","3240","0.40","0.03","0.78","885","4.75","1.44","8.07","155","0.59","0.00","2.45","3486","1.98","0.56","3.40","Not Available","0.65","0.35","0.95"
"450675","MEDICAL CENTER OF ARLINGTON","3301 MATLOCK ROAD","","","ARLINGTON","TX","76015","TARRANT","8174653241","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","70","114.31","73.92","154.70","7091","0.26","0.00","0.56","1252","5.18","2.25","8.11","124","0.64","0.00","2.56","7361","2.35","1.12","3.58","Not Available","0.73","0.48","0.98"
"330270","HOSPITAL FOR SPECIAL SURGERY","535 EAST 70TH STREET","","","NEW YORK","NY","10021","NEW YORK","2126061000","Better than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","264","62.72","22.09","103.35","11372","0.24","0.00","0.57","11282","3.58","2.56","4.60","Not Available","Not Available","Not Available","Not Available","10160","1.34","0.03","2.64","Not Available","0.44","0.21","0.67"
"381314","SAMARITAN PACIFIC COMMUNITIES HOSPITAL","930 SW ABBEY STREET","","","NEWPORT","OR","97365","LINCOLN","5412652244","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450231","BAPTIST ST ANTHONY'S HOSPITAL","1600 WALLACE BLVD","","","AMARILLO","TX","79106","POTTER","8062122000","Better than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","Worse than U.S. National Rate","","405","72.37","49.78","94.96","14974","0.37","0.15","0.59","5202","3.58","1.96","5.20","753","1.54","0.37","2.71","15621","3.39","2.69","4.09","Not Available","0.82","0.68","0.97"
"381307","HARNEY DISTRICT HOSPITAL","557 W WASHINGTON STREET","","","BURNS","OR","97720","HARNEY","5415737281","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450460","TYLER COUNTY HOSPITAL","1100 WEST BLUFF","","","WOODVILLE","TX","75979","TYLER","4092838141","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","855","0.30","0.00","0.73","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","884","1.71","0.00","4.03","Not Available","0.58","0.11","1.05"
"450475","ETMC HENDERSON","300 WILSON STREET","","","HENDERSON","TX","75652","RUSK","9036577541","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","6","Not Available","Not Available","Not Available","1234","0.28","0.00","0.70","136","3.42","0.00","8.14","8","Not Available","Not Available","Not Available","1273","1.95","0.00","4.12","Not Available","0.60","0.16","1.03"
"531314","NIOBRARA HEALTH & LIFE CENTER","921 SOUTH BALLANCEE AVENUE","","","LUSK","WY","82225","NIOBRARA","3073344000","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050291","SUTTER MEDICAL CENTER OF SANTA ROSA","3325 CHANATE RD","","","SANTA ROSA","CA","95404","SONOMA","7075764000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","38","116.17","70.83","161.51","2572","0.65","0.30","0.99","1212","1.96","0.00","4.65","101","0.67","0.00","2.64","2868","2.40","1.02","3.78","Not Available","0.66","0.39","0.94"
"190040","SLIDELL MEMORIAL HOSPITAL","1001 GAUSE BLVD","","","SLIDELL","LA","70458","SAINT TAMMANY","9856432200","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","31","107.16","59.28","155.04","4212","0.54","0.20","0.88","948","3.00","0.00","6.04","137","0.61","0.00","2.50","4454","3.55","2.16","4.94","Not Available","0.85","0.57","1.13"
"370016","INTEGRIS BASS BAPTIST HEALTH CENTER","600 SOUTH MONROE","","","ENID","OK","73701","GARFIELD","5802332300","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","24","Not Available","Not Available","Not Available","2915","0.28","0.00","0.63","930","2.16","0.00","5.37","128","0.64","0.00","2.56","3054","1.69","0.31","3.06","Not Available","0.46","0.17","0.75"
"170175","WESTERN PLAINS MEDICAL COMPLEX","3001 AVENUE A","","","DODGE CITY","KS","67801","FORD","6202258400","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","24","Not Available","Not Available","Not Available","1633","0.36","0.00","0.76","338","2.49","0.00","6.51","59","0.75","0.00","2.83","1714","2.43","0.56","4.29","Not Available","0.62","0.24","0.99"
"390039","SOMERSET HOSPITAL","225 SOUTH CENTER AVENUE","","","SOMERSET","PA","15501","SOMERSET","8144435000","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","10","Not Available","Not Available","Not Available","1547","0.27","0.00","0.67","221","2.95","0.00","7.33","47","0.77","0.00","2.89","1602","1.93","0.00","3.88","Not Available","0.55","0.16","0.94"
"420072","HAMPTON REGIONAL MEDICAL CENTER","595 WEST CAROLINA AVENUE","","","VARNVILLE","SC","29944","HAMPTON","8039432771","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","3","Not Available","Not Available","Not Available","869","0.30","0.00","0.72","82","3.70","0.00","8.61","15","Not Available","Not Available","Not Available","888","1.56","0.00","3.78","Not Available","0.54","0.09","0.99"
"330003","ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","","","ALBANY","NY","12204","ALBANY","5184713221","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","20","Not Available","Not Available","Not Available","3599","0.23","0.00","0.60","736","3.14","0.00","6.58","111","0.66","0.00","2.60","3677","0.90","0.00","2.38","Not Available","0.39","0.08","0.69"
"360037","ST VINCENT CHARITY MEDICAL CENTER","2351 EAST 22ND STREET","","","CLEVELAND","OH","44115","CUYAHOGA","2168616200","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","59","91.11","46.93","135.29","3836","0.54","0.18","0.90","1119","3.99","0.72","7.26","107","0.65","0.00","2.60","3741","1.41","0.00","2.94","Not Available","0.62","0.31","0.93"
"161313","GENESIS MEDICAL CENTER-DEWITT","1118 11TH STREET","","","DEWITT","IA","52742","CLINTON","5636594200","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"111325","WILLS MEMORIAL HOSPITAL","120 GORDON STREET","","","WASHINGTON","GA","30673","WILKES","7066789212","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"150015","FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","301 W HOMER ST","","","MICHIGAN CITY","IN","46360","LA PORTE","2198798511","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","42","131.48","84.56","178.39","6041","0.36","0.04","0.68","1175","2.65","0.00","5.82","148","0.60","0.00","2.46","6292","1.36","0.05","2.67","Not Available","0.46","0.18","0.73"
"271305","MCCONE COUNTY HEALTH CENTER","605 SULLIVAN AVE","","","CIRCLE","MT","59215","MCCONE","4064853381","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"061317","GRAND RIVER MEDICAL CENTER","501 AIRPORT ROAD","","","RIFLE","CO","81650","GARFIELD","9706251510","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"400105","HOSPITAL UNIVERSITARIO DR RUIZ ARNAU","LAUREL AVE SANTA JUANITA #100","","","BAYAMON","PR","00956","BAYAMON","7877875151","Not Available","Data suppressed by CMS for one or more quarters.","Not Available","Data suppressed by CMS for one or more quarters.","Not Available","Data suppressed by CMS for one or more quarters.","Not Available","Data suppressed by CMS for one or more quarters.","Not Available","Data suppressed by CMS for one or more quarters.","Not Available","Data suppressed by CMS for one or more quarters.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330074","F F THOMPSON HOSPITAL","350 PARRISH STREET","","","CANANDAIGUA","NY","14424","ONTARIO","5853966000","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","19","Not Available","Not Available","Not Available","2177","0.26","0.00","0.67","359","5.10","1.14","9.06","34","0.83","0.00","3.02","2281","2.18","0.27","4.08","Not Available","0.71","0.33","1.09"
"241356","MILLE LACS HEALTH SYSTEM","200 NORTH ELM STREET","","","ONAMIA","MN","56359","MILLE LACS","3205328020","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"461300","DELTA COMMUNITY MEDICAL CENTER","126 SOUTH WHITE SAGE AVENUE","","","DELTA","UT","84624","MILLARD","4358645591","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330401","ST CATHERINE OF SIENA HOSPITAL","50 ROUTE 25A","","","SMITHTOWN","NY","11787","SUFFOLK","6318623000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","69","84.06","44.39","123.72","11399","0.26","0.00","0.53","1786","7.17","4.61","9.72","249","0.48","0.00","2.15","11849","0.98","0.00","2.04","Not Available","0.57","0.35","0.79"
"380005","ASHLAND COMMUNITY HOSPITAL","280 MAPLE STREET","","","ASHLAND","OR","97520","JACKSON","5412014000","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","11","Not Available","Not Available","Not Available","1031","0.29","0.00","0.71","420","4.64","0.87","8.42","55","1.83","0.00","3.94","1024","3.31","1.39","5.24","Not Available","0.86","0.48","1.25"
"210057","SHADY GROVE ADVENTIST HOSPITAL","9901 MEDICAL CTR DR","","","ROCKVILLE","MD","20850","MONTGOMERY","2408266517","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"490134","PIEDMONT GERIATRIC HOSPITAL","5001 E PATRICK HENRY HWY - HIGHWAY 360 AND 460","","","BURKEVILLE","VA","23922","NOTTOWAY","4347674401","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","25","0.32","0.00","0.76","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","25","1.83","0.00","4.23","Not Available","0.61","0.11","1.10"
"450082","CHRISTUS SPOHN HOSPITAL BEEVILLE","1500 E HOUSTON HWY","","","BEEVILLE","TX","78102","BEE","3613542000","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","9","Not Available","Not Available","Not Available","1342","0.28","0.00","0.69","69","3.82","0.00","8.79","25","0.87","0.00","3.11","1379","1.48","0.00","3.64","Not Available","0.52","0.09","0.95"
"381320","COLUMBIA MEMORIAL HOSPITAL","2111 EXCHANGE STREET","","","ASTORIA","OR","97103","CLATSOP","5033254321","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050390","HEMET VALLEY MEDICAL CENTER","1117 EAST DEVONSHIRE","","","HEMET","CA","92543","RIVERSIDE","9516522811","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","46","95.87","50.55","141.20","6734","0.26","0.00","0.56","883","4.83","1.88","7.79","165","0.56","0.00","2.36","6990","1.47","0.11","2.82","Not Available","0.58","0.32","0.85"
"061307","RANGELY DISTRICT HOSPITAL","225 EAGLECREST","","","RANGELY","CO","81648","RIO BLANCO","9706755011","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"240063","ST JOSEPH'S HOSPITAL","45 WEST 10TH STREET","","","SAINT PAUL","MN","55102","RAMSEY","6512323000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","88","86.77","49.32","124.22","6688","0.24","0.00","0.52","2006","2.54","0.26","4.81","144","0.62","0.00","2.50","6974","2.20","1.05","3.36","Not Available","0.55","0.32","0.78"
"111308","CLINCH MEMORIAL HOSPITAL","1050 VALDOSTA HIGHWAY","","","HOMERVILLE","GA","31634","CLINCH","9124875211","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"670082","BAYLOR MEDICAL CENTER AT MCKINNEY","5252 WEST UNIVERSITY DRIVE","","","MC KINNEY","TX","75071","COLLIN","4697422200","Not Available","Results are not available for this reporting period.","Not Available","Results are not available for this reporting period.","Not Available","Results are not available for this reporting period.","Not Available","Results are not available for this reporting period.","Not Available","Results are not available for this reporting period.","Not Available","Results are not available for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
