"State","Diagnosis Related Group","Number Of Cases","Footnote"
"NC","Biopsies of musculoskeletal system and connective tissue w CC","205",""
"ND","Biopsies of musculoskeletal system and connective tissue w CC","13",""
"NE","Biopsies of musculoskeletal system and connective tissue w CC","50",""
"NH","Biopsies of musculoskeletal system and connective tissue w CC","31",""
"NJ","Biopsies of musculoskeletal system and connective tissue w CC","215",""
"NM","Biopsies of musculoskeletal system and connective tissue w CC","33",""
"NV","Biopsies of musculoskeletal system and connective tissue w CC","36",""
"NY","Biopsies of musculoskeletal system and connective tissue w CC","482",""
"OH","Biopsies of musculoskeletal system and connective tissue w CC","301",""
"OK","Biopsies of musculoskeletal system and connective tissue w CC","81",""
"OR","Biopsies of musculoskeletal system and connective tissue w CC","45",""
"PA","Biopsies of musculoskeletal system and connective tissue w CC","306",""
"PR","Biopsies of musculoskeletal system and connective tissue w CC","*","The number of cases/patients is too few to report"
"RI","Biopsies of musculoskeletal system and connective tissue w CC","11",""
"SC","Biopsies of musculoskeletal system and connective tissue w CC","88",""
"SD","Biopsies of musculoskeletal system and connective tissue w CC","18",""
"TN","Biopsies of musculoskeletal system and connective tissue w CC","196",""
"TX","Biopsies of musculoskeletal system and connective tissue w CC","612",""
"UT","Biopsies of musculoskeletal system and connective tissue w CC","18",""
"VA","Biopsies of musculoskeletal system and connective tissue w CC","238",""
"VT","Biopsies of musculoskeletal system and connective tissue w CC","11",""
"WA","Biopsies of musculoskeletal system and connective tissue w CC","79",""
"WI","Biopsies of musculoskeletal system and connective tissue w CC","77",""
"WV","Biopsies of musculoskeletal system and connective tissue w CC","56",""
"WY","Biopsies of musculoskeletal system and connective tissue w CC","*","The number of cases/patients is too few to report"
"AK","Other musculoskelet sys and conn tiss O.R. proc w MCC","*","The number of cases/patients is too few to report"
"AL","Other musculoskelet sys and conn tiss O.R. proc w MCC","74",""
"AR","Other musculoskelet sys and conn tiss O.R. proc w MCC","62",""
"AZ","Other musculoskelet sys and conn tiss O.R. proc w MCC","74",""
"CA","Other musculoskelet sys and conn tiss O.R. proc w MCC","298",""
"CO","Other musculoskelet sys and conn tiss O.R. proc w MCC","51",""
"CT","Other musculoskelet sys and conn tiss O.R. proc w MCC","47",""
"DC","Other musculoskelet sys and conn tiss O.R. proc w MCC","14",""
"DE","Other musculoskelet sys and conn tiss O.R. proc w MCC","*","The number of cases/patients is too few to report"
"FL","Other musculoskelet sys and conn tiss O.R. proc w MCC","275",""
"GA","Other musculoskelet sys and conn tiss O.R. proc w MCC","84",""
"HI","Other musculoskelet sys and conn tiss O.R. proc w MCC","15",""
"IA","Other musculoskelet sys and conn tiss O.R. proc w MCC","45",""
"ID","Other musculoskelet sys and conn tiss O.R. proc w MCC","20",""
"IL","Other musculoskelet sys and conn tiss O.R. proc w MCC","219",""
"IN","Other musculoskelet sys and conn tiss O.R. proc w MCC","97",""
"KS","Other musculoskelet sys and conn tiss O.R. proc w MCC","79",""
"KY","Other musculoskelet sys and conn tiss O.R. proc w MCC","66",""
"LA","Other musculoskelet sys and conn tiss O.R. proc w MCC","59",""
"MA","Other musculoskelet sys and conn tiss O.R. proc w MCC","81",""
"MD","Other musculoskelet sys and conn tiss O.R. proc w MCC","66",""
"ME","Other musculoskelet sys and conn tiss O.R. proc w MCC","23",""
"MI","Other musculoskelet sys and conn tiss O.R. proc w MCC","187",""
"MN","Other musculoskelet sys and conn tiss O.R. proc w MCC","54",""
"MO","Other musculoskelet sys and conn tiss O.R. proc w MCC","114",""
"MS","Other musculoskelet sys and conn tiss O.R. proc w MCC","28",""
"MT","Other musculoskelet sys and conn tiss O.R. proc w MCC","12",""
"NC","Other musculoskelet sys and conn tiss O.R. proc w MCC","147",""
"ND","Other musculoskelet sys and conn tiss O.R. proc w MCC","23",""
"NE","Other musculoskelet sys and conn tiss O.R. proc w MCC","39",""
"NH","Other musculoskelet sys and conn tiss O.R. proc w MCC","13",""
"NJ","Other musculoskelet sys and conn tiss O.R. proc w MCC","88",""
"NM","Other musculoskelet sys and conn tiss O.R. proc w MCC","*","The number of cases/patients is too few to report"
"NV","Other musculoskelet sys and conn tiss O.R. proc w MCC","44",""
"NY","Other musculoskelet sys and conn tiss O.R. proc w MCC","140",""
"OH","Other musculoskelet sys and conn tiss O.R. proc w MCC","158",""
"OK","Other musculoskelet sys and conn tiss O.R. proc w MCC","60",""
"OR","Other musculoskelet sys and conn tiss O.R. proc w MCC","24",""
"PA","Other musculoskelet sys and conn tiss O.R. proc w MCC","141",""
"PR","Other musculoskelet sys and conn tiss O.R. proc w MCC","*","The number of cases/patients is too few to report"
"RI","Other musculoskelet sys and conn tiss O.R. proc w MCC","15",""
"SC","Other musculoskelet sys and conn tiss O.R. proc w MCC","52",""
"SD","Other musculoskelet sys and conn tiss O.R. proc w MCC","11",""
"TN","Other musculoskelet sys and conn tiss O.R. proc w MCC","100",""
"TX","Other musculoskelet sys and conn tiss O.R. proc w MCC","349",""
"UT","Other musculoskelet sys and conn tiss O.R. proc w MCC","19",""
"VA","Other musculoskelet sys and conn tiss O.R. proc w MCC","130",""
"VT","Other musculoskelet sys and conn tiss O.R. proc w MCC","*","The number of cases/patients is too few to report"
"WA","Other musculoskelet sys and conn tiss O.R. proc w MCC","60",""
"WI","Other musculoskelet sys and conn tiss O.R. proc w MCC","67",""
"WV","Other musculoskelet sys and conn tiss O.R. proc w MCC","20",""
"AK","Kidney and ureter procedures for neoplasm w/o CC/MCC","*","The number of cases/patients is too few to report"
"AL","Kidney and ureter procedures for neoplasm w/o CC/MCC","152",""
"AR","Kidney and ureter procedures for neoplasm w/o CC/MCC","94",""
"AZ","Kidney and ureter procedures for neoplasm w/o CC/MCC","112",""
"CA","Kidney and ureter procedures for neoplasm w/o CC/MCC","492",""
"CO","Kidney and ureter procedures for neoplasm w/o CC/MCC","65",""
"CT","Kidney and ureter procedures for neoplasm w/o CC/MCC","80",""
"DC","Kidney and ureter procedures for neoplasm w/o CC/MCC","60",""
"DE","Kidney and ureter procedures for neoplasm w/o CC/MCC","31",""
"FL","Kidney and ureter procedures for neoplasm w/o CC/MCC","464",""
"GA","Kidney and ureter procedures for neoplasm w/o CC/MCC","211",""
"GU","Kidney and ureter procedures for neoplasm w/o CC/MCC","*","The number of cases/patients is too few to report"
"HI","Kidney and ureter procedures for neoplasm w/o CC/MCC","14",""
"IA","Kidney and ureter procedures for neoplasm w/o CC/MCC","62",""
"ID","Kidney and ureter procedures for neoplasm w/o CC/MCC","35",""
"IL","Kidney and ureter procedures for neoplasm w/o CC/MCC","283",""
"IN","Kidney and ureter procedures for neoplasm w/o CC/MCC","175",""
"KS","Kidney and ureter procedures for neoplasm w/o CC/MCC","83",""
"KY","Kidney and ureter procedures for neoplasm w/o CC/MCC","127",""
"LA","Kidney and ureter procedures for neoplasm w/o CC/MCC","118",""
"MA","Kidney and ureter procedures for neoplasm w/o CC/MCC","221",""
"MD","Kidney and ureter procedures for neoplasm w/o CC/MCC","156",""
"ME","Kidney and ureter procedures for neoplasm w/o CC/MCC","47",""
"MI","Kidney and ureter procedures for neoplasm w/o CC/MCC","254",""
"MN","Kidney and ureter procedures for neoplasm w/o CC/MCC","97",""
"MO","Kidney and ureter procedures for neoplasm w/o CC/MCC","195",""
"MS","Kidney and ureter procedures for neoplasm w/o CC/MCC","89",""
"MT","Kidney and ureter procedures for neoplasm w/o CC/MCC","33",""
"NC","Kidney and ureter procedures for neoplasm w/o CC/MCC","256",""
"ND","Kidney and ureter procedures for neoplasm w/o CC/MCC","27",""
"NE","Kidney and ureter procedures for neoplasm w/o CC/MCC","41",""
"NH","Kidney and ureter procedures for neoplasm w/o CC/MCC","30",""
"NJ","Kidney and ureter procedures for neoplasm w/o CC/MCC","190",""
"NM","Kidney and ureter procedures for neoplasm w/o CC/MCC","31",""
"NV","Kidney and ureter procedures for neoplasm w/o CC/MCC","37",""
"NY","Kidney and ureter procedures for neoplasm w/o CC/MCC","486",""
"OH","Kidney and ureter procedures for neoplasm w/o CC/MCC","209",""
"OK","Kidney and ureter procedures for neoplasm w/o CC/MCC","109",""
"OR","Kidney and ureter procedures for neoplasm w/o CC/MCC","77",""
"PA","Kidney and ureter procedures for neoplasm w/o CC/MCC","285",""
"PR","Kidney and ureter procedures for neoplasm w/o CC/MCC","12",""
"RI","Kidney and ureter procedures for neoplasm w/o CC/MCC","*","The number of cases/patients is too few to report"
"SC","Kidney and ureter procedures for neoplasm w/o CC/MCC","136",""
"SD","Kidney and ureter procedures for neoplasm w/o CC/MCC","25",""
"TN","Kidney and ureter procedures for neoplasm w/o CC/MCC","246",""
"TX","Kidney and ureter procedures for neoplasm w/o CC/MCC","601",""
"UT","Kidney and ureter procedures for neoplasm w/o CC/MCC","42",""
"VA","Kidney and ureter procedures for neoplasm w/o CC/MCC","211",""
"VI","Kidney and ureter procedures for neoplasm w/o CC/MCC","*","The number of cases/patients is too few to report"
"VT","Kidney and ureter procedures for neoplasm w/o CC/MCC","12",""
"WA","Kidney and ureter procedures for neoplasm w/o CC/MCC","138",""
"WI","Kidney and ureter procedures for neoplasm w/o CC/MCC","133",""
"WV","Kidney and ureter procedures for neoplasm w/o CC/MCC","44",""
"WY","Kidney and ureter procedures for neoplasm w/o CC/MCC","*","The number of cases/patients is too few to report"
"AK","Kidney and ureter procedures for neoplasm w MCC","*","The number of cases/patients is too few to report"
"AL","Kidney and ureter procedures for neoplasm w MCC","67",""
"AR","Kidney and ureter procedures for neoplasm w MCC","42",""
"AZ","Kidney and ureter procedures for neoplasm w MCC","61",""
"CA","Kidney and ureter procedures for neoplasm w MCC","245",""
"CO","Kidney and ureter procedures for neoplasm w MCC","27",""
"CT","Kidney and ureter procedures for neoplasm w MCC","36",""
"DC","Kidney and ureter procedures for neoplasm w MCC","18",""
"DE","Kidney and ureter procedures for neoplasm w MCC","14",""
"FL","Kidney and ureter procedures for neoplasm w MCC","253",""
"GA","Kidney and ureter procedures for neoplasm w MCC","95",""
"GU","Kidney and ureter procedures for neoplasm w MCC","*","The number of cases/patients is too few to report"
"HI","Kidney and ureter procedures for neoplasm w MCC","*","The number of cases/patients is too few to report"
"IA","Kidney and ureter procedures for neoplasm w MCC","27",""
"ID","Kidney and ureter procedures for neoplasm w MCC","*","The number of cases/patients is too few to report"
"IL","Kidney and ureter procedures for neoplasm w MCC","191",""
"IN","Kidney and ureter procedures for neoplasm w MCC","97",""
"KS","Kidney and ureter procedures for neoplasm w MCC","43",""
"KY","Kidney and ureter procedures for neoplasm w MCC","62",""
"LA","Kidney and ureter procedures for neoplasm w MCC","71",""
"MA","Kidney and ureter procedures for neoplasm w MCC","79",""
"MD","Kidney and ureter procedures for neoplasm w MCC","49",""
"ME","Kidney and ureter procedures for neoplasm w MCC","14",""
"MI","Kidney and ureter procedures for neoplasm w MCC","116",""
"MN","Kidney and ureter procedures for neoplasm w MCC","72",""
"MO","Kidney and ureter procedures for neoplasm w MCC","116",""
"MS","Kidney and ureter procedures for neoplasm w MCC","49",""
"MT","Kidney and ureter procedures for neoplasm w MCC","14",""
"NC","Kidney and ureter procedures for neoplasm w MCC","133",""
"ND","Kidney and ureter procedures for neoplasm w MCC","11",""
"NE","Kidney and ureter procedures for neoplasm w MCC","32",""
"NH","Kidney and ureter procedures for neoplasm w MCC","13",""
"NJ","Kidney and ureter procedures for neoplasm w MCC","92",""
"NM","Kidney and ureter procedures for neoplasm w MCC","14",""
"NV","Kidney and ureter procedures for neoplasm w MCC","29",""
"NY","Kidney and ureter procedures for neoplasm w MCC","222",""
"OH","Kidney and ureter procedures for neoplasm w MCC","147",""
"OK","Kidney and ureter procedures for neoplasm w MCC","33",""
"OR","Kidney and ureter procedures for neoplasm w MCC","39",""
"PA","Kidney and ureter procedures for neoplasm w MCC","163",""
"PR","Kidney and ureter procedures for neoplasm w MCC","*","The number of cases/patients is too few to report"
"RI","Kidney and ureter procedures for neoplasm w MCC","*","The number of cases/patients is too few to report"
"SC","Kidney and ureter procedures for neoplasm w MCC","63",""
"SD","Kidney and ureter procedures for neoplasm w MCC","12",""
"TN","Kidney and ureter procedures for neoplasm w MCC","102",""
"TX","Kidney and ureter procedures for neoplasm w MCC","266",""
"UT","Kidney and ureter procedures for neoplasm w MCC","11",""
"VA","Kidney and ureter procedures for neoplasm w MCC","99",""
"VT","Kidney and ureter procedures for neoplasm w MCC","*","The number of cases/patients is too few to report"
"WA","Kidney and ureter procedures for neoplasm w MCC","63",""
"WI","Kidney and ureter procedures for neoplasm w MCC","57",""
"WV","Kidney and ureter procedures for neoplasm w MCC","21",""
"WY","Kidney and ureter procedures for neoplasm w MCC","*","The number of cases/patients is too few to report"
"AK","Kidney and ureter procedures for neoplasm w CC","15",""
"AL","Kidney and ureter procedures for neoplasm w CC","130",""
"AR","Kidney and ureter procedures for neoplasm w CC","117",""
"AZ","Kidney and ureter procedures for neoplasm w CC","208",""
"CA","Kidney and ureter procedures for neoplasm w CC","574",""
"CO","Kidney and ureter procedures for neoplasm w CC","82",""
"CT","Kidney and ureter procedures for neoplasm w CC","102",""
"DC","Kidney and ureter procedures for neoplasm w CC","40",""
"DE","Kidney and ureter procedures for neoplasm w CC","29",""
"FL","Kidney and ureter procedures for neoplasm w CC","652",""
"GA","Kidney and ureter procedures for neoplasm w CC","184",""
"HI","Kidney and ureter procedures for neoplasm w CC","20",""
"IA","Kidney and ureter procedures for neoplasm w CC","90",""
"ID","Kidney and ureter procedures for neoplasm w CC","27",""
"IL","Kidney and ureter procedures for neoplasm w CC","438",""
"IN","Kidney and ureter procedures for neoplasm w CC","202",""
"KS","Kidney and ureter procedures for neoplasm w CC","107",""
"KY","Kidney and ureter procedures for neoplasm w CC","141",""
"LA","Kidney and ureter procedures for neoplasm w CC","125",""
"MA","Kidney and ureter procedures for neoplasm w CC","231",""
"MD","Kidney and ureter procedures for neoplasm w CC","135",""
"ME","Kidney and ureter procedures for neoplasm w CC","59",""
"MI","Kidney and ureter procedures for neoplasm w CC","270",""
"MN","Kidney and ureter procedures for neoplasm w CC","223",""
"MO","Kidney and ureter procedures for neoplasm w CC","240",""
"MS","Kidney and ureter procedures for neoplasm w CC","88",""
"MT","Kidney and ureter procedures for neoplasm w CC","25",""
"NC","Kidney and ureter procedures for neoplasm w CC","325",""
"ND","Kidney and ureter procedures for neoplasm w CC","22",""
"NE","Kidney and ureter procedures for neoplasm w CC","68",""
"NH","Kidney and ureter procedures for neoplasm w CC","47",""
"NJ","Kidney and ureter procedures for neoplasm w CC","233",""
"NM","Kidney and ureter procedures for neoplasm w CC","43",""
"NV","Kidney and ureter procedures for neoplasm w CC","63",""
"NY","Kidney and ureter procedures for neoplasm w CC","600",""
"OH","Kidney and ureter procedures for neoplasm w CC","313",""
"OK","Kidney and ureter procedures for neoplasm w CC","110",""
"OR","Kidney and ureter procedures for neoplasm w CC","92",""
"PA","Kidney and ureter procedures for neoplasm w CC","450",""
"PR","Kidney and ureter procedures for neoplasm w CC","*","The number of cases/patients is too few to report"
"RI","Kidney and ureter procedures for neoplasm w CC","24",""
"SC","Kidney and ureter procedures for neoplasm w CC","133",""
"SD","Kidney and ureter procedures for neoplasm w CC","29",""
"TN","Kidney and ureter procedures for neoplasm w CC","213",""
"TX","Kidney and ureter procedures for neoplasm w CC","651",""
"UT","Kidney and ureter procedures for neoplasm w CC","55",""
"VA","Kidney and ureter procedures for neoplasm w CC","185",""
"VI","Kidney and ureter procedures for neoplasm w CC","*","The number of cases/patients is too few to report"
"VT","Kidney and ureter procedures for neoplasm w CC","20",""
"WA","Kidney and ureter procedures for neoplasm w CC","155",""
"WI","Kidney and ureter procedures for neoplasm w CC","188",""
"WV","Kidney and ureter procedures for neoplasm w CC","47",""
"WY","Kidney and ureter procedures for neoplasm w CC","17",""
"AK","Kidney and ureter procedures for non-neoplasm w MCC","*","The number of cases/patients is too few to report"
"AL","Kidney and ureter procedures for non-neoplasm w MCC","74",""
"AR","Kidney and ureter procedures for non-neoplasm w MCC","52",""
"AZ","Kidney and ureter procedures for non-neoplasm w MCC","62",""
"CA","Kidney and ureter procedures for non-neoplasm w MCC","304",""
"CO","Kidney and ureter procedures for non-neoplasm w MCC","51",""
"CT","Kidney and ureter procedures for non-neoplasm w MCC","53",""
"DC","Kidney and ureter procedures for non-neoplasm w MCC","18",""
"DE","Kidney and ureter procedures for non-neoplasm w MCC","11",""
"FL","Kidney and ureter procedures for non-neoplasm w MCC","256",""
"GA","Kidney and ureter procedures for non-neoplasm w MCC","106",""
"HI","Kidney and ureter procedures for non-neoplasm w MCC","*","The number of cases/patients is too few to report"
"IA","Kidney and ureter procedures for non-neoplasm w MCC","35",""
"ID","Kidney and ureter procedures for non-neoplasm w MCC","16",""
"IL","Kidney and ureter procedures for non-neoplasm w MCC","198",""
"IN","Kidney and ureter procedures for non-neoplasm w MCC","104",""
"KS","Kidney and ureter procedures for non-neoplasm w MCC","48",""
"KY","Kidney and ureter procedures for non-neoplasm w MCC","62",""
"LA","Kidney and ureter procedures for non-neoplasm w MCC","76",""
"MA","Kidney and ureter procedures for non-neoplasm w MCC","124",""
"MD","Kidney and ureter procedures for non-neoplasm w MCC","91",""
"ME","Kidney and ureter procedures for non-neoplasm w MCC","18",""
"MI","Kidney and ureter procedures for non-neoplasm w MCC","156",""
"MN","Kidney and ureter procedures for non-neoplasm w MCC","88",""
"MO","Kidney and ureter procedures for non-neoplasm w MCC","118",""
"MS","Kidney and ureter procedures for non-neoplasm w MCC","49",""
"MT","Kidney and ureter procedures for non-neoplasm w MCC","11",""
"NC","Kidney and ureter procedures for non-neoplasm w MCC","151",""
"ND","Kidney and ureter procedures for non-neoplasm w MCC","12",""
"NE","Kidney and ureter procedures for non-neoplasm w MCC","30",""
"NH","Kidney and ureter procedures for non-neoplasm w MCC","14",""
"NJ","Kidney and ureter procedures for non-neoplasm w MCC","157",""
"NM","Kidney and ureter procedures for non-neoplasm w MCC","17",""
"NV","Kidney and ureter procedures for non-neoplasm w MCC","42",""
"NY","Kidney and ureter procedures for non-neoplasm w MCC","297",""
"OH","Kidney and ureter procedures for non-neoplasm w MCC","207",""
"OK","Kidney and ureter procedures for non-neoplasm w MCC","52",""
"OR","Kidney and ureter procedures for non-neoplasm w MCC","27",""
"PA","Kidney and ureter procedures for non-neoplasm w MCC","194",""
"PR","Kidney and ureter procedures for non-neoplasm w MCC","23",""
"RI","Kidney and ureter procedures for non-neoplasm w MCC","17",""
"SC","Kidney and ureter procedures for non-neoplasm w MCC","55",""
"SD","Kidney and ureter procedures for non-neoplasm w MCC","*","The number of cases/patients is too few to report"
"TN","Kidney and ureter procedures for non-neoplasm w MCC","114",""
"TX","Kidney and ureter procedures for non-neoplasm w MCC","310",""
"UT","Kidney and ureter procedures for non-neoplasm w MCC","14",""
"VA","Kidney and ureter procedures for non-neoplasm w MCC","113",""
"VI","Kidney and ureter procedures for non-neoplasm w MCC","*","The number of cases/patients is too few to report"
"VT","Kidney and ureter procedures for non-neoplasm w MCC","*","The number of cases/patients is too few to report"
"WA","Kidney and ureter procedures for non-neoplasm w MCC","77",""
"WI","Kidney and ureter procedures for non-neoplasm w MCC","74",""
"WV","Kidney and ureter procedures for non-neoplasm w MCC","33",""
"WY","Kidney and ureter procedures for non-neoplasm w MCC","*","The number of cases/patients is too few to report"
"AK","Transurethral procedures w MCC","*","The number of cases/patients is too few to report"
"AL","Transurethral procedures w MCC","77",""
"AR","Transurethral procedures w MCC","29",""
"AZ","Transurethral procedures w MCC","74",""
"CA","Transurethral procedures w MCC","222",""
"CO","Transurethral procedures w MCC","29",""
"CT","Transurethral procedures w MCC","47",""
"DC","Transurethral procedures w MCC","15",""
"DE","Transurethral procedures w MCC","*","The number of cases/patients is too few to report"
"FL","Transurethral procedures w MCC","316",""
"GA","Transurethral procedures w MCC","97",""
"HI","Transurethral procedures w MCC","15",""
"IA","Transurethral procedures w MCC","30",""
"ID","Transurethral procedures w MCC","*","The number of cases/patients is too few to report"
"IL","Transurethral procedures w MCC","200",""
"IN","Transurethral procedures w MCC","95",""
"KS","Transurethral procedures w MCC","37",""
"KY","Transurethral procedures w MCC","89",""
"LA","Transurethral procedures w MCC","63",""
"MA","Transurethral procedures w MCC","91",""
"MD","Transurethral procedures w MCC","63",""
"ME","Transurethral procedures w MCC","*","The number of cases/patients is too few to report"
"MI","Transurethral procedures w MCC","186",""
"MN","Transurethral procedures w MCC","46",""
"MO","Transurethral procedures w MCC","86",""
"MS","Transurethral procedures w MCC","43",""
"MT","Transurethral procedures w MCC","11",""
"NC","Transurethral procedures w MCC","120",""
"ND","Transurethral procedures w MCC","*","The number of cases/patients is too few to report"
"NE","Transurethral procedures w MCC","24",""
"NH","Transurethral procedures w MCC","12",""
"NJ","Transurethral procedures w MCC","169",""
"NM","Transurethral procedures w MCC","11",""
"NV","Transurethral procedures w MCC","21",""
"NY","Transurethral procedures w MCC","222",""
"OH","Transurethral procedures w MCC","158",""
"OK","Transurethral procedures w MCC","41",""
"OR","Transurethral procedures w MCC","22",""
"PA","Transurethral procedures w MCC","179",""
"PR","Transurethral procedures w MCC","*","The number of cases/patients is too few to report"
"RI","Transurethral procedures w MCC","12",""
"SC","Transurethral procedures w MCC","53",""
"SD","Transurethral procedures w MCC","*","The number of cases/patients is too few to report"
"TN","Transurethral procedures w MCC","88",""
"TX","Transurethral procedures w MCC","233",""
"UT","Transurethral procedures w MCC","11",""
"VA","Transurethral procedures w MCC","76",""
"VT","Transurethral procedures w MCC","*","The number of cases/patients is too few to report"
"WA","Transurethral procedures w MCC","49",""
"WI","Transurethral procedures w MCC","47",""
"WV","Transurethral procedures w MCC","34",""
"WY","Transurethral procedures w MCC","*","The number of cases/patients is too few to report"
"AK","Other kidney and urinary tract procedures w/o CC/MCC","*","The number of cases/patients is too few to report"
"AL","Other kidney and urinary tract procedures w/o CC/MCC","37",""
"AR","Other kidney and urinary tract procedures w/o CC/MCC","29",""
"AS","Other kidney and urinary tract procedures w/o CC/MCC","*","The number of cases/patients is too few to report"
"AZ","Other kidney and urinary tract procedures w/o CC/MCC","14",""
"CA","Other kidney and urinary tract procedures w/o CC/MCC","60",""
"CO","Other kidney and urinary tract procedures w/o CC/MCC","11",""
"CT","Other kidney and urinary tract procedures w/o CC/MCC","13",""
"DC","Other kidney and urinary tract procedures w/o CC/MCC","11",""
"DE","Other kidney and urinary tract procedures w/o CC/MCC","*","The number of cases/patients is too few to report"
"FL","Other kidney and urinary tract procedures w/o CC/MCC","115",""
"GA","Other kidney and urinary tract procedures w/o CC/MCC","41",""
"HI","Other kidney and urinary tract procedures w/o CC/MCC","*","The number of cases/patients is too few to report"
"IA","Other kidney and urinary tract procedures w/o CC/MCC","23",""
"ID","Other kidney and urinary tract procedures w/o CC/MCC","*","The number of cases/patients is too few to report"
"IL","Other kidney and urinary tract procedures w/o CC/MCC","86",""
"IN","Other kidney and urinary tract procedures w/o CC/MCC","44",""
"KS","Other kidney and urinary tract procedures w/o CC/MCC","*","The number of cases/patients is too few to report"
"KY","Other kidney and urinary tract procedures w/o CC/MCC","29",""
"LA","Other kidney and urinary tract procedures w/o CC/MCC","30",""
"MA","Other kidney and urinary tract procedures w/o CC/MCC","35",""
"MD","Other kidney and urinary tract procedures w/o CC/MCC","41",""
"ME","Other kidney and urinary tract procedures w/o CC/MCC","*","The number of cases/patients is too few to report"
"MI","Other kidney and urinary tract procedures w/o CC/MCC","62",""
"MN","Other kidney and urinary tract procedures w/o CC/MCC","23",""
"MO","Other kidney and urinary tract procedures w/o CC/MCC","29",""
"MP","Other kidney and urinary tract procedures w/o CC/MCC","*","The number of cases/patients is too few to report"
"MS","Other kidney and urinary tract procedures w/o CC/MCC","28",""
"MT","Other kidney and urinary tract procedures w/o CC/MCC","*","The number of cases/patients is too few to report"
"NC","Other kidney and urinary tract procedures w/o CC/MCC","58",""
"ND","Other kidney and urinary tract procedures w/o CC/MCC","*","The number of cases/patients is too few to report"
"NE","Other kidney and urinary tract procedures w/o CC/MCC","15",""
"NH","Other kidney and urinary tract procedures w/o CC/MCC","*","The number of cases/patients is too few to report"
"NJ","Other kidney and urinary tract procedures w/o CC/MCC","34",""
"NM","Other kidney and urinary tract procedures w/o CC/MCC","*","The number of cases/patients is too few to report"
"NV","Other kidney and urinary tract procedures w/o CC/MCC","11",""
"NY","Other kidney and urinary tract procedures w/o CC/MCC","109",""
"OH","Other kidney and urinary tract procedures w/o CC/MCC","85",""
"OK","Other kidney and urinary tract procedures w/o CC/MCC","27",""
"OR","Other kidney and urinary tract procedures w/o CC/MCC","14",""
"PA","Other kidney and urinary tract procedures w/o CC/MCC","55",""
"PR","Other kidney and urinary tract procedures w/o CC/MCC","*","The number of cases/patients is too few to report"
"RI","Other kidney and urinary tract procedures w/o CC/MCC","*","The number of cases/patients is too few to report"
"SC","Other kidney and urinary tract procedures w/o CC/MCC","25",""
"SD","Other kidney and urinary tract procedures w/o CC/MCC","17",""
"TN","Other kidney and urinary tract procedures w/o CC/MCC","75",""
"TX","Other kidney and urinary tract procedures w/o CC/MCC","104",""
"UT","Other kidney and urinary tract procedures w/o CC/MCC","*","The number of cases/patients is too few to report"
"VA","Other kidney and urinary tract procedures w/o CC/MCC","29",""
"VT","Other kidney and urinary tract procedures w/o CC/MCC","*","The number of cases/patients is too few to report"
"WA","Other kidney and urinary tract procedures w/o CC/MCC","20",""
"WI","Other kidney and urinary tract procedures w/o CC/MCC","18",""
"WV","Other kidney and urinary tract procedures w/o CC/MCC","25",""
"WY","Other kidney and urinary tract procedures w/o CC/MCC","*","The number of cases/patients is too few to report"
"AK","Other kidney and urinary tract procedures w MCC","*","The number of cases/patients is too few to report"
"AL","Other kidney and urinary tract procedures w MCC","251",""
"AR","Other kidney and urinary tract procedures w MCC","115",""
"AZ","Other kidney and urinary tract procedures w MCC","106",""
"CA","Other kidney and urinary tract procedures w MCC","777",""
"CO","Other kidney and urinary tract procedures w MCC","69",""
"CT","Other kidney and urinary tract procedures w MCC","109",""
"DC","Other kidney and urinary tract procedures w MCC","53",""
"DE","Other kidney and urinary tract procedures w MCC","32",""
"FL","Other kidney and urinary tract procedures w MCC","929",""
"GA","Other kidney and urinary tract procedures w MCC","387",""
"GU","Other kidney and urinary tract procedures w MCC","*","The number of cases/patients is too few to report"
"HI","Other kidney and urinary tract procedures w MCC","16",""
"IA","Other kidney and urinary tract procedures w MCC","69",""
"ID","Other kidney and urinary tract procedures w MCC","28",""
"IL","Other kidney and urinary tract procedures w MCC","486",""
"IN","Other kidney and urinary tract procedures w MCC","297",""
"KS","Other kidney and urinary tract procedures w MCC","113",""
"KY","Other kidney and urinary tract procedures w MCC","196",""
"LA","Other kidney and urinary tract procedures w MCC","250",""
"MA","Other kidney and urinary tract procedures w MCC","206",""
"MD","Other kidney and urinary tract procedures w MCC","212",""
"ME","Other kidney and urinary tract procedures w MCC","23",""
"MI","Other kidney and urinary tract procedures w MCC","375",""
"MN","Other kidney and urinary tract procedures w MCC","126",""
"MO","Other kidney and urinary tract procedures w MCC","212",""
"MS","Other kidney and urinary tract procedures w MCC","176",""
"MT","Other kidney and urinary tract procedures w MCC","17",""
"NC","Other kidney and urinary tract procedures w MCC","388",""
"ND","Other kidney and urinary tract procedures w MCC","30",""
"NE","Other kidney and urinary tract procedures w MCC","52",""
"NH","Other kidney and urinary tract procedures w MCC","22",""
"NJ","Other kidney and urinary tract procedures w MCC","471",""
"NM","Other kidney and urinary tract procedures w MCC","84",""
"NV","Other kidney and urinary tract procedures w MCC","61",""
"NY","Other kidney and urinary tract procedures w MCC","746",""
"OH","Other kidney and urinary tract procedures w MCC","417",""
"OK","Other kidney and urinary tract procedures w MCC","148",""
"OR","Other kidney and urinary tract procedures w MCC","43",""
"PA","Other kidney and urinary tract procedures w MCC","439",""
"PR","Other kidney and urinary tract procedures w MCC","46",""
