Provider Number,Hospital Name,Address,City,State, ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
"390032","ALLE KISKI MEDICAL CENTER","1301 CARLISLE ST","NATRONA","PA","15065","ALLEGHENY","3 out of 10","4 out of 9","4 out of 10","0 out of 10","3 out of 9","3 out of 10","1 out of 10","2 out of 9","2 out of 10","1 out of 10","5 out of 9","5 out of 10","1 out of 10","3 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","6 out of 10","6 out of 9","6 out of 10","0 out of 10","2 out of 9","2 out of 10","26","16"
"390035","ST LUKE'S QUAKERTOWN HOSPITAL","1021 PARK AVENUE","QUAKERTOWN","PA","18951","BUCKS","6 out of 10","0 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","3 out of 9","5 out of 10","6 out of 10","0 out of 9","6 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","1 out of 9","2 out of 10","4 out of 10","3 out of 9","4 out of 10","2 out of 10","0 out of 9","2 out of 10","28","18"
"390036","HERITAGE VALLEY BEAVER","1000 DUTCH RIDGE ROAD","BEAVER","PA","15009","BEAVER","3 out of 10","2 out of 9","3 out of 10","2 out of 10","1 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","7 out of 10","7 out of 9","7 out of 10","4 out of 10","6 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","20","14"
"390037","HERITAGE VALLEY SEWICKLEY","720 BLACKBURN ROAD","SEWICKLEY","PA","15143","ALLEGHENY","4 out of 10","0 out of 9","4 out of 10","6 out of 10","5 out of 9","6 out of 10","1 out of 10","0 out of 9","1 out of 10","5 out of 10","0 out of 9","5 out of 10","4 out of 10","1 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","22","17"
"390039","SOMERSET HOSPITAL","225 SOUTH CENTER AVENUE","SOMERSET","PA","15501","SOMERSET","2 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","4 out of 10","1 out of 9","4 out of 10","0 out of 10","2 out of 9","2 out of 10","14","16"
"390041","UNIONTOWN HOSPITAL","500 WEST BERKELEY STREET","UNIONTOWN","PA","15401","FAYETTE","1 out of 10","1 out of 9","1 out of 10","3 out of 10","0 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","8 out of 10","3 out of 9","8 out of 10","0 out of 10","0 out of 9","0 out of 10","13","17"
"440133","BAPTIST HOSPITAL","2000 CHURCH ST","NASHVILLE","TN","37236","DAVIDSON","2 out of 10","0 out of 9","2 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","5 out of 9","6 out of 10","2 out of 10","0 out of 9","2 out of 10","16","15"
"440137","HERITAGE MEDICAL CENTER","2835 HWY 231 N","SHELBYVILLE","TN","37160","BEDFORD","3 out of 10","2 out of 9","3 out of 10","5 out of 10","0 out of 9","5 out of 10","6 out of 10","6 out of 9","6 out of 10","2 out of 10","3 out of 9","3 out of 10","3 out of 10","1 out of 9","3 out of 10","3 out of 10","0 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","24","18"
"440144","HARTON REGIONAL MEDICAL CENTER","1801 N JACKSON ST BOX 460","TULLAHOMA","TN","37388","COFFEE","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0","13"
"440148","STONES RIVER HOSPITAL AND DEKALB COMMUNITY HOSP","520 W MAIN ST","SMITHVILLE","TN","37166","DE KALB","4 out of 10","0 out of 9","4 out of 10","10 out of 10","9 out of 9","10 out of 10","5 out of 10","2 out of 9","5 out of 10","2 out of 10","0 out of 9","2 out of 10","1 out of 10","1 out of 9","1 out of 10","6 out of 10","3 out of 9","6 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","31","20"
"440150","SUMMIT MEDICAL CENTER","5655 FRIST BLVD","HERMITAGE","TN","37076","DAVIDSON","2 out of 10","0 out of 9","2 out of 10","3 out of 10","0 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","7 out of 10","0 out of 9","7 out of 10","3 out of 10","0 out of 9","3 out of 10","18","19"
"440151","RIVER PARK HOSPITAL","1559 SPARTA STREET","MC MINNVILLE","TN","37110","WARREN","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","7","15"
"440152","REGIONAL MEDICAL CENTER AT MEMPHIS","877 JEFFERSON AVENUE","MEMPHIS","TN","38103","SHELBY","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","9 out of 10","9 out of 9","9 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","2 out of 9","2 out of 10","1 out of 10","4 out of 9","4 out of 10","21","15"
"440153","TENNOVA HEALTHCARE-NEWPORT MEDICAL CENTER","435 2ND ST","NEWPORT","TN","37821","COCKE","2 out of 10","0 out of 9","2 out of 10","3 out of 10","0 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","4 out of 9","5 out of 10","6 out of 10","5 out of 9","6 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","19","17"
"440156","PARKRIDGE MEDICAL CENTER","2333 MCCALLIE AVE","CHATTANOOGA","TN","37404","HAMILTON","4 out of 10","0 out of 9","4 out of 10","3 out of 10","0 out of 9","3 out of 10","4 out of 10","1 out of 9","4 out of 10","3 out of 10","0 out of 9","3 out of 10","4 out of 10","2 out of 9","4 out of 10","5 out of 10","1 out of 9","5 out of 10","4 out of 10","3 out of 9","4 out of 10","5 out of 10","1 out of 9","5 out of 10","32","20"
"440159","DELTA MEDICAL CENTER","3000 GETWELL RD","MEMPHIS","TN","38118","SHELBY","5 out of 10","6 out of 9","6 out of 10","0 out of 10","3 out of 9","3 out of 10","1 out of 10","4 out of 9","4 out of 10","2 out of 10","5 out of 9","5 out of 10","0 out of 10","2 out of 9","2 out of 10","10 out of 10","9 out of 9","10 out of 10","0 out of 10","3 out of 9","3 out of 10","4 out of 10","5 out of 9","5 out of 10","38","17"
"440161","CENTENNIAL MEDICAL CENTER","2300 PATTERSON STREET","NASHVILLE","TN","37203","DAVIDSON","4 out of 10","0 out of 9","4 out of 10","4 out of 10","0 out of 9","4 out of 10","3 out of 10","0 out of 9","3 out of 10","3 out of 10","0 out of 9","3 out of 10","5 out of 10","0 out of 9","5 out of 10","4 out of 10","0 out of 9","4 out of 10","7 out of 10","0 out of 9","7 out of 10","5 out of 10","0 out of 9","5 out of 10","35","20"
"440173","PARKWEST MEDICAL CENTER","9352 PARK WEST BLVD","KNOXVILLE","TN","37923","KNOX","6 out of 10","4 out of 9","6 out of 10","5 out of 10","0 out of 9","5 out of 10","4 out of 10","0 out of 9","4 out of 10","4 out of 10","0 out of 9","4 out of 10","7 out of 10","5 out of 9","7 out of 10","6 out of 10","3 out of 9","6 out of 10","5 out of 10","0 out of 9","5 out of 10","7 out of 10","0 out of 9","7 out of 10","44","20"
"440175","CROCKETT HOSPITAL","HWY 43 S BOX 847","LAWRENCEBURG","TN","38464","LAWRENCE","4 out of 10","3 out of 9","4 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","1 out of 9","2 out of 10","5 out of 10","6 out of 9","6 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","4 out of 9","4 out of 10","0 out of 10","2 out of 9","2 out of 10","22","19"
"440176","INDIAN PATH MEDICAL CENTER","2000 BROOKSIDE DR","KINGSPORT","TN","37660","SULLIVAN","3 out of 10","0 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","3 out of 10","0 out of 9","3 out of 10","11","18"
"440180","JELLICO COMMUNITY HOSPITAL","188 HOSPITAL LANE","JELLICO","TN","37762","CAMPBELL","4 out of 10","1 out of 9","4 out of 10","7 out of 10","0 out of 9","7 out of 10","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","10 out of 10","9 out of 9","10 out of 10","6 out of 10","1 out of 9","6 out of 10","7 out of 10","6 out of 9","7 out of 10","3 out of 10","0 out of 9","3 out of 10","39","14"
"440182","MCKENZIE REGIONAL HOSPITAL","161 HOSPITAL DRIVE","MC KENZIE","TN","38201","CARROLL","3 out of 10","4 out of 9","4 out of 10","5 out of 10","2 out of 9","5 out of 10","5 out of 10","4 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","5 out of 9","6 out of 10","6 out of 10","3 out of 9","6 out of 10","3 out of 10","3 out of 9","3 out of 10","2 out of 10","1 out of 9","2 out of 10","31","17"
"440183","ST FRANCIS HOSPITAL","5959 PARK AVE","MEMPHIS","TN","38119","SHELBY","2 out of 10","2 out of 9","2 out of 10","4 out of 10","1 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","1 out of 9","2 out of 10","1 out of 10","2 out of 9","2 out of 10","2 out of 10","2 out of 9","2 out of 10","15","17"
"440184","FRANKLIN WOODS COMMUNITY HOSPITAL","401 PRINCETON RD","JOHNSON CITY","TN","37601","WASHINGTON","9 out of 10","9 out of 9","9 out of 10","5 out of 10","6 out of 9","6 out of 10","10 out of 10","9 out of 9","10 out of 10","10 out of 10","9 out of 9","10 out of 10","8 out of 10","7 out of 9","8 out of 10","10 out of 10","9 out of 9","10 out of 10","8 out of 10","6 out of 9","8 out of 10","10 out of 10","9 out of 9","10 out of 10","71","20"
"490017","BON SECOURS MARYVIEW MEDICAL CENTER","3636 HIGH STREET","PORTSMOUTH","VA","23707","PORTSMOUTH CITY","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","5 out of 10","0 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","8","17"
"490018","AUGUSTA HEALTH","78 MEDICAL CENTER DRIVE","FISHERSVILLE","VA","22939","AUGUSTA","1 out of 10","0 out of 9","1 out of 10","3 out of 10","2 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","1 out of 10","1 out of 9","1 out of 10","12","18"
"490019","CULPEPER REGIONAL HOSPITAL","501 SUNSET LANE","CULPEPER","VA","22701","CULPEPER","3 out of 10","4 out of 9","4 out of 10","0 out of 10","3 out of 9","3 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","5 out of 10","6 out of 9","6 out of 10","2 out of 10","0 out of 9","2 out of 10","7 out of 10","7 out of 9","7 out of 10","1 out of 10","2 out of 9","2 out of 10","27","16"
"490020","JOHN RANDOLPH MEDICAL CENTER","411 WEST RANDOLPH ROAD","HOPEWELL","VA","23860","HOPEWELL CITY","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","2 out of 9","2 out of 10","3 out of 10","2 out of 9","3 out of 10","5 out of 10","5 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","10","15"
"490021","CENTRA  HEALTH, INC","1920 ATHERHOLT ROAD","LYNCHBURG","VA","24501","LYNCHBURG CITY","7 out of 10","4 out of 9","7 out of 10","5 out of 10","1 out of 9","5 out of 10","3 out of 10","0 out of 9","3 out of 10","6 out of 10","2 out of 9","6 out of 10","6 out of 10","5 out of 9","6 out of 10","3 out of 10","0 out of 9","3 out of 10","5 out of 10","5 out of 9","5 out of 10","6 out of 10","3 out of 9","6 out of 10","41","20"
"490022","MARY WASHINGTON HOSPITAL, INC","1001 SAM PERRY BOULEVARD","FREDERICKSBURG","VA","22401","FREDERICKSBURG CITY","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","7","16"
"490023","THE FAUQUIER HOSPITAL, INC","500 HOSPITAL DRIVE","WARRENTON","VA","20186","FAUQUIER","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","7","16"
"490024","CARILION ROANOKE MEMORIAL CENTER","1906 BELLEVIEW AVENUE, SE","ROANOKE","VA","24014","ROANOKE CITY","5 out of 10","5 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","3 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","7 out of 10","5 out of 9","7 out of 10","2 out of 10","0 out of 9","2 out of 10","22","16"
"490027","MOUNTAIN VIEW REGIONAL MEDICAL CENTER","310 THIRD STREET NE","NORTON","VA","24273","NORTON CITY","4 out of 10","3 out of 9","4 out of 10","6 out of 10","4 out of 9","6 out of 10","5 out of 10","6 out of 9","6 out of 10","0 out of 10","1 out of 9","1 out of 10","8 out of 10","8 out of 9","8 out of 10","7 out of 10","6 out of 9","7 out of 10","4 out of 10","4 out of 9","4 out of 10","3 out of 10","4 out of 9","4 out of 10","40","18"
"490032","MEDICAL COLLEGE OF VIRGINIA HOSPITALS","1250 EAST MARSHALL STREET - BOX 980510","RICHMOND","VA","23298","RICHMOND CITY","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","4 out of 10","3 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","0 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","14","16"
"490033","WARREN MEMORIAL HOSPITAL","1000 NORTH SHENANDOAH AVE","FRONT ROYAL","VA","22630","WARREN","3 out of 10","5 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","6 out of 9","6 out of 10","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","3 out of 9","3 out of 10","17","14"
"490037","RIVERSIDE SHORE MEMORIAL HOSPITAL","9507 HOSPITAL AVENUE","NASSAWADOX","VA","23413","NORTHAMPTON","2 out of 10","1 out of 9","2 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","7","10"
"490038","SMYTH COUNTY COMMUNITY HOSPITAL","245 MEDICAL PARK DRIVE","MARION","VA","24354","SMYTH","4 out of 10","3 out of 9","4 out of 10","5 out of 10","6 out of 9","6 out of 10","2 out of 10","0 out of 9","2 out of 10","3 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","3 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","20","15"
"490040","INOVA ALEXANDRIA HOSPITAL","4320 SEMINARY RD","ALEXANDRIA","VA","22304","ALEXANDRIA CITY","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1","15"
"490041","MARY IMMACULATE HOSPITAL","2 BERNARDINE DRIVE","NEWPORT NEWS","VA","23602","NEWPORT NEWS CITY","0 out of 10","2 out of 9","2 out of 10","2 out of 10","1 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","2 out of 9","5 out of 10","0 out of 10","3 out of 9","3 out of 10","16","17"
"490042","CARILION NEW RIVER VALLEY MEDICAL CENTER","2900 LAMB CIRCLE","CHRISTIANSBURG","VA","24073","MONTGOMERY","4 out of 10","2 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","0 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","18","18"
"490043","INOVA LOUDOUN HOSPITAL","44045 RIVERSIDE PARKWAY","LEESBURG","VA","20176","LOUDOUN","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","4","16"
"490044","SENTARA OBICI HOSPITAL","2800 GODWIN BOULEVARD","SUFFOLK","VA","23439","SUFFOLK CITY","4 out of 10","6 out of 9","6 out of 10","3 out of 10","6 out of 9","6 out of 10","4 out of 10","5 out of 9","5 out of 10","1 out of 10","5 out of 9","5 out of 10","3 out of 10","5 out of 9","5 out of 10","4 out of 10","5 out of 9","5 out of 10","3 out of 10","0 out of 9","3 out of 10","5 out of 10","6 out of 9","6 out of 10","41","20"
"390042","WASHINGTON HOSPITAL, THE","155 WILSON AVENUE","WASHINGTON","PA","15301","WASHINGTON","6 out of 10","3 out of 9","6 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","4 out of 10","0 out of 9","4 out of 10","4 out of 10","2 out of 9","4 out of 10","2 out of 10","2 out of 9","2 out of 10","4 out of 10","2 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","23","19"
"390043","SOLDIERS AND SAILORS MEMORIAL HOSPITAL","32-36 CENTRAL AVENUE","WELLSBORO","PA","16901","TIOGA","7 out of 10","0 out of 9","7 out of 10","6 out of 10","2 out of 9","6 out of 10","10 out of 10","0 out of 9","10 out of 10","5 out of 10","0 out of 9","5 out of 10","8 out of 10","1 out of 9","8 out of 10","6 out of 10","0 out of 9","6 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","0 out of 9","3 out of 10","46","20"
"390044","READING HOSPITAL MEDICAL CENTER","SIXTH AVENUE AND SPRUCE ST","READING","PA","19603","BERKS","3 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","0 out of 9","5 out of 10","1 out of 10","1 out of 9","1 out of 10","15","15"
"390045","WILLIAMSPORT REGIONAL MEDICAL CENTER","700 HIGH STREET","WILLIAMSPORT","PA","17701","LYCOMING","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","3 out of 10","0 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","8","17"
"390046","YORK HOSPITAL","1001 SOUTH GEORGE STREET","YORK","PA","17403","YORK","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","3 out of 9","3 out of 10","2 out of 10","1 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","11","14"
"390048","LEWISTOWN HOSPITAL","400 HIGHLAND AVENUE","LEWISTOWN","PA","17044","MIFFLIN","2 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","7 out of 9","7 out of 10","0 out of 10","0 out of 9","0 out of 10","16","15"
"390049","ST LUKE'S HOSPITAL BETHLEHEM","801 OSTRUM STREET","BETHLEHEM","PA","18015","NORTHAMPTON","4 out of 10","1 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","2 out of 10","0 out of 9","2 out of 10","1 out of 10","1 out of 9","1 out of 10","1 out of 10","3 out of 9","3 out of 10","4 out of 10","0 out of 9","4 out of 10","17","18"
"390050","ALLEGHENY GENERAL HOSPITAL","320 EAST NORTH AVENUE","PITTSBURGH","PA","15212","ALLEGHENY","1 out of 10","3 out of 9","3 out of 10","1 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","4 out of 9","4 out of 10","1 out of 10","2 out of 9","2 out of 10","16","13"
"390052","CLEARFIELD HOSPITAL","809 TURNPIKE AVE","CLEARFIELD","PA","16830","CLEARFIELD","6 out of 10","6 out of 9","6 out of 10","7 out of 10","6 out of 9","7 out of 10","5 out of 10","5 out of 9","5 out of 10","6 out of 10","7 out of 9","7 out of 10","5 out of 10","4 out of 9","5 out of 10","1 out of 10","2 out of 9","2 out of 10","9 out of 10","9 out of 9","9 out of 10","0 out of 10","3 out of 9","3 out of 10","44","18"
"390056","J C BLAIR MEMORIAL HOSPITAL","1225 WARM SPRINGS AVE","HUNTINGDON","PA","16652","HUNTINGDON","4 out of 10","1 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","0 out of 9","5 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","2 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","14","16"
"390057","GRAND VIEW HOSPITAL","700 LAWN AVENUE","SELLERSVILLE","PA","18960","BUCKS","6 out of 10","1 out of 9","6 out of 10","0 out of 10","1 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","4 out of 10","4 out of 9","4 out of 10","5 out of 10","1 out of 9","5 out of 10","6 out of 10","4 out of 9","6 out of 10","7 out of 10","5 out of 9","7 out of 10","6 out of 10","4 out of 9","6 out of 10","37","18"
"390058","CARLISLE REGIONAL MEDICAL CENTER","361 ALEXANDER SPRING ROAD","CARLISLE","PA","17015","CUMBERLAND","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","5","12"
"390061","LANCASTER REGIONAL MEDICAL CENTER","250 COLLEGE AVENUE","LANCASTER","PA","17604","LANCASTER","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","0 out of 9","3 out of 10","4 out of 10","0 out of 9","4 out of 10","1 out of 10","0 out of 9","1 out of 10","12","18"
"390062","NASON HOSPITAL","105 NASON DRIVE","ROARING SPRING","PA","16673","BLAIR","7 out of 10","5 out of 9","7 out of 10","6 out of 10","3 out of 9","6 out of 10","5 out of 10","0 out of 9","5 out of 10","3 out of 10","0 out of 9","3 out of 10","4 out of 10","2 out of 9","4 out of 10","4 out of 10","0 out of 9","4 out of 10","4 out of 10","6 out of 9","6 out of 10","6 out of 10","0 out of 9","6 out of 10","41","20"
"390063","UPMC HAMOT","201 STATE STREET","ERIE","PA","16550","ERIE","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","2 out of 9","3 out of 10","3 out of 10","0 out of 9","3 out of 10","10","15"
"390065","GETTYSBURG HOSPITAL","147 GETTYS STREET","GETTYSBURG","PA","17325","ADAMS","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","9","16"
