"ID","Provider Number","Hospital Name","Address","City","County Name","State","ZIP Code","Communication with Nurses Achievement Points","Communication with Nurses Improvement Points","Communication with Nurses Dimension Score","Communication with Doctors Achievement Points","Communication with Doctors Improvement Points","Communication with Doctors Dimension Score","Responsiveness of Hospital Staff Achievement Points","Responsiveness of Hospital Staff Improvement Points","Responsiveness of Hospital Staff Dimension Score","Pain Management Achievement Points","Pain Management Improvement Points","Pain Management Dimension Score","Communication about Medicines Achievement Points","Communication about Medicines Improvement Points","Communication about Medicines Dimension Score","Cleanliness and Quietness of Hospital Environment Achievement Po","Cleanliness and Quietness of Hospital Environment Improvement Po","Cleanliness and Quietness of Hospital Environment Dimension Scor","Discharge Information Achievement Points","Discharge Information Improvement Points","Discharge Information Dimension Score","Overall Rating of Hospital Achievement Points","Overall Rating of Hospital Improvement Points","Overall Rating of Hospital Dimension Score","HCAHPS Base Score","HCAHPS Consistency Score"
2365,"490066","SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER","100 SENTARA CIRCLE","WILLIAMSBURG","JAMES CITY CO.","VA","23188","7 out of 10","8 out of 9","8 out of 10","4 out of 10","6 out of 9","6 out of 10","0 out of 10","4 out of 9","4 out of 10","0 out of 10","4 out of 9","4 out of 10","7 out of 10","8 out of 9","8 out of 10","2 out of 10","1 out of 9","2 out of 10","10 out of 10","9 out of 9","10 out of 10","8 out of 10","8 out of 9","8 out of 10","50","19"
2366,"490067","SOUTHSIDE REGIONAL MEDICAL CENTER","200 MEDICAL PARK BOULEVARD","PETERSBURG","PETERSBURG CITY","VA","23805","7 out of 10","7 out of 9","7 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","5 out of 9","5 out of 10","7 out of 10","7 out of 9","7 out of 10","3 out of 10","4 out of 9","4 out of 10","2 out of 10","2 out of 9","2 out of 10","1 out of 10","4 out of 9","4 out of 10","2 out of 10","2 out of 9","2 out of 10","31","19"
2367,"490069","BON SECOURS - MEMORIAL REGIONAL MEDICAL","8260 ATLEE ROAD","MECHANICSVILLE","HANOVER","VA","23116","4 out of 10","0 out of 9","4 out of 10","2 out of 10","0 out of 9","2 out of 10","4 out of 10","0 out of 9","4 out of 10","4 out of 10","0 out of 9","4 out of 10","3 out of 10","3 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","7 out of 10","5 out of 9","7 out of 10","5 out of 10","0 out of 9","5 out of 10","30","20"
2368,"490075","DANVILLE REGIONAL MEDICAL CENTER","142 SOUTH MAIN STREET","DANVILLE","DANVILLE CITY","VA","24541","0 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","13","14"
2369,"490077","MARTHA JEFFERSON HOSPITAL","500 MARTHA JEFFERSON DRIVE","CHARLOTTESVILLE","ALBEMARLE","VA","22911","7 out of 10","3 out of 9","7 out of 10","7 out of 10","0 out of 9","7 out of 10","3 out of 10","1 out of 9","3 out of 10","5 out of 10","0 out of 9","5 out of 10","9 out of 10","7 out of 9","9 out of 10","5 out of 10","5 out of 9","5 out of 10","5 out of 10","2 out of 9","5 out of 10","8 out of 10","7 out of 9","8 out of 10","49","20"
2370,"490079","MEMORIAL HOSPITAL OF MARTINSVILLE & HENRY COUNTY","320 HOSPITAL DRIVE","MARTINSVILLE","HENRY","VA","24115","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","2 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","4","14"
2371,"490084","RIVERSIDE TAPPAHANNOCK HOSPITAL","618 HOSPITAL ROAD","TAPPAHANNOCK","ESSEX","VA","22560","4 out of 10","3 out of 9","4 out of 10","1 out of 10","1 out of 9","1 out of 10","5 out of 10","5 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","1 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","15","14"
2372,"490088","BEDFORD MEMORIAL HOSPITAL","1613 OAKWOOD STREET","BEDFORD","BEDFORD CITY","VA","24523","5 out of 10","0 out of 9","5 out of 10","4 out of 10","0 out of 9","4 out of 10","5 out of 10","0 out of 9","5 out of 10","2 out of 10","0 out of 9","2 out of 10","3 out of 10","3 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","1 out of 10","2 out of 9","2 out of 10","1 out of 10","2 out of 9","2 out of 10","25","20"
2373,"390068","HEART OF LANCASTER REGIONAL MEDICAL CENTER","1500 HIGHLANDS DRIVE","LITITZ","LANCASTER","PA","17543","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","1 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","2 out of 9","2 out of 10","3 out of 10","3 out of 9","3 out of 10","12","17"
2374,"390070","LOWER BUCKS HOSPITAL","501 BATH ROAD","BRISTOL","BUCKS","PA","19007","1 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","5","13"
2375,"390071","LOCK HAVEN HOSPITAL","24 CREE DRIVE","LOCK HAVEN","CLINTON","PA","17745","3 out of 10","4 out of 9","4 out of 10","3 out of 10","4 out of 9","4 out of 10","4 out of 10","1 out of 9","4 out of 10","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","5 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","19","15"
2376,"390072","BERWICK HOSPITAL CENTER","701 EAST 16TH STREET","BERWICK","COLUMBIA","PA","18603","2 out of 10","0 out of 9","2 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","9","15"
2377,"390073","ALTOONA REGIONAL HEALTH SYSTEM","620 HOWARD AVENUE","ALTOONA","BLAIR","PA","16601","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","2","14"
2378,"390076","BRANDYWINE HOSPITAL","201 REECEVILLE ROAD","COATESVILLE","CHESTER","PA","19320","3 out of 10","5 out of 9","5 out of 10","0 out of 10","2 out of 9","2 out of 10","3 out of 10","6 out of 9","6 out of 10","2 out of 10","4 out of 9","4 out of 10","2 out of 10","5 out of 9","5 out of 10","0 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","4 out of 9","4 out of 10","30","18"
2379,"390079","ROBERT PACKER HOSPITAL","ONE GUTHRIE SQUARE","SAYRE","BRADFORD","PA","18840","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","12","15"
2380,"390080","JEANES HOSPITAL","7600 CENTRAL AVE","PHILADELPHIA","PHILADELPHIA","PA","19111","3 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","9","17"
2381,"390081","DELAWARE COUNTY MEMORIAL HOSPITAL","501 NORTH LANSDOWNE AVE","DREXEL HILL","DELAWARE","PA","19026","3 out of 10","2 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","9","14"
2382,"390084","SUNBURY COMMUNITY HOSPITAL","350 NORTH 11TH STREET","SUNBURY","NORTHUMBERLAND","PA","17801","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","2 out of 9","2 out of 10","2 out of 10","3 out of 9","3 out of 10","3 out of 10","3 out of 9","3 out of 10","2 out of 10","1 out of 9","2 out of 10","2 out of 10","1 out of 9","2 out of 10","16","19"
2383,"390086","DUBOIS REGIONAL MEDICAL CENTER","100 HOSPITAL AVENUE","DUBOIS","CLEARFIELD","PA","15801","7 out of 10","5 out of 9","7 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","2 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","4 out of 10","0 out of 9","4 out of 10","1 out of 10","1 out of 9","1 out of 10","8 out of 10","3 out of 9","8 out of 10","3 out of 10","0 out of 9","3 out of 10","33","19"
2384,"390090","WESTERN PENNSYLVANIA HOSPITAL","4800 FRIENDSHIP AVENUE","PITTSBURGH","ALLEGHENY","PA","15224","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","2 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","1 out of 9","2 out of 10","1 out of 10","1 out of 9","1 out of 10","4 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","11","19"
2385,"390091","UPMC NORTHWEST","100 FAIRFIELD DRIVE","SENECA","VENANGO","PA","16346","0 out of 10","2 out of 9","2 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","3 out of 10","6 out of 9","6 out of 10","0 out of 10","2 out of 9","2 out of 10","15","16"
2386,"390093","CLARION HOSPITAL","271 PERKINS ROAD","CLARION","CLARION","PA","16214","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","5 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","6 out of 9","6 out of 10","0 out of 10","2 out of 9","2 out of 10","14","16"
2387,"390096","ST JOSEPH MEDICAL CENTER","2500 BERNVILLE ROAD","READING","BERKS","PA","19605","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","1 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","15","16"
2388,"390097","HOLY REDEEMER HOSPITAL AND MEDICAL CENTER","1648 HUNTINGDON PIKE","MEADOWBROOK","MONTGOMERY","PA","19046","2 out of 10","0 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","9","15"
2389,"390100","LANCASTER GENERAL HOSPITAL","555 NORTH DUKE STREET","LANCASTER","LANCASTER","PA","17604","3 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","13","16"
2390,"390101","MEMORIAL HOSPITAL","325 SOUTH BELMONT STREET","YORK","YORK","PA","17403","0 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","3 out of 9","3 out of 10","2 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","4 out of 10","5 out of 9","5 out of 10","3 out of 10","3 out of 9","3 out of 10","20","15"
2391,"450024","UNIVERSITY MEDICAL CENTER OF EL PASO","4815 ALAMEDA AVE","EL PASO","EL PASO","TX","79905","3 out of 10","6 out of 9","6 out of 10","2 out of 10","2 out of 9","2 out of 10","1 out of 10","3 out of 9","3 out of 10","3 out of 10","3 out of 9","3 out of 10","9 out of 10","8 out of 9","9 out of 10","2 out of 10","1 out of 9","2 out of 10","6 out of 10","4 out of 9","6 out of 10","7 out of 10","6 out of 9","7 out of 10","38","20"
2392,"450028","VHS BROWNSVILLE HOSPITAL COMPANY, LLC","1040 W JEFFERSON ST","BROWNSVILLE","CAMERON","TX","78520","2 out of 10","2 out of 9","2 out of 10","1 out of 10","1 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","7 out of 10","7 out of 9","7 out of 10","2 out of 10","3 out of 9","3 out of 10","4 out of 10","2 out of 9","4 out of 10","1 out of 10","0 out of 9","1 out of 10","5 out of 10","2 out of 9","5 out of 10","24","20"
2393,"450029","LAREDO MEDICAL CENTER","1700 EAST SAUNDERS","LAREDO","WEBB","TX","78044","4 out of 10","5 out of 9","5 out of 10","5 out of 10","3 out of 9","5 out of 10","0 out of 10","2 out of 9","2 out of 10","7 out of 10","8 out of 9","8 out of 10","4 out of 10","5 out of 9","5 out of 10","4 out of 10","3 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","3 out of 10","3 out of 9","3 out of 10","33","18"
2394,"450032","GOOD SHEPHERD MEDICAL CENTER MARSHALL","811 S WASHINGTON","MARSHALL","HARRISON","TX","75670","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","2 out of 9","2 out of 10","0 out of 10","3 out of 9","3 out of 10","3 out of 10","1 out of 9","3 out of 10","4 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","14","18"
2395,"450033","VHS HARLINGEN HOSPITAL COMPANY LLC","2101 PEASE ST","HARLINGEN","CAMERON","TX","78550","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","3 out of 9","3 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","8","16"
2396,"450034","CHRISTUS HOSPITAL","2830 CALDER AVENUE","BEAUMONT","JEFFERSON","TX","77702","5 out of 10","1 out of 9","5 out of 10","3 out of 10","2 out of 9","3 out of 10","4 out of 10","0 out of 9","4 out of 10","3 out of 10","1 out of 9","3 out of 10","6 out of 10","2 out of 9","6 out of 10","3 out of 10","1 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","2 out of 9","4 out of 10","28","18"
2397,"450035","ST JOSEPH MEDICAL CENTER","1401 ST. JOSEPH PARKWAY","HOUSTON","HARRIS","TX","77002","0 out of 10","4 out of 9","4 out of 10","3 out of 10","4 out of 9","4 out of 10","0 out of 10","3 out of 9","3 out of 10","3 out of 10","5 out of 9","5 out of 10","0 out of 10","3 out of 9","3 out of 10","2 out of 10","2 out of 9","2 out of 10","3 out of 10","6 out of 9","6 out of 10","3 out of 10","4 out of 9","4 out of 10","31","18"
2398,"450037","GOOD SHEPHERD MEDICAL CENTER","700 EAST MARSHALL AVENUE","LONGVIEW","GREGG","TX","75601","6 out of 10","3 out of 9","6 out of 10","5 out of 10","2 out of 9","5 out of 10","3 out of 10","1 out of 9","3 out of 10","4 out of 10","1 out of 9","4 out of 10","3 out of 10","0 out of 9","3 out of 10","4 out of 10","1 out of 9","4 out of 10","6 out of 10","5 out of 9","6 out of 10","5 out of 10","3 out of 9","5 out of 10","36","20"
2399,"450039","JPS HEALTH NETWORK","1500 S MAIN ST","FORT WORTH","TARRANT","TX","76104","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","3 out of 10","3 out of 9","3 out of 10","1 out of 10","2 out of 9","2 out of 10","15","16"
2400,"450040","COVENANT MEDICAL CENTER","3615 19TH STREET","LUBBOCK","LUBBOCK","TX","79410","1 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","3 out of 9","3 out of 10","1 out of 10","3 out of 9","3 out of 10","4 out of 10","4 out of 9","4 out of 10","3 out of 10","1 out of 9","3 out of 10","4 out of 10","1 out of 9","4 out of 10","3 out of 10","2 out of 9","3 out of 10","22","19"
2401,"450042","PROVIDENCE HEALTH CENTER","6901 MEDICAL PARKWAY","WACO","MCLENNAN","TX","76712","7 out of 10","8 out of 9","8 out of 10","6 out of 10","6 out of 9","6 out of 10","3 out of 10","4 out of 9","4 out of 10","2 out of 10","4 out of 9","4 out of 10","10 out of 10","9 out of 9","10 out of 10","6 out of 10","6 out of 9","6 out of 10","10 out of 10","9 out of 9","10 out of 10","6 out of 10","5 out of 9","6 out of 10","54","20"
2402,"450044","UT SOUTHWESTERN UNIVERSITY HOSPITAL","5909 HARRY HINES BLVD","DALLAS","DALLAS","TX","75390","4 out of 10","3 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","2 out of 10","1 out of 9","2 out of 10","3 out of 10","2 out of 9","3 out of 10","2 out of 10","2 out of 9","2 out of 10","4 out of 10","1 out of 9","4 out of 10","17","19"
2403,"450046","CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI","600 ELIZABETH STREET","CORPUS CHRISTI","NUECES","TX","78404","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","2 out of 10","2 out of 9","2 out of 10","2 out of 10","1 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","4 out of 9","4 out of 10","1 out of 10","1 out of 9","1 out of 10","12","17"
2404,"450051","METHODIST DALLAS MEDICAL CENTER","1441 NORTH BECKLEY AVENUE","DALLAS","DALLAS","TX","75203","0 out of 10","1 out of 9","1 out of 10","2 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","2 out of 10","2 out of 9","2 out of 10","5 out of 10","4 out of 9","5 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","1 out of 9","3 out of 10","15","16"
2405,"450054","SCOTT & WHITE MEMORIAL HOSPITAL","2401 31ST ST","TEMPLE","BELL","TX","76508","1 out of 10","0 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","5 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","2 out of 9","3 out of 10","3 out of 10","0 out of 9","3 out of 10","14","16"
2406,"450055","ROLLING PLAINS MEMORIAL HOSPITAL","200 E ARIZONA","SWEETWATER","NOLAN","TX","79556","8 out of 10","5 out of 9","8 out of 10","9 out of 10","0 out of 9","9 out of 10","10 out of 10","9 out of 9","10 out of 10","6 out of 10","0 out of 9","6 out of 10","8 out of 10","0 out of 9","8 out of 10","8 out of 10","0 out of 9","8 out of 10","10 out of 10","9 out of 9","10 out of 10","7 out of 10","0 out of 9","7 out of 10","66","20"
2407,"450056","SETON MEDICAL CENTER AUSTIN","1201 W 38TH ST","AUSTIN","TRAVIS","TX","78705","1 out of 10","4 out of 9","4 out of 10","1 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","1 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","5 out of 10","6 out of 9","6 out of 10","3 out of 10","4 out of 9","4 out of 10","26","17"
2408,"450058","BAPTIST MEDICAL CENTER","111 DALLAS STREET","SAN ANTONIO","BEXAR","TX","78205","1 out of 10","0 out of 9","1 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","2 out of 9","2 out of 10","1 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","6 out of 9","6 out of 10","3 out of 10","1 out of 9","3 out of 10","16","17"
2409,"490089","CARILION FRANKLIN MEMORIAL HOSPITAL","180 FLOYD AVENUE","ROCKY MOUNT","FRANKLIN","VA","24151","2 out of 10","0 out of 9","2 out of 10","3 out of 10","0 out of 9","3 out of 10","5 out of 10","0 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","4 out of 10","1 out of 9","4 out of 10","1 out of 10","1 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","20","18"
2410,"490090","SOUTHSIDE COMMUNITY HOSPITAL, INC","800 OAK STREET","FARMVILLE","PRINCE EDWARD","VA","23901","6 out of 10","5 out of 9","6 out of 10","3 out of 10","4 out of 9","4 out of 10","5 out of 10","5 out of 9","5 out of 10","4 out of 10","4 out of 9","4 out of 10","5 out of 10","5 out of 9","5 out of 10","4 out of 10","3 out of 9","4 out of 10","2 out of 10","3 out of 9","3 out of 10","0 out of 10","3 out of 9","3 out of 10","34","18"
2411,"490092","SOUTHAMPTON MEMORIAL HOSPITAL","100 FAIRVIEW DRIVE","FRANKLIN","FRANKLIN CITY","VA","23851","6 out of 10","4 out of 9","6 out of 10","6 out of 10","5 out of 9","6 out of 10","2 out of 10","2 out of 9","2 out of 10","2 out of 10","1 out of 9","2 out of 10","6 out of 10","6 out of 9","6 out of 10","3 out of 10","0 out of 9","3 out of 10","6 out of 10","3 out of 9","6 out of 10","2 out of 10","2 out of 9","2 out of 10","33","20"
2412,"490093","SENTARA CAREPLEX HOSPITAL","3000 COLISEUM DRIVE","HAMPTON","HAMPTON CITY","VA","23666","3 out of 10","6 out of 9","6 out of 10","4 out of 10","5 out of 9","5 out of 10","1 out of 10","4 out of 9","4 out of 10","3 out of 10","6 out of 9","6 out of 10","3 out of 10","5 out of 9","5 out of 10","5 out of 10","5 out of 9","5 out of 10","7 out of 10","8 out of 9","8 out of 10","4 out of 10","5 out of 9","5 out of 10","44","20"
2413,"490097","SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER","727 NORTH MAIN STREET","EMPORIA","EMPORIA CITY","VA","23847","0 out of 10","0 out of 9","0 out of 10","6 out of 10","0 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","8","14"
2414,"490098","COMMUNITY MEMORIAL HEALTHCENTER, INC","125 BUENA VISTA CIRCLE","SOUTH HILL","MECKLENBURG","VA","23970","4 out of 10","3 out of 9","4 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","3 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","8 out of 10","8 out of 9","8 out of 10","0 out of 10","0 out of 9","0 out of 10","23","18"
2415,"490101","INOVA FAIROAKS HOSPITAL","3600 JOSEPH SIEWICK DRIVE","FAIRFAX","FAIRFAX","VA","22033","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","6 out of 9","6 out of 10","2 out of 10","0 out of 9","2 out of 10","9","15"
2416,"490107","RESTON HOSPITAL CENTER","1850 TOWN CENTER PARKWAY","RESTON","FAIRFAX","VA","20190","0 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","2 out of 9","2 out of 10","4 out of 10","3 out of 9","4 out of 10","4 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","16","15"
2417,"490110","LEWISGALE HOSPITAL MONTGOMERY","3700 SOUTH MAIN STREET","BLACKSBURG","MONTGOMERY","VA","24060","3 out of 10","0 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","3 out of 10","3 out of 9","3 out of 10","4 out of 10","0 out of 9","4 out of 10","10 out of 10","9 out of 9","10 out of 10","4 out of 10","0 out of 9","4 out of 10","29","20"
2418,"490111","WYTHE COUNTY COMMUNITY HOSPITAL","600 WEST RIDGE ROAD","WYTHEVILLE","WYTHE","VA","24382","7 out of 10","4 out of 9","7 out of 10","4 out of 10","0 out of 9","4 out of 10","6 out of 10","0 out of 9","6 out of 10","4 out of 10","2 out of 9","4 out of 10","8 out of 10","8 out of 9","8 out of 10","4 out of 10","3 out of 9","4 out of 10","6 out of 10","0 out of 9","6 out of 10","1 out of 10","0 out of 9","1 out of 10","40","20"
2419,"490112","CJW MEDICAL CENTER","1401 JOHNSTON WILLIS DRIVE","RICHMOND","CHESTERFIELD","VA","23235","2 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","7 out of 10","6 out of 9","7 out of 10","2 out of 10","1 out of 9","2 out of 10","15","18"
2420,"490113","SENTARA POTOMAC HOSPITAL","2300 OPITZ BOULEVARD","WOODBRIDGE","PRINCE WILLIAM","VA","22191","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","2 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","10","16"
