"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Medicare Payment Range","Number Of Cases"
"NV","545","Repair of Previous Hip or Knee Replacement","13910 - 16210","284"
"NY","545","Repair of Previous Hip or Knee Replacement","14636 - 21533","2120"
"OH","545","Repair of Previous Hip or Knee Replacement","13173 - 15784","2181"
"OK","545","Repair of Previous Hip or Knee Replacement","11437 - 13270","510"
"OR","545","Repair of Previous Hip or Knee Replacement","14623 - 15990","414"
"PA","545","Repair of Previous Hip or Knee Replacement","13613 - 16374","2138"
"PR","545","Repair of Previous Hip or Knee Replacement","8167 - 8730","67"
"RI","545","Repair of Previous Hip or Knee Replacement","14630 - 19261","114"
"SC","545","Repair of Previous Hip or Knee Replacement","13097 - 16432","689"
"SD","545","Repair of Previous Hip or Knee Replacement","13591 - 14300","193"
"TN","545","Repair of Previous Hip or Knee Replacement","12830 - 14875","1144"
"TX","545","Repair of Previous Hip or Knee Replacement","13472 - 16067","2885"
"UT","545","Repair of Previous Hip or Knee Replacement","12992 - 16356","522"
"VA","545","Repair of Previous Hip or Knee Replacement","12683 - 15367","1133"
"VT","545","Repair of Previous Hip or Knee Replacement","15448 - 20493","79"
"WA","545","Repair of Previous Hip or Knee Replacement","15349 - 17151","895"
"WI","545","Repair of Previous Hip or Knee Replacement","13494 - 15757","1026"
"WV","545","Repair of Previous Hip or Knee Replacement","12711 - 14801","238"
"WY","545","Repair of Previous Hip or Knee Replacement","13434 - 14555","56"
"AK","549","Heart Bypass Surgery with Complications or Preexisting Conditions","35717 - 42290","*"
"AL","549","Heart Bypass Surgery with Complications or Preexisting Conditions","23856 - 27842","315"
"AR","549","Heart Bypass Surgery with Complications or Preexisting Conditions","26145 - 28456","198"
"AZ","549","Heart Bypass Surgery with Complications or Preexisting Conditions","27092 - 35201","229"
"CA","549","Heart Bypass Surgery with Complications or Preexisting Conditions","33579 - 43531","641"
"CO","549","Heart Bypass Surgery with Complications or Preexisting Conditions","26631 - 32257","83"
"CT","549","Heart Bypass Surgery with Complications or Preexisting Conditions","36328 - 40490","133"
"DC","549","Heart Bypass Surgery with Complications or Preexisting Conditions","35992 - 37309","86"
"DE","549","Heart Bypass Surgery with Complications or Preexisting Conditions","24351 - 30100","17"
"FL","549","Heart Bypass Surgery with Complications or Preexisting Conditions","25818 - 29981","824"
"GA","549","Heart Bypass Surgery with Complications or Preexisting Conditions","26389 - 34155","350"
"HI","549","Heart Bypass Surgery with Complications or Preexisting Conditions","35671 - 36998","32"
"IA","549","Heart Bypass Surgery with Complications or Preexisting Conditions","26067 - 29822","118"
"ID","549","Heart Bypass Surgery with Complications or Preexisting Conditions","27308 - 29252","31"
"IL","549","Heart Bypass Surgery with Complications or Preexisting Conditions","27991 - 36667","549"
"IN","549","Heart Bypass Surgery with Complications or Preexisting Conditions","25966 - 31278","357"
"KS","549","Heart Bypass Surgery with Complications or Preexisting Conditions","24997 - 32575","105"
"KY","549","Heart Bypass Surgery with Complications or Preexisting Conditions","25991 - 30795","362"
"LA","549","Heart Bypass Surgery with Complications or Preexisting Conditions","24221 - 28623","210"
"MA","549","Heart Bypass Surgery with Complications or Preexisting Conditions","39130 - 43373","269"
"MD","549","Heart Bypass Surgery with Complications or Preexisting Conditions","25598 - 46182","267"
"ME","549","Heart Bypass Surgery with Complications or Preexisting Conditions","30894 - 32201","60"
"MI","549","Heart Bypass Surgery with Complications or Preexisting Conditions","28794 - 33899","489"
"MN","549","Heart Bypass Surgery with Complications or Preexisting Conditions","29270 - 35201","135"
"MO","549","Heart Bypass Surgery with Complications or Preexisting Conditions","25104 - 31081","321"
"MS","549","Heart Bypass Surgery with Complications or Preexisting Conditions","26197 - 29540","126"
"MT","549","Heart Bypass Surgery with Complications or Preexisting Conditions","26548 - 27348","40"
"NC","549","Heart Bypass Surgery with Complications or Preexisting Conditions","29140 - 36469","324"
"ND","549","Heart Bypass Surgery with Complications or Preexisting Conditions","24783 - 32268","21"
"NE","549","Heart Bypass Surgery with Complications or Preexisting Conditions","26151 - 33656","101"
"NH","549","Heart Bypass Surgery with Complications or Preexisting Conditions","29496 - 30563","54"
"NJ","549","Heart Bypass Surgery with Complications or Preexisting Conditions","33556 - 39412","399"
"NM","549","Heart Bypass Surgery with Complications or Preexisting Conditions","25911 - 31011","35"
"NV","549","Heart Bypass Surgery with Complications or Preexisting Conditions","28898 - 33338","126"
"NY","549","Heart Bypass Surgery with Complications or Preexisting Conditions","31654 - 47628","578"
"OH","549","Heart Bypass Surgery with Complications or Preexisting Conditions","25942 - 33239","595"
"OK","549","Heart Bypass Surgery with Complications or Preexisting Conditions","24707 - 30144","243"
"OR","549","Heart Bypass Surgery with Complications or Preexisting Conditions","30350 - 33697","118"
"PA","549","Heart Bypass Surgery with Complications or Preexisting Conditions","27021 - 34155","391"
"PR","549","Heart Bypass Surgery with Complications or Preexisting Conditions","15645 - 16196","41"
"RI","549","Heart Bypass Surgery with Complications or Preexisting Conditions","29970 - 38619","19"
"SC","549","Heart Bypass Surgery with Complications or Preexisting Conditions","25971 - 32064","222"
"SD","549","Heart Bypass Surgery with Complications or Preexisting Conditions","25556","42"
"TN","549","Heart Bypass Surgery with Complications or Preexisting Conditions","26988 - 31242","429"
"TX","549","Heart Bypass Surgery with Complications or Preexisting Conditions","27085 - 32105","1073"
"UT","549","Heart Bypass Surgery with Complications or Preexisting Conditions","27849 - 31213","55"
"VA","549","Heart Bypass Surgery with Complications or Preexisting Conditions","28045 - 39027","292"
"VT","549","Heart Bypass Surgery with Complications or Preexisting Conditions","40641","14"
"WA","549","Heart Bypass Surgery with Complications or Preexisting Conditions","31474 - 36935","233"
"WI","549","Heart Bypass Surgery with Complications or Preexisting Conditions","26598 - 30847","204"
"WV","549","Heart Bypass Surgery with Complications or Preexisting Conditions","26799 - 29353","147"
"WY","549","Heart Bypass Surgery with Complications or Preexisting Conditions","28829 - 99694","*"
"AK","550","Heart Bypass Surgery","26445 - 27892","32"
"AL","550","Heart Bypass Surgery","17854 - 19895","727"
"AR","550","Heart Bypass Surgery","18682 - 20334","550"
"AZ","550","Heart Bypass Surgery","19355 - 24624","485"
"CA","550","Heart Bypass Surgery","23318 - 30106","1379"
"CO","550","Heart Bypass Surgery","19972 - 22640","208"
"CT","550","Heart Bypass Surgery","26463 - 27784","332"
"DC","550","Heart Bypass Surgery","26270 - 29172","93"
"DE","550","Heart Bypass Surgery","20647 - 23753","63"
"FL","550","Heart Bypass Surgery","18658 - 20542","1888"
"GA","550","Heart Bypass Surgery","18856 - 24213","846"
"HI","550","Heart Bypass Surgery","22781 - 27176","62"
"IA","550","Heart Bypass Surgery","18626 - 19738","393"
"ID","550","Heart Bypass Surgery","19550 - 20903","137"
"IL","550","Heart Bypass Surgery","19984 - 23835","1237"
"IN","550","Heart Bypass Surgery","18805 - 21104","858"
"KS","550","Heart Bypass Surgery","17862 - 22673","306"
"KY","550","Heart Bypass Surgery","18572 - 21498","650"
"LA","550","Heart Bypass Surgery","18176 - 20675","562"
"MA","550","Heart Bypass Surgery","25938 - 31702","374"
"MD","550","Heart Bypass Surgery","19346 - 32441","377"
"ME","550","Heart Bypass Surgery","22076 - 23010","143"
"MI","550","Heart Bypass Surgery","20517 - 24105","1007"
"MN","550","Heart Bypass Surgery","21423 - 25153","364"
"MO","550","Heart Bypass Surgery","17938 - 22209","754"
"MS","550","Heart Bypass Surgery","19473 - 21108","343"
"MT","550","Heart Bypass Surgery","17623 - 19270","129"
"NC","550","Heart Bypass Surgery","20263 - 24767","902"
"ND","550","Heart Bypass Surgery","17416 - 18566","99"
"NE","550","Heart Bypass Surgery","18712 - 21764","333"
"NH","550","Heart Bypass Surgery","21451 - 26092","123"
"NJ","550","Heart Bypass Surgery","23978 - 28196","688"
"NM","550","Heart Bypass Surgery","19382 - 22156","109"
"NV","550","Heart Bypass Surgery","20848 - 23822","156"
"NY","550","Heart Bypass Surgery","21005 - 33178","1279"
"OH","550","Heart Bypass Surgery","18616 - 22332","1427"
"OK","550","Heart Bypass Surgery","17655 - 21540","653"
"OR","550","Heart Bypass Surgery","21687 - 22496","318"
"PA","550","Heart Bypass Surgery","18918 - 22920","894"
"PR","550","Heart Bypass Surgery","11573 - 11979","170"
"RI","550","Heart Bypass Surgery","23374 - 28593","48"
"SC","550","Heart Bypass Surgery","18447 - 24197","532"
"SD","550","Heart Bypass Surgery","18262 - 20130","122"
"TN","550","Heart Bypass Surgery","19259 - 21976","1087"
"TX","550","Heart Bypass Surgery","19306 - 22708","2023"
"UT","550","Heart Bypass Surgery","19900 - 21426","186"
"VA","550","Heart Bypass Surgery","18838 - 22280","809"
"VT","550","Heart Bypass Surgery","28572 - 29040","45"
"WA","550","Heart Bypass Surgery","22235 - 25394","492"
"WI","550","Heart Bypass Surgery","19151 - 22569","578"
"WV","550","Heart Bypass Surgery","19150 - 20974","338"
"WY","550","Heart Bypass Surgery","19493 - 20625","29"
"AK","552","Pacemaker Implant","16103 - 16205","118"
"AL","552","Pacemaker Implant","10358 - 11357","1492"
"AR","552","Pacemaker Implant","10854 - 11709","1283"
"AZ","552","Pacemaker Implant","11247 - 13023","1484"
"CA","552","Pacemaker Implant","13305 - 16423","5178"
"CO","552","Pacemaker Implant","11507 - 12647","737"
"CT","552","Pacemaker Implant","13739 - 15833","1238"
"DC","552","Pacemaker Implant","15263 - 15489","263"
"DE","552","Pacemaker Implant","12039 - 13800","259"
"FL","552","Pacemaker Implant","10885 - 11913","6372"
"GA","552","Pacemaker Implant","11535 - 12720","1859"
"HI","552","Pacemaker Implant","13222 - 15360","241"
"IA","552","Pacemaker Implant","10812 - 11451","1109"
"ID","552","Pacemaker Implant","11346 - 12082","276"
"IL","552","Pacemaker Implant","11611 - 12947","2832"
"IN","552","Pacemaker Implant","10925 - 11886","1835"
"KS","552","Pacemaker Implant","10378 - 11842","883"
"KY","552","Pacemaker Implant","11485 - 12658","1111"
"LA","552","Pacemaker Implant","10568 - 11967","1280"
"MA","552","Pacemaker Implant","12814 - 16665","1575"
"MD","552","Pacemaker Implant","12546 - 20332","1149"
"ME","552","Pacemaker Implant","12032 - 13183","403"
"MI","552","Pacemaker Implant","11953 - 13959","2468"
"MN","552","Pacemaker Implant","12285 - 12745","1325"
"MO","552","Pacemaker Implant","10651 - 12178","1815"
"MS","552","Pacemaker Implant","10739 - 12264","846"
"MT","552","Pacemaker Implant","11022 - 11733","314"
"NC","552","Pacemaker Implant","11637 - 13507","1997"
"ND","552","Pacemaker Implant","10265 - 11562","346"
"NE","552","Pacemaker Implant","11035 - 12098","681"
"NH","552","Pacemaker Implant","12666 - 17482","374"
"NJ","552","Pacemaker Implant","13130 - 15483","2727"
"NM","552","Pacemaker Implant","11061 - 12872","254"
"NV","552","Pacemaker Implant","12290 - 13848","362"
"NY","552","Pacemaker Implant","12385 - 19047","4520"
"OH","552","Pacemaker Implant","10959 - 12362","3287"
"OK","552","Pacemaker Implant","10405 - 12515","1204"
"OR","552","Pacemaker Implant","12423 - 12868","518"
"PA","552","Pacemaker Implant","11225 - 13120","4132"
"PR","552","Pacemaker Implant","6724 - 7561","233"
"RI","552","Pacemaker Implant","12129 - 15866","181"
"SC","552","Pacemaker Implant","10862 - 12404","1541"
"SD","552","Pacemaker Implant","10610 - 11696","284"
"TN","552","Pacemaker Implant","11108 - 12319","1860"
"TX","552","Pacemaker Implant","11092 - 12859","5132"
"UT","552","Pacemaker Implant","11591 - 12389","364"
"VA","552","Pacemaker Implant","10870 - 12651","1370"
"VT","552","Pacemaker Implant","13263 - 16872","119"
"WA","552","Pacemaker Implant","12779 - 14040","1359"
"WI","552","Pacemaker Implant","11345 - 12833","1387"
"WV","552","Pacemaker Implant","10559 - 12124","531"
"WY","552","Pacemaker Implant","11289 - 11983","99"
"AK","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","16050 - 16089","114"
"AL","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","10350 - 11334","2965"
"AR","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","10830 - 11788","1722"
"AZ","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","11225 - 14275","3032"
"CA","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","13425 - 16545","7874"
"CO","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","11482 - 13048","908"
"CT","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","15511 - 16818","1127"
"DC","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","15229 - 15455","559"
"DE","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","12510 - 13770","472"
"FL","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","10862 - 11887","10136"
"GA","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","10931 - 14037","4050"
"HI","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","13311 - 15754","175"
"IA","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","10881 - 11341","2506"
"ID","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","11333 - 12051","484"
"IL","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","11590 - 13968","4843"
"IN","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","10901 - 11810","2979"
"KS","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","10355 - 11804","1213"
"KY","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","11511 - 12227","3384"
"LA","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","10705 - 11996","2674"
"MA","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","14337 - 17249","1430"
"MD","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","8512 - 14513","2527"
"ME","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","12798 - 13339","385"
"MI","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","12112 - 14259","6076"
"MN","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","12365 - 12717","1702"
"MO","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","10415 - 12123","3789"
"MS","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","11215 - 12237","1878"
"MT","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","10814 - 11329","439"
"NC","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","11648 - 14133","3094"
"ND","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","10763 - 12139","760"
"NE","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","11011 - 13942","984"
"NH","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","12660 - 17443","414"
"NJ","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","14350 - 17600","4834"
"NM","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","11601 - 12844","341"
"NV","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","11971 - 13810","569"
"NY","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","13586 - 20804","8071"
"OH","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","11206 - 12855","6634"
"OK","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","10599 - 12487","1628"
"OR","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","12526 - 13041","847"
"PA","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","11430 - 13346","5175"
"PR","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","6709 - 8269","206"
"RI","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","12415 - 16458","300"
"SC","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","10694 - 13207","2810"
"SD","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","10586 - 11670","465"
"TN","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","11126 - 12522","3809"
"TX","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","11078 - 13162","8834"
"UT","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","11536 - 12340","752"
"VA","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","10894 - 12599","2446"
"VT","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","16835","192"
"WA","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","12780 - 14023","1916"
"WI","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","11340 - 12929","2557"
"WV","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","10115 - 12159","1426"
"WY","558","Angioplasty Procedures and Insertion of Drug Coated Stent into Heart Artery","11211 - 11953","231"
"AK","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","40341 - 55810","12"
"AL","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","25859 - 29420","200"
"AR","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","26007 - 29984","106"
"AZ","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","28980 - 39596","118"
"CA","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","33674 - 48458","725"
"CO","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","27965 - 33095","121"
"CT","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","32468 - 39708","168"
"DC","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","33498 - 47157","33"
"DE","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","27089 - 34540","26"
"FL","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","26949 - 32864","580"
"GA","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","28076 - 35210","303"
"HI","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","34233 - 40852","19"
"IA","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","26041 - 32132","136"
"ID","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","27735 - 30229","38"
"IL","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","27532 - 40862","488"
"IN","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","27307 - 30839","253"
"KS","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","25639 - 29638","115"
"KY","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","27007 - 31903","189"
"LA","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","26793 - 34749","152"
"MA","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","29534 - 42129","196"
"MD","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","20724 - 47885","206"
"ME","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","28213 - 33594","48"
"MI","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","28796 - 36317","413"
"MN","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","29716 - 39978","185"
"MO","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","26657 - 35053","273"
"MS","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","26733 - 31946","135"
"MT","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","25870 - 29365","41"
"NC","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","28180 - 36174","313"
"ND","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","24846 - 28921","35"
"NE","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","27210 - 35299","80"
"NH","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","31192 - 43755","41"
"NJ","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","32042 - 38934","273"
"NM","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","29099 - 35300","51"
"NV","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","30022 - 35562","64"
"NY","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","29758 - 51190","500"
"OH","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","26893 - 34538","458"
"OK","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","25775 - 31322","167"
"OR","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","29458 - 34660","98"
"PA","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","26636 - 33740","457"
"PR","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","16829 - 20238","16"
"RI","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","30834 - 41579","42"
"SC","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","27391 - 32168","189"
"SD","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","26473 - 35460","35"
"TN","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","26574 - 32464","260"
"TX","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","27580 - 34326","665"
"UT","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","26827 - 35564","66"
"VA","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","26599 - 33725","267"
"VT","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","33251 - 42229","16"
"WA","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","30915 - 35432","196"
"WI","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","27848 - 34582","207"
"WV","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","26299 - 30500","92"
"WY","567","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions with Major Gastrointestinal Condition","28026 - 36631","16"
"AK","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","27147 - 38402","17"
"AL","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","16746 - 19218","382"
"AR","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","18215 - 19355","213"
"AZ","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","18794 - 22943","234"
"CA","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","22668 - 31711","1096"
"CO","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","17809 - 21335","152"
"CT","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","22974 - 26052","228"
"DC","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","25282 - 27728","61"
"DE","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","18818 - 22272","53"
"FL","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","17565 - 21891","892"
"GA","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","18606 - 22704","465"
"HI","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","21361 - 25482","47"
"IA","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","17568 - 21684","165"
"ID","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","18325 - 19975","45"
"IL","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","18772 - 25978","661"
"IN","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","17903 - 23845","357"
"KS","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","17181 - 20094","161"
"KY","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","17414 - 20633","311"
"LA","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","17609 - 20315","229"
"MA","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","21452 - 27487","432"
"MD","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","14845 - 36325","283"
"ME","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","19312 - 21576","79"
"MI","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","19304 - 26650","633"
"MN","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","19925 - 23585","346"
"MO","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","17212 - 23031","367"
"MS","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","17255 - 19244","168"
"MT","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","17491 - 18935","69"
"NC","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","18782 - 24435","546"
"ND","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","16605 - 17451","45"
"NE","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","18300 - 26057","149"
"NH","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","20396 - 28384","83"
"NJ","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","21327 - 25579","321"
"NM","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","18501 - 22232","49"
"NV","568","Stomach and Esophagus Operations in Adults with Complications or Preexisting Conditions without Major Gastrointestinal Condition","19363 - 22942","65"
