"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","Number of Patients 1","Footnote 1","Surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","Number of Patients 2","Footnote 2","Surgery patients who were given the right kind of antibiotic to help prevent infection","Number of Patients 3","Footnote 3","Patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots","Number of Patients 4","Footnote 4","Surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","Number of Patients 5","Footnote 5","Heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","Number of Patients 6","Footnote 6","Surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method","Number of Patients 7","Footnote 7","The percent of surgery patients whose urinary catheters were removed on the first or second day after surgery","Number of Patients 11","Footnote 11","Surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on them","Number of Patients 8","Footnote 8","Outpatients having surgery who got an antibiotic at the right time - within one hour before surgery (higher numbers are better)","Number of Patients 9","Footnote 9","Outpatients having surgery who got the right kind of antibiotic (higher numbers are better)","Number of Patients 10","Footnote 10","Patients having surgery who were actively warmed in the operating room or whose body temperature was near normal","Number of Patients 13","Footnote 13"
"450848","MEMORIAL HERMANN SUGAR LAND HOSPITAL","17500 W GRAND PARKWAY SOUTH","","","SUGAR LAND","TX","77479","FORT BEND","2814994800","100","275","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","265","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","278","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","298","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","298","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","389","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","213","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","85","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","117","","99","117","","100","379","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450851","BAYLOR HEART AND VASCULAR HOSPITAL","621 NORTH HALL STREET","","","DALLAS","TX","75226","DALLAS","2148200670","100","93","","99","86","","100","96","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","100","141","","100","78","","99","81","","100","730","","100","730","","99","150",""
"450853","BAYLOR MEDICAL CENTER AT FRISCO","5601 WARREN PARKWAY","","","FRISCO","TX","75034","COLLIN","2146182000","97","775","","98","771","","98","775","","99","668","","99","669","","Not Available","0","","100","904","","97","616","","99","163","","98","594","","98","594","","100","955",""
"450855","HARLINGEN MEDICAL CENTER","5501 SOUTH EXPRESSWAY 77","","","HARLINGEN","TX","78550","CAMERON","9563651000","100","457","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","448","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","463","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","356","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","358","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","126","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","607","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","390","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","202","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","206","","99","203","","100","504","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450856","SOUTH TEXAS SPINE AND SURGICAL HOSPITAL","18600 NORTH HARDY OAK BLVD","","","SAN ANTONIO","TX","78258","BEXAR","2104040800","99","162","","99","162","","100","162","","99","107","","99","107","","Not Available","0","","100","200","","99","139","","98","52","","98","342","","99","341","","100","200",""
"450860","SUGAR LAND SURGICAL HOSPITAL LLP","1211 HIGHWAY 6, SUITE 70","","","SUGAR LAND","TX","77478","FORT BEND","2812431000","93","150","","99","150","","99","150","","99","123","","100","123","","Not Available","0","","100","159","","99","92","","38","47","","99","162","","99","161","","100","169",""
"450862","ST LUKE'S THE WOODLANDS HOSPITAL","17200 ST LUKE'S WAY","","","THE WOODLANDS","TX","77384","MONTGOMERY","9362664050","100","341","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","317","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","343","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","267","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","267","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","104","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","500","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","254","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","162","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","389","","98","389","","100","427","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450864","TEXAS SPINE AND JOINT HOSPITAL","1814 ROSELAND BOULEVARD","","","TYLER","TX","75701","SMITH","9035253300","99","229","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","229","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","229","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","203","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","203","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","263","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","193","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","63","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","432","","100","432","","100","262","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450865","SETON SOUTHWEST HOSPITAL","7900 FM 1826","","","AUSTIN","TX","78737","TRAVIS","5123249000","100","18","","100","18","","100","18","","97","30","","97","30","","Not Available","0","","100","43","","100","19","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","56",""
"450867","SETON  NORTHWEST HOSPITAL","11113 RESEARCH BOULEVARD","","","AUSTIN","TX","78759","TRAVIS","5123246000","100","205","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","201","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","206","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","269","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","269","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","310","The hospital indicated that the data submitted for this measure were based on a sample of cases","88","96","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","46","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","55","","98","50","","100","329","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450869","DOCTORS HOSPITAL AT RENAISSANCE","5501 SOUTH MCCOLL","","","EDINBURG","TX","78539","HIDALGO","9563628677","98","896","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","857","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","896","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","806","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","809","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","295","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","1325","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","608","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","398","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","829","","91","809","","100","1216","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450871","AUSTIN SURGICAL HOSPITAL","3003 BEE CAVES ROAD","","","AUSTIN","TX","78746","TRAVIS","5123479888","100","229","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","229","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","230","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","206","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","206","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","263","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","38","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","42","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","100","276","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450872","USMD HOSPITAL AT ARLINGTON L P","801 W INTERSTATE 20","","","ARLINGTON","TX","76017","TARRANT","8174723400","96","83","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","80","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","83","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","81","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","81","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","171","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","41","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","31","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","528","","94","530","","99","172","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450874","IRVING COPPELL SURGICAL HOSPITAL LLP","400 WEST INTERSTATE 635 SUITE 101","","","IRVING","TX","75063","DALLAS","9728684000","100","59","","100","59","","100","59","","100","41","","100","41","","Not Available","0","","100","62","","97","36","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","99","105","","99","105","","100","63",""
"450875","QUAIL CREEK SURGICAL HOSPITAL","6819 PLUM CREEK","","","AMARILLO","TX","79124","POTTER","8063546100","98","654","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","654","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","654","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","552","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","552","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","751","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","485","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","194","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","216","","98","214","","100","752","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450876","LUBBOCK HEART HOSPITAL LP","4810 NORTH LOOP 289","","","LUBBOCK","TX","79416","LUBBOCK","8066877777","99","149","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","145","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","160","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","10","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","10","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","134","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","201","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","125","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","97","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","339","","100","339","","100","62","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450877","EAST EL PASO PHYSICIANS MEDICAL CENTER, LLC","1416 GEORGE DIETER","","","EL PASO","TX","79936","EL PASO","9155984240","100","83","","98","82","","96","84","","98","60","","100","60","","87","15","","100","119","","97","38","","92","26","","99","77","","95","76","","99","101",""
"450880","BAYLOR SURGICAL HOSPITAL AT FORT WORTH","750 12TH AVENUE","","","FORT WORTH","TX","76104","TARRANT","8173345050","98","322","","100","321","","100","322","","98","241","","98","241","","Not Available","0","","100","336","","98","316","","Not Available","0","","100","283","","99","283","","100","334",""
"450883","BAYLOR MEDICAL CENTER AT TROPHY CLUB","2850 SOUTH HIGHWAY 114E","","","TROPHY CLUB","TX","76262","DENTON","8178374600","100","23","","96","23","","100","23","","97","29","","100","29","","Not Available","0","","100","33","","86","29","","100","11","","97","104","","98","103","","100","41",""
"450884","EAST TEXAS MEDICAL CENTER - GILMER","712 NORTH WOOD","","","GILMER","TX","75644","UPSHUR","9038417100","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"450885","CENTENNIAL MEDICAL CENTER","12505 LEBANON ROAD","","","FRISCO","TX","75035","COLLIN","9729633333","99","237","","97","205","","99","237","","99","288","","99","288","","77","22","","100","383","","99","208","","100","99","","100","43","","98","43","","100","393",""
"450886","SOUTHWEST SURGICAL HOSPITAL","1612 HURST TOWN CENTER DRIVE","","","HURST","TX","76054","TARRANT","8173454100","100","59","","100","58","","98","59","","100","48","","100","48","","Not Available","0","","100","62","","100","15","","100","12","","100","50","","100","50","","100","62",""
"450888","TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHLAKE","1545 E SOUTHLAKE BLVD","","","SOUTHLAKE","TX","76092","TARRANT","8177488700","99","363","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","362","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","370","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","321","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","321","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","418","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","294","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","96","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","343","","100","343","","100","423","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450889","TEXAS INSTITUTE FOR SURGERY AT PRESBYTERIAN HOSPIT","7115 GREENVILLE AVENUE SUITE 100","","","DALLAS","TX","75231","DALLAS","2146475300","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","98","326","","99","325","","Not Available","Not Available","No data are available from the hospital for this measure"
"450890","BAYLOR REGIONAL MEDICAL CENTER AT PLANO","4700 ALLIANCE BOULEVARD","","","PLANO","TX","75093","COLLIN","4698142000","99","267","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","249","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","268","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","341","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","341","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","437","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","193","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","79","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","372","","100","372","","100","437","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450891","TEXAS HEALTH CENTER FOR DIAGNOSTICS & SURGERY PLAN","6020 W PARKER ROAD","","","PLANO","TX","75093","COLLIN","9724032700","94","109","","83","109","","86","110","","100","79","","100","79","","Not Available","0","","100","128","","Not Available","0","","100","11","","100","412","","97","412","","100","129",""
"450893","NORTH TEXAS HOSPITAL","2801 SOUTH MAYHILL ROAD","","","DENTON","TX","76208","DENTON","9402200600","98","85","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","84","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","85","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","61","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","61","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","133","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","17","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","19","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","250","","97","249","","100","129","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450894","PINE CREEK MEDICAL CENTER LLP","9032 HARRY HINES BLVD","","","DALLAS","TX","75235","DALLAS","2142312273","87","187","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","91","183","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","99","188","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","93","204","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","94","204","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","97","224","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","97","143","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","58","45","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","91","150","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","94","145","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","97","349","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases"
"451301","REAGAN MEMORIAL HOSPITAL","805 NORTH MAIN","","","BIG LAKE","TX","76932","REAGAN","3258442561","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"451302","GOOD SHEPHARD MEDICAL CENTER-LINDEN","404 NORTH KAUFMAN STREET","","","LINDEN","TX","75563","CASS","9037565561","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"451320","BAYSIDE COMMUNITY HOSPITAL","200 HOSPITAL DRIVE","","","ANAHUAC","TX","77514","CHAMBERS","4092673143","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"451323","ROLLINS BROOK COMMUNITY HOSPITAL","608 NORTH KEY AVENUE","","","LAMPASAS","TX","76550","LAMPASAS","5125563682","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure"
"451343","ELECTRA MEMORIAL HOSPITAL","1207 S BAILEY STREET","","","ELECTRA","TX","76360","WICHITA","9404953981","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"451356","MEMORIAL MEDICAL CENTER","815 N VIRGINIA STREET","","","PORT LAVACA","TX","77979","CALHOUN","3615526713","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","93","14","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","65","20","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","100","17","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","100","20","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"451364","OTTO KAISER MEMORIAL HOSPITAL","3349 S HIGHWAY 181","","","KENEDY","TX","78119","KARNES","8305833401","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"451365","SETON HIGHLAND LAKES","HIGHWAY 281 SOUTH","","","BURNET","TX","78611","BURNET","5127153000","98","61","","98","56","","98","63","","100","72","","100","72","","Not Available","Not Available","No data are available from the hospital for this measure","100","82","","100","56","","100","12","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","100","81",""
"451371","SETON EDGAR B DAVIS HOSPITAL","130 HAYS STREET","","","LULING","TX","78648","CALDWELL","8308757000","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"451377","REEVES COUNTY HOSPITAL DISTRICT","2323 TEXAS STREET","","","PECOS","TX","79772","REEVES","4324473551","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"451378","BIG BEND REGIONAL MEDICAL CENTER","2600 HIGHWAY 118 NORTH","","","ALPINE","TX","79830","BREWSTER","4328373447","100","8","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","7","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","8","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","18","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","18","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","22","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","9","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","7","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","15","","100","15","","100","21","The hospital indicated that the data submitted for this measure were based on a sample of cases"
