"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Number of Patients 1","Footnote 1","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Number of Patients 2","Footnote 2","Percent of Heart Failure Patients Given Discharge Instructions","Number of Patients 3","Footnote 3","Percent of Heart Failure Patients Given Smoking Cessation Advice/Counseling","Number of Patients 4","Footnote 4"
"330079","ADIRONDACK MEDICAL CENTER","2233 STATE ROUTE 86","","","SARANAC LAKE","NY","12983","FRANKLIN","5188914141","96","67","","81","21","","100","57","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"330164","HIGHLAND HOSPITAL","1000 SOUTH AVENUE","","","ROCHESTER","NY","14620","MONROE","5854732200","99","333","","88","65","","97","240","","100","41",""
"330175","CORTLAND REGIONAL MEDICAL CENTER, INC","134 HOMER AVENUE","","","CORTLAND","NY","13045","CORTLAND","6077563500","96","144","","88","33","","100","97","","100","14",""
"330057","ST PETER'S HOSPITAL","315 SOUTH MANNING BOULEVARD","","","ALBANY","NY","12208","ALBANY","5185251550","100","573","","98","136","","95","454","","100","50",""
"440065","NORTHCREST MEDICAL CENTER","100 NORTHCREST DRIVE","","","SPRINGFIELD","TN","37172","ROBERTSON","6153842411","100","85","","100","43","","100","73","","100","21",""
"670056","SETON MEDICAL CENTER HAYS","6001 KYLE PKWY","","","KYLE","TX","78640","HAYS","5123245000","100","120","","100","43","","100","101","","100","20",""
"451344","HANSFORD COUNTY HOSPITAL","707 ROLAND ST","","","SPEARMAN","TX","79081","HANSFORD","8066592535","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"050677","KAISER FOUNDATION HOSPITAL - WOODLAND HILLS","5601 DE SOTO","","","WOODLAND HILLS","CA","91367","LOS ANGELES","8187193800","100","237","","100","38","","98","218","","100","14",""
"330182","ST FRANCIS HOSPITAL, ROSLYN","100 PORT WASHINGTON BOULEVARD","","","ROSLYN","NY","11576","NASSAU","5165626000","100","335","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","112","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","272","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","18","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"050696","KECK HOSPITAL OF USC","1500 SAN PABLO ST","","","LOS ANGELES","CA","90033","LOS ANGELES","3234428656","100","111","","100","32","","99","97","","91","11",""
"310008","HOLY NAME MEDICAL CENTER","718 TEANECK RD","","","TEANECK","NJ","07666","BERGEN","2018333000","100","322","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","87","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","227","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","29","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"260080","RIPLEY COUNTY MEMORIAL HOSPITAL","109 PLUM ST","","","DONIPHAN","MO","63935","RIPLEY","5739962141","88","16","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","83","12","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"340160","MURPHY MEDICAL CENTER INC","3990 EAST US HIGHWAY 64 ALT","","","MURPHY","NC","28906","CHEROKEE","8288378161","97","33","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","81","27","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"120011","KAISER FOUNDATION HOSPITAL","3288 MOANALUA RD","","","HONOLULU","HI","96819","HONOLULU","8084320000","100","263","","99","79","","100","254","","100","27",""
"440156","PARKRIDGE MEDICAL CENTER","2333 MCCALLIE AVE","","","CHATTANOOGA","TN","37404","HAMILTON","4238944220","100","296","","100","92","","94","251","","100","91",""
"14008F","MARION IL VA MEDICAL CENTER","2401 WEST MAIN","","","MARION                        ","IL","62959","WILLIAMSON","6189975311","100","114","","81","48","","99","110","","93","29",""
"170191","GREAT BEND REGIONAL HOSPITAL","514 CLEVELAND STREET","","","GREAT BEND","KS","67530","BARTON","6207928833","62","13","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","27","11","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"351333","THE MERCY HOSPITAL OF DEVILS LAKE","1031 7TH ST NE","","","DEVILS LAKE","ND","58301","RAMSEY","7016622131","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"191321","LALLIE KEMP MEDICAL CENTER","52579 HIGHWAY 21 SOUTH","","","INDEPENDENCE","LA","70443","TANGIPAHOA","9858789421","100","36","","92","13","","94","35","","100","15",""
"370015","INTEGRIS MAYES COUNTY MEDICAL CENTER","111 NORTH BAILEY STREET","","","PRYOR","OK","74361","MAYES","9188251600","100","28","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","20","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"360123","ST JOHN MEDICAL CENTER","29000 CENTER RIDGE ROAD","","","WESTLAKE","OH","44145","CUYAHOGA","4408358000","100","270","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","46","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","176","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","33","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"381320","COLUMBIA MEMORIAL HOSPITAL","2111 EXCHANGE STREET","","","ASTORIA","OR","97103","CLATSOP","5033254321","88","41","","100","15","","80","35","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"270057","BOZEMAN DEACONESS HOSPITAL","915 HIGHLAND BLVD","","","BOZEMAN","MT","59715","GALLATIN","4065855000","100","86","","94","18","","97","71","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"271300","POPLAR COMMUNITY HOSPITAL","211 H ST E","","","POPLAR","MT","59255","ROOSEVELT","4067686100","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"430092","DAKOTA PLAINS SURGICAL CENTER LLP","701 8TH AVENUE NW SUITE C","","","ABERDEEN","SD","57401","BROWN","6052253300","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"140206","NORWEGIAN-AMERICAN HOSPITAL","1044 N FRANCISCO AVE","","","CHICAGO","IL","60622","COOK","7732928200","100","115","","84","61","","88","95","","100","34",""
"180143","SAINT JOSEPH EAST","150 NORTH EAGLE CREEK DRIVE","","","LEXINGTON","KY","40509","FAYETTE","8599675000","99","165","","93","58","","78","139","","100","51",""
"210007","SAINT JOSEPH MEDICAL CENTER","7601 OSLER DRIVE","","","TOWSON","MD","21204","BALTIMORE","4103371200","100","283","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","83","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","242","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","37","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"340024","SAMPSON REGIONAL MEDICAL CENTER","607 BEAMAN ST","","","CLINTON","NC","28328","SAMPSON","9105928511","99","176","","92","48","","89","130","","100","23",""
"070016","SAINT MARYS HOSPITAL","56 FRANKLIN ST","","","WATERBURY","CT","06706","NEW HAVEN","2035746000","100","305","","100","90","","100","187","","100","35",""
"330044","FAXTON-ST LUKE'S HEALTHCARE","1656 CHAMPLIN AVENUE","","","UTICA","NY","13503","ONEIDA","3157986000","95","330","","90","112","","98","225","","100","22",""
"390150","SOUTHWEST REGIONAL MEDICAL CENTER","350 BONAR AVENUE","","","WAYNESBURG","PA","15370","GREENE","7246272602","99","168","","78","27","","82","123","","97","31",""
"150160","INDIANA ORTHOPAEDIC HOSPITAL LLC","8400 NORTHWEST BLVD","","","INDIANAPOLIS","IN","46278","MARION","3179561000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"450271","WISE REGIONAL HEALTH SYSTEM","609 MEDICAL CENTER DRIVE","","","DECATUR","TX","76234","WISE","9406275921","98","99","","93","42","","89","75","","94","17",""
"431335","HURON REGIONAL MEDICAL CENTER","172 FOURTH STREET SE","","","HURON","SD","57350","BEADLE","6053536200","75","16","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","79","14","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"190184","CITIZENS MEDICAL CENTER","7939 U S HWY 165 SOUTH","","","COLUMBIA","LA","71418","CALDWELL","3186496106","33","9","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","6","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","2","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"451330","MEDINA REGIONAL HOSPITAL","3100 AVENUE E","","","HONDO","TX","78861","MEDINA","8304267700","73","15","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","31","13","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"200041","INLAND HOSPITAL","200 KENNEDY MEMORIAL DRIVE","","","WATERVILLE","ME","04901","KENNEBEC","2078613000","100","52","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","91","35","","100","13",""
"670018","DOCTORS DIAGNOSTIC HOSPITAL","1017 SOUTH TRAVIS","","","CLEVELAND","TX","77328","LIBERTY","2816222900","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"49010F","RICHMOND VA MEDICAL CENTER","1201 BROAD ROCK BOULEVARD","","","RICHMOND                      ","VA","23249","RICHMOND CITY","8046755000","100","305","","100","137","","100","289","","100","57",""
"170103","NEWTON MEDICAL CENTER","600 MEDICAL CENTER DRIVE","","","NEWTON","KS","67114","HARVEY","3168046001","92","79","","74","19","","60","43","","85","13",""
"240052","LAKE REGION HEALTHCARE CORPORATION","712 SOUTH CASCADE","","","FERGUS FALLS","MN","56537","OTTER TAIL","2187368000","99","84","","100","25","","89","56","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"050708","FRESNO SURGICAL HOSPITAL","6125 NORTH FRESNO ST","","","FRESNO","CA","93710","FRESNO","5594318000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"070002","ST FRANCIS HOSPITAL & MEDICAL CENTER","114 WOODLAND STREET","","","HARTFORD","CT","06105","HARTFORD","8607144000","100","318","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","116","The hospital indicated that the data submitted for this measure were based on a sample of cases","68","224","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","29","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"220062","ADCARE HOSPITAL OF WORCESTER INC","107 LINCOLN STREET","","","WORCESTER","MA","01605","WORCESTER","5087999000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"330132","TLC HEALTH NETWORK","100 MEMORIAL DRIVE","","","GOWANDA","NY","14070","CATTARAUGUS","7165323377","93","59","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","41","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"271311","BIG SANDY MEDICAL CENTER","166 MONTANA AVE E","","","BIG SANDY","MT","59520","CHOUTEAU","4063782188","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"391302","MEYERSDALE COMMUNITY HOSPITAL","200 HOSPITAL DRIVE","","","MYERSDALE","PA","15552","SOMERSET","8146345911","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"390312","CANCER TREATMENT CENTERS OF AMERICA","1331 EAST WYOMING AVENUE","","","PHILADELPHIA","PA","19124","PHILADELPHIA","2157446728","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"390174","THOMAS JEFFERSON UNIVERSITY HOSPITAL","111 SOUTH 11TH STREET","","","PHILADELPHIA","PA","19107","PHILADELPHIA","2159556000","99","970","","99","335","","99","838","","100","202",""
"500014","PROVIDENCE REGIONAL MEDICAL CENTER EVERETT","1321 COLBY AVENUE","","","EVERETT","WA","98201","SNOHOMISH","4252612000","100","505","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","203","The hospital indicated that the data submitted for this measure were based on a sample of cases","88","394","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","93","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"390145","EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL","532 WEST PITTSBURGH STREET","","","GREENSBURG","PA","15601","WESTMORELAND","4128325050","100","719","","95","154","","89","522","","100","61",""
"100243","BRANDON REGIONAL HOSPITAL","119 OAKFIELD DR","","","BRANDON","FL","33511","HILLSBOROUGH","8136815551","100","420","","99","130","","97","333","","100","77",""
"110040","NORTHRIDGE MEDICAL CENTER","70 MEDICAL CENTER DRIVE","","","COMMERCE","GA","30529","JACKSON","7063351101","98","63","","79","19","","80","50","","100","15",""
"330406","SUNNYVIEW HOSPITAL AND REHABILITATION CENTER","1270 BELMONT AVENUE","","","SCHENECTADY","NY","12308","SCHENECTADY","5183863580","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"281342","ST MARY'S COMMUNITY HOSPITAL","1314  3RD AVE","","","NEBRASKA CITY","NE","68410","OTOE","4028733321","100","13","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"051308","SURPRISE VALLEY COMMUNITY HOSPITAL","741 NORTH MAIN STREET","","","CEDARVILLE","CA","96104","MODOC","5302796111","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"370093","O U MEDICAL CENTER","1200 EVERETT DRIVE","","","OKLAHOMA CITY","OK","73117","OKLAHOMA","4052715151","100","247","","100","113","","91","220","","100","94",""
"390108","MONTGOMERY HOSPITAL","POWELL & FORNANCE STREETS","","","NORRISTOWN","PA","19401","MONTGOMERY","6102702000","99","233","","89","103","","95","199","","100","56",""
"151305","PULASKI MEMORIAL HOSPITAL","616 E 13TH ST","","","WINAMAC","IN","46996","PULASKI","5749462100","100","14","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"241343","MUNICIPAL HOSPITAL AND GRANITE MANOR","345 TENTH AVENUE","","","GRANITE FALLS","MN","56241","YELLOW MEDICINE","3205643111","92","12","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","20","5","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"291307","MESA VIEW REGIONAL HOSPITAL","1299 BERTHA HOWE AVENUE","","","MESQUITE","NV","89027","CLARK","7023468040","97","31","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","96","27","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"390268","MOUNT NITTANY MEDICAL CENTER","1800 EAST PARK AVE","","","STATE COLLEGE","PA","16803","CENTRE","8142317000","100","289","","97","62","","90","223","","96","28",""
"141343","CRAWFORD MEMORIAL HOSPITAL","1000 NORTH ALLEN STREET","","","ROBINSON","IL","62454","CRAWFORD","6185462514","87","30","","100","13","","95","20","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"140082","LOUIS A WEISS MEMORIAL HOSPITAL","4646 N MARINE DRIVE","","","CHICAGO","IL","60640","COOK","7738788700","100","169","","98","66","","96","117","","100","41",""
"140231","EDWARD HOSPITAL","801 SOUTH WASHINGTON","","","NAPERVILLE","IL","60540","DUPAGE","6305273000","100","442","","98","132","","85","364","","100","65",""
"310010","UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO","ONE-FIVE PLAINSBORO ROAD","","","PLAINSBORO","NJ","08536","MIDDLESEX","8664604776","100","244","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","40","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","130","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","11","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"431325","MOBRIDGE REGIONAL HOSPITAL - CRITICAL ACCESS HOSP","1401 10TH AVE WEST","","","MOBRIDGE","SD","57601","WALWORTH","6058453692","75","12","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"490130","RIVERSIDE WALTER REED HOSPITAL","7519 HOSPITAL ROAD","","","GLOUCESTER","VA","23061","GLOUCESTER","8046938800","100","152","","96","49","","93","122","","100","23",""
"220019","HARRINGTON MEMORIAL HOSPITAL","100 SOUTH STREET","","","SOUTHBRIDGE","MA","01550","WORCESTER","5087659771","100","129","","100","24","","93","89","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"36003F","CINCINNATI VA MEDICAL CENTER","3200 VINE STREET","","","CINCINNATI                    ","OH","45220","HAMILTON","5138613100","100","259","","97","120","","90","236","","99","78",""
"131315","SYRINGA GENERAL HOSPITAL","607 W MAIN STREET","","","GRANGEVILLE","ID","83530","IDAHO","2089831700","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"150006","INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL","1007 LINCOLNWAY","","","LA PORTE","IN","46350","LA PORTE","2193261234","100","171","","98","61","","86","123","","100","24",""
"400011","HOSPITAL ORIENTE","300 FONT MARTELLO STREET","","","HUMACAO","PR","00792","HUMACAO","7878520505","100","7","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","80","5","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","71","7","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","100","3","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases"
"310003","PALISADES MEDICAL CTR-NY PRESBYTERIAN HEALTHCARE S","7600 RIVER RD","","","NORTH BERGEN","NJ","07047","HUDSON","2018545000","99","253","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","53","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","171","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","10","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450107","LAS PALMAS MEDICAL CENTER","1801 NORTH OREGON STREET","","","EL PASO","TX","79902","EL PASO","9155211200","100","464","","100","165","","100","425","","100","49",""
"340115","FIRSTHEALTH MOORE REGIONAL HOSPITAL","155 MEMORIAL DRIVE","","","PINEHURST","NC","28374","MOORE","9107151000","100","323","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","102","The hospital indicated that the data submitted for this measure were based on a sample of cases","83","287","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","69","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"220046","BERKSHIRE MEDICAL CENTER INC","725 NORTH STREET","","","PITTSFIELD","MA","01201","BERKSHIRE","4134472000","100","241","","100","42","","100","153","","100","23",""
"261319","LINCOLN COUNTY MEDICAL CENTER","1000 EAST CHERRY STREET","","","TROY","MO","63379","LINCOLN","6365288551","96","27","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","55","11","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"111315","CHARLTON MEMORIAL HOSPITAL","2449 THIRD STREET","","","FOLKSTON","GA","31537","CHARLTON","9124962531","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"150149","WOMEN'S HOSPITAL THE","4199 GATEWAY BLVD","","","NEWBURGH","IN","47630","WARRICK","8128424200","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"100008","BAPTIST HOSPITAL OF MIAMI INC","8900 N KENDALL DR","","","MIAMI","FL","33176","MIAMI-DADE","7865961960","100","1184","","100","367","","100","1023","","100","153",""
"521311","OUR LADY OF VICTORY HSPTL","1120 PINE ST","","","STANLEY","WI","54768","CHIPPEWA","7156445571","94","18","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","11","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"190088","SPRINGHILL MEDICAL CENTER","2001 DOCTORS DRIVE","","","SPRINGHILL","LA","71075","WEBSTER","3185391000","98","62","","100","12","","87","45","","100","16",""
"140290","ST ALEXIUS MEDICAL CENTER","1555 N BARRINGTON RD","","","HOFFMAN ESTATES","IL","60194","COOK","8478432000","100","355","","97","67","","100","267","","100","46",""
"100127","MORTON PLANT HOSPITAL","300 PINELLAS ST","","","CLEARWATER","FL","33756","PINELLAS","7274627000","100","571","","99","173","","95","426","","100","72",""
"310039","RARITAN BAY MEDICAL CENTER","530 NEW BRUNSWICK AVE","","","PERTH AMBOY","NJ","08861","MIDDLESEX","7324423700","99","511","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","132","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","319","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","56","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"180064","SAINT JOSEPH MOUNT STERLING","225 FALCON DRIVE","","","MOUNT STERLING","KY","40353","MONTGOMERY","8594981220","95","56","","100","13","","74","46","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"450865","SETON SOUTHWEST HOSPITAL","7900 FM 1826","","","AUSTIN","TX","78737","TRAVIS","5123249000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"100176","PALM BEACH GARDENS MEDICAL CENTER","3360 BURNS RD","","","PALM BEACH GARDENS","FL","33410","PALM BEACH","5616221411","100","470","","100","168","","96","402","","100","51",""
"370029","INTEGRIS CLINTON REGIONAL HOSPITAL","100 NORTH 30TH STREET","","","CLINTON","OK","73601","CUSTER","5803232363","95","64","","92","25","","80","46","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"450040","COVENANT MEDICAL CENTER","3615 19TH STREET","","","LUBBOCK","TX","79410","LUBBOCK","8067256000","99","609","","95","163","","83","488","","100","137",""
"111302","BLECKLEY MEMORIAL HOSPITAL","145 EAST PEACOCK STREET","","","COCHRAN","GA","31014","BLECKLEY","4789346211","84","32","","79","14","","67","30","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"251316","H C WATKINS MEMORIAL HOSPITAL INC","605 SOUTH ARCHUSA AVENUE","","","QUITMAN","MS","39355","CLARKE","6017766925","71","17","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","36","11","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
