"State","Diagnosis Related Group","Medicare Average Payment Minimum","Medicare Average Payment Maximum","Number Of Cases","Footnote"
"MI","Biopsies of musculoskeletal system and connective tissue w CC","","","338",""
"MN","Biopsies of musculoskeletal system and connective tissue w CC","","","64",""
"MO","Biopsies of musculoskeletal system and connective tissue w CC","","","193",""
"MS","Biopsies of musculoskeletal system and connective tissue w CC","","","93",""
"MT","Biopsies of musculoskeletal system and connective tissue w CC","","","19",""
"NC","Biopsies of musculoskeletal system and connective tissue w CC","","","218",""
"ND","Biopsies of musculoskeletal system and connective tissue w CC","","","12",""
"NE","Biopsies of musculoskeletal system and connective tissue w CC","","","48",""
"NH","Biopsies of musculoskeletal system and connective tissue w CC","","","35",""
"NJ","Biopsies of musculoskeletal system and connective tissue w CC","","","212",""
"NM","Biopsies of musculoskeletal system and connective tissue w CC","","","41",""
"NV","Biopsies of musculoskeletal system and connective tissue w CC","","","34",""
"NY","Biopsies of musculoskeletal system and connective tissue w CC","","","462",""
"OH","Biopsies of musculoskeletal system and connective tissue w CC","","","330",""
"OK","Biopsies of musculoskeletal system and connective tissue w CC","","","70",""
"OR","Biopsies of musculoskeletal system and connective tissue w CC","","","41",""
"PA","Biopsies of musculoskeletal system and connective tissue w CC","","","320",""
"PR","Biopsies of musculoskeletal system and connective tissue w CC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"RI","Biopsies of musculoskeletal system and connective tissue w CC","","","11",""
"SC","Biopsies of musculoskeletal system and connective tissue w CC","","","102",""
"SD","Biopsies of musculoskeletal system and connective tissue w CC","","","14",""
"TN","Biopsies of musculoskeletal system and connective tissue w CC","","","203",""
"TX","Biopsies of musculoskeletal system and connective tissue w CC","","","592",""
"UT","Biopsies of musculoskeletal system and connective tissue w CC","","","12",""
"VA","Biopsies of musculoskeletal system and connective tissue w CC","","","198",""
"VT","Biopsies of musculoskeletal system and connective tissue w CC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"WA","Biopsies of musculoskeletal system and connective tissue w CC","","","126",""
"WI","Biopsies of musculoskeletal system and connective tissue w CC","","","78",""
"WV","Biopsies of musculoskeletal system and connective tissue w CC","","","57",""
"WY","Biopsies of musculoskeletal system and connective tissue w CC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AK","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AL","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","56",""
"AR","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","35",""
"AZ","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","53",""
"CA","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","288",""
"CO","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","45",""
"CT","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","46",""
"DC","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","13",""
"DE","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"FL","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","328",""
"GA","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","94",""
"GU","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"HI","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","13",""
"IA","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","30",""
"ID","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","23",""
"IL","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","194",""
"IN","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","91",""
"KS","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","59",""
"KY","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","63",""
"LA","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","57",""
"MA","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","101",""
"MD","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","71",""
"ME","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","18",""
"MI","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","159",""
"MN","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","69",""
"MO","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","142",""
"MS","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","43",""
"MT","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"NC","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","137",""
"ND","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","20",""
"NE","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","35",""
"NH","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","18",""
"NJ","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","87",""
"NM","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"NV","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","37",""
"NY","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","135",""
"OH","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","144",""
"OK","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","55",""
"OR","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","27",""
"PA","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","192",""
"PR","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"RI","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","13",""
"SC","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","75",""
"SD","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","16",""
"TN","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","100",""
"TX","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","351",""
"UT","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","22",""
"VA","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","119",""
"VT","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"WA","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","89",""
"WI","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","72",""
"WV","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","15",""
"WY","Other musculoskelet sys and conn tiss O.R. proc w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AK","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AL","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","135",""
"AR","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","90",""
"AZ","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","102",""
"CA","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","497",""
"CO","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","71",""
"CT","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","86",""
"DC","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","54",""
"DE","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","34",""
"FL","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","470",""
"GA","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","171",""
"HI","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","27",""
"IA","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","82",""
"ID","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","32",""
"IL","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","283",""
"IN","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","147",""
"KS","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","68",""
"KY","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","116",""
"LA","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","127",""
"MA","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","196",""
"MD","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","150",""
"ME","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","40",""
"MI","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","281",""
"MN","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","119",""
"MO","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","157",""
"MS","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","90",""
"MT","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","26",""
"NC","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","260",""
"ND","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","27",""
"NE","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","57",""
"NH","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","35",""
"NJ","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","200",""
"NM","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","25",""
"NV","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","42",""
"NY","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","490",""
"OH","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","210",""
"OK","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","100",""
"OR","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","71",""
"PA","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","285",""
"PR","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","13",""
"RI","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","16",""
"SC","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","129",""
"SD","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","22",""
"TN","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","231",""
"TX","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","564",""
"UT","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","24",""
"VA","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","179",""
"VI","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"VT","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","19",""
"WA","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","135",""
"WI","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","123",""
"WV","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","44",""
"WY","Kidney and ureter procedures for neoplasm w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AK","Kidney and ureter procedures for neoplasm w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AL","Kidney and ureter procedures for neoplasm w MCC","","","61",""
"AR","Kidney and ureter procedures for neoplasm w MCC","","","40",""
"AZ","Kidney and ureter procedures for neoplasm w MCC","","","69",""
"CA","Kidney and ureter procedures for neoplasm w MCC","","","230",""
"CO","Kidney and ureter procedures for neoplasm w MCC","","","25",""
"CT","Kidney and ureter procedures for neoplasm w MCC","","","45",""
"DC","Kidney and ureter procedures for neoplasm w MCC","","","21",""
"DE","Kidney and ureter procedures for neoplasm w MCC","","","16",""
"FL","Kidney and ureter procedures for neoplasm w MCC","","","240",""
"GA","Kidney and ureter procedures for neoplasm w MCC","","","104",""
"HI","Kidney and ureter procedures for neoplasm w MCC","","","16",""
"IA","Kidney and ureter procedures for neoplasm w MCC","","","37",""
"ID","Kidney and ureter procedures for neoplasm w MCC","","","11",""
"IL","Kidney and ureter procedures for neoplasm w MCC","","","176",""
"IN","Kidney and ureter procedures for neoplasm w MCC","","","91",""
"KS","Kidney and ureter procedures for neoplasm w MCC","","","36",""
"KY","Kidney and ureter procedures for neoplasm w MCC","","","66",""
"LA","Kidney and ureter procedures for neoplasm w MCC","","","69",""
"MA","Kidney and ureter procedures for neoplasm w MCC","","","79",""
"MD","Kidney and ureter procedures for neoplasm w MCC","","","60",""
"ME","Kidney and ureter procedures for neoplasm w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"MI","Kidney and ureter procedures for neoplasm w MCC","","","136",""
"MN","Kidney and ureter procedures for neoplasm w MCC","","","74",""
"MO","Kidney and ureter procedures for neoplasm w MCC","","","84",""
"MS","Kidney and ureter procedures for neoplasm w MCC","","","30",""
"MT","Kidney and ureter procedures for neoplasm w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"NC","Kidney and ureter procedures for neoplasm w MCC","","","132",""
"ND","Kidney and ureter procedures for neoplasm w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"NE","Kidney and ureter procedures for neoplasm w MCC","","","28",""
"NH","Kidney and ureter procedures for neoplasm w MCC","","","14",""
"NJ","Kidney and ureter procedures for neoplasm w MCC","","","96",""
"NM","Kidney and ureter procedures for neoplasm w MCC","","","15",""
"NV","Kidney and ureter procedures for neoplasm w MCC","","","28",""
"NY","Kidney and ureter procedures for neoplasm w MCC","","","163",""
"OH","Kidney and ureter procedures for neoplasm w MCC","","","154",""
"OK","Kidney and ureter procedures for neoplasm w MCC","","","39",""
"OR","Kidney and ureter procedures for neoplasm w MCC","","","39",""
"PA","Kidney and ureter procedures for neoplasm w MCC","","","156",""
"PR","Kidney and ureter procedures for neoplasm w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"RI","Kidney and ureter procedures for neoplasm w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"SC","Kidney and ureter procedures for neoplasm w MCC","","","57",""
"SD","Kidney and ureter procedures for neoplasm w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"TN","Kidney and ureter procedures for neoplasm w MCC","","","114",""
"TX","Kidney and ureter procedures for neoplasm w MCC","","","278",""
"UT","Kidney and ureter procedures for neoplasm w MCC","","","12",""
"VA","Kidney and ureter procedures for neoplasm w MCC","","","83",""
"VI","Kidney and ureter procedures for neoplasm w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"VT","Kidney and ureter procedures for neoplasm w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"WA","Kidney and ureter procedures for neoplasm w MCC","","","63",""
"WI","Kidney and ureter procedures for neoplasm w MCC","","","87",""
"WV","Kidney and ureter procedures for neoplasm w MCC","","","27",""
"WY","Kidney and ureter procedures for neoplasm w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AK","Kidney and ureter procedures for neoplasm w CC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AL","Kidney and ureter procedures for neoplasm w CC","","","142",""
"AR","Kidney and ureter procedures for neoplasm w CC","","","87",""
"AZ","Kidney and ureter procedures for neoplasm w CC","","","175",""
"CA","Kidney and ureter procedures for neoplasm w CC","","","615",""
"CO","Kidney and ureter procedures for neoplasm w CC","","","110",""
"CT","Kidney and ureter procedures for neoplasm w CC","","","107",""
"DC","Kidney and ureter procedures for neoplasm w CC","","","40",""
"DE","Kidney and ureter procedures for neoplasm w CC","","","18",""
"FL","Kidney and ureter procedures for neoplasm w CC","","","607",""
"GA","Kidney and ureter procedures for neoplasm w CC","","","205",""
"HI","Kidney and ureter procedures for neoplasm w CC","","","32",""
"IA","Kidney and ureter procedures for neoplasm w CC","","","119",""
"ID","Kidney and ureter procedures for neoplasm w CC","","","37",""
"IL","Kidney and ureter procedures for neoplasm w CC","","","406",""
"IN","Kidney and ureter procedures for neoplasm w CC","","","201",""
"KS","Kidney and ureter procedures for neoplasm w CC","","","117",""
"KY","Kidney and ureter procedures for neoplasm w CC","","","183",""
"LA","Kidney and ureter procedures for neoplasm w CC","","","121",""
"MA","Kidney and ureter procedures for neoplasm w CC","","","243",""
"MD","Kidney and ureter procedures for neoplasm w CC","","","142",""
"ME","Kidney and ureter procedures for neoplasm w CC","","","47",""
"MI","Kidney and ureter procedures for neoplasm w CC","","","356",""
"MN","Kidney and ureter procedures for neoplasm w CC","","","216",""
"MO","Kidney and ureter procedures for neoplasm w CC","","","242",""
"MS","Kidney and ureter procedures for neoplasm w CC","","","95",""
"MT","Kidney and ureter procedures for neoplasm w CC","","","41",""
"NC","Kidney and ureter procedures for neoplasm w CC","","","297",""
"ND","Kidney and ureter procedures for neoplasm w CC","","","38",""
"NE","Kidney and ureter procedures for neoplasm w CC","","","92",""
"NH","Kidney and ureter procedures for neoplasm w CC","","","50",""
"NJ","Kidney and ureter procedures for neoplasm w CC","","","224",""
"NM","Kidney and ureter procedures for neoplasm w CC","","","40",""
"NV","Kidney and ureter procedures for neoplasm w CC","","","50",""
"NY","Kidney and ureter procedures for neoplasm w CC","","","538",""
"OH","Kidney and ureter procedures for neoplasm w CC","","","352",""
"OK","Kidney and ureter procedures for neoplasm w CC","","","136",""
"OR","Kidney and ureter procedures for neoplasm w CC","","","95",""
"PA","Kidney and ureter procedures for neoplasm w CC","","","414",""
"PR","Kidney and ureter procedures for neoplasm w CC","","","16",""
"RI","Kidney and ureter procedures for neoplasm w CC","","","29",""
"SC","Kidney and ureter procedures for neoplasm w CC","","","170",""
"SD","Kidney and ureter procedures for neoplasm w CC","","","37",""
"TN","Kidney and ureter procedures for neoplasm w CC","","","204",""
"TX","Kidney and ureter procedures for neoplasm w CC","","","615",""
"UT","Kidney and ureter procedures for neoplasm w CC","","","47",""
"VA","Kidney and ureter procedures for neoplasm w CC","","","206",""
"VT","Kidney and ureter procedures for neoplasm w CC","","","23",""
"WA","Kidney and ureter procedures for neoplasm w CC","","","166",""
"WI","Kidney and ureter procedures for neoplasm w CC","","","174",""
"WV","Kidney and ureter procedures for neoplasm w CC","","","62",""
"WY","Kidney and ureter procedures for neoplasm w CC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AK","Kidney and ureter procedures for non-neoplasm w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AL","Kidney and ureter procedures for non-neoplasm w MCC","","","85",""
"AR","Kidney and ureter procedures for non-neoplasm w MCC","","","40",""
"AZ","Kidney and ureter procedures for non-neoplasm w MCC","","","65",""
"CA","Kidney and ureter procedures for non-neoplasm w MCC","","","303",""
"CO","Kidney and ureter procedures for non-neoplasm w MCC","","","45",""
"CT","Kidney and ureter procedures for non-neoplasm w MCC","","","48",""
"DC","Kidney and ureter procedures for non-neoplasm w MCC","","","27",""
"DE","Kidney and ureter procedures for non-neoplasm w MCC","","","11",""
"FL","Kidney and ureter procedures for non-neoplasm w MCC","","","276",""
"GA","Kidney and ureter procedures for non-neoplasm w MCC","","","98",""
"HI","Kidney and ureter procedures for non-neoplasm w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"IA","Kidney and ureter procedures for non-neoplasm w MCC","","","41",""
"ID","Kidney and ureter procedures for non-neoplasm w MCC","","","13",""
"IL","Kidney and ureter procedures for non-neoplasm w MCC","","","167",""
"IN","Kidney and ureter procedures for non-neoplasm w MCC","","","113",""
"KS","Kidney and ureter procedures for non-neoplasm w MCC","","","55",""
"KY","Kidney and ureter procedures for non-neoplasm w MCC","","","51",""
"LA","Kidney and ureter procedures for non-neoplasm w MCC","","","68",""
"MA","Kidney and ureter procedures for non-neoplasm w MCC","","","119",""
"MD","Kidney and ureter procedures for non-neoplasm w MCC","","","84",""
"ME","Kidney and ureter procedures for non-neoplasm w MCC","","","15",""
"MI","Kidney and ureter procedures for non-neoplasm w MCC","","","178",""
"MN","Kidney and ureter procedures for non-neoplasm w MCC","","","88",""
"MO","Kidney and ureter procedures for non-neoplasm w MCC","","","97",""
"MS","Kidney and ureter procedures for non-neoplasm w MCC","","","50",""
"MT","Kidney and ureter procedures for non-neoplasm w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"NC","Kidney and ureter procedures for non-neoplasm w MCC","","","140",""
"ND","Kidney and ureter procedures for non-neoplasm w MCC","","","17",""
"NE","Kidney and ureter procedures for non-neoplasm w MCC","","","35",""
"NH","Kidney and ureter procedures for non-neoplasm w MCC","","","25",""
"NJ","Kidney and ureter procedures for non-neoplasm w MCC","","","162",""
"NM","Kidney and ureter procedures for non-neoplasm w MCC","","","11",""
"NV","Kidney and ureter procedures for non-neoplasm w MCC","","","33",""
"NY","Kidney and ureter procedures for non-neoplasm w MCC","","","302",""
"OH","Kidney and ureter procedures for non-neoplasm w MCC","","","204",""
"OK","Kidney and ureter procedures for non-neoplasm w MCC","","","37",""
"OR","Kidney and ureter procedures for non-neoplasm w MCC","","","37",""
"PA","Kidney and ureter procedures for non-neoplasm w MCC","","","194",""
"PR","Kidney and ureter procedures for non-neoplasm w MCC","","","20",""
"RI","Kidney and ureter procedures for non-neoplasm w MCC","","","15",""
"SC","Kidney and ureter procedures for non-neoplasm w MCC","","","71",""
"SD","Kidney and ureter procedures for non-neoplasm w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"TN","Kidney and ureter procedures for non-neoplasm w MCC","","","126",""
"TX","Kidney and ureter procedures for non-neoplasm w MCC","","","324",""
"UT","Kidney and ureter procedures for non-neoplasm w MCC","","","24",""
"VA","Kidney and ureter procedures for non-neoplasm w MCC","","","102",""
"VI","Kidney and ureter procedures for non-neoplasm w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"VT","Kidney and ureter procedures for non-neoplasm w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"WA","Kidney and ureter procedures for non-neoplasm w MCC","","","60",""
"WI","Kidney and ureter procedures for non-neoplasm w MCC","","","73",""
"WV","Kidney and ureter procedures for non-neoplasm w MCC","","","36",""
"WY","Kidney and ureter procedures for non-neoplasm w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AK","Transurethral procedures w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AL","Transurethral procedures w MCC","","","72",""
"AR","Transurethral procedures w MCC","","","30",""
"AZ","Transurethral procedures w MCC","","","62",""
"CA","Transurethral procedures w MCC","","","250",""
"CO","Transurethral procedures w MCC","","","24",""
"CT","Transurethral procedures w MCC","","","43",""
"DC","Transurethral procedures w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"DE","Transurethral procedures w MCC","","","13",""
"FL","Transurethral procedures w MCC","","","277",""
"GA","Transurethral procedures w MCC","","","67",""
"HI","Transurethral procedures w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"IA","Transurethral procedures w MCC","","","31",""
"ID","Transurethral procedures w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"IL","Transurethral procedures w MCC","","","199",""
"IN","Transurethral procedures w MCC","","","87",""
"KS","Transurethral procedures w MCC","","","40",""
"KY","Transurethral procedures w MCC","","","82",""
"LA","Transurethral procedures w MCC","","","54",""
"MA","Transurethral procedures w MCC","","","103",""
"MD","Transurethral procedures w MCC","","","87",""
"ME","Transurethral procedures w MCC","","","15",""
"MI","Transurethral procedures w MCC","","","162",""
"MN","Transurethral procedures w MCC","","","65",""
"MO","Transurethral procedures w MCC","","","77",""
"MS","Transurethral procedures w MCC","","","37",""
"MT","Transurethral procedures w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"NC","Transurethral procedures w MCC","","","127",""
"ND","Transurethral procedures w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"NE","Transurethral procedures w MCC","","","29",""
"NH","Transurethral procedures w MCC","","","20",""
"NJ","Transurethral procedures w MCC","","","163",""
"NM","Transurethral procedures w MCC","","","12",""
"NV","Transurethral procedures w MCC","","","26",""
"NY","Transurethral procedures w MCC","","","186",""
"OH","Transurethral procedures w MCC","","","142",""
"OK","Transurethral procedures w MCC","","","49",""
"OR","Transurethral procedures w MCC","","","19",""
"PA","Transurethral procedures w MCC","","","184",""
"PR","Transurethral procedures w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"RI","Transurethral procedures w MCC","","","21",""
"SC","Transurethral procedures w MCC","","","61",""
"SD","Transurethral procedures w MCC","","","14",""
"TN","Transurethral procedures w MCC","","","94",""
"TX","Transurethral procedures w MCC","","","236",""
"UT","Transurethral procedures w MCC","","","11",""
"VA","Transurethral procedures w MCC","","","70",""
"VI","Transurethral procedures w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"VT","Transurethral procedures w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"WA","Transurethral procedures w MCC","","","29",""
"WI","Transurethral procedures w MCC","","","50",""
"WV","Transurethral procedures w MCC","","","45",""
"WY","Transurethral procedures w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AK","Other kidney and urinary tract procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AL","Other kidney and urinary tract procedures w/o CC/MCC","","","39",""
"AR","Other kidney and urinary tract procedures w/o CC/MCC","","","39",""
"AZ","Other kidney and urinary tract procedures w/o CC/MCC","","","21",""
"CA","Other kidney and urinary tract procedures w/o CC/MCC","","","90",""
"CO","Other kidney and urinary tract procedures w/o CC/MCC","","","16",""
"CT","Other kidney and urinary tract procedures w/o CC/MCC","","","25",""
"DC","Other kidney and urinary tract procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"DE","Other kidney and urinary tract procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"FL","Other kidney and urinary tract procedures w/o CC/MCC","","","159",""
