Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
"SYCAMORE SHOALS HOSPITAL","440018","TN","READM-30-HF-HRRP","113","","0.9715","22.7","23.3","24","07/01/2009","06/30/2012"
"SYCAMORE SHOALS HOSPITAL","440018","TN","READM-30-PN-HRRP","281","","1.1544","20.2","17.5","65","07/01/2009","06/30/2012"
"HILLSIDE HOSPITAL","440020","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"HILLSIDE HOSPITAL","440020","TN","READM-30-HF-HRRP","61","","0.9428","21.8","23.1","Too Few To Report","07/01/2009","06/30/2012"
"HILLSIDE HOSPITAL","440020","TN","READM-30-PN-HRRP","134","","0.9959","15.8","15.9","21","07/01/2009","06/30/2012"
"LAUGHLIN MEMORIAL HOSPITAL, INC","440025","TN","READM-30-AMI-HRRP","33","","1.0240","23.7","23.1","Too Few To Report","07/01/2009","06/30/2012"
"LAUGHLIN MEMORIAL HOSPITAL, INC","440025","TN","READM-30-HF-HRRP","247","","1.1022","25.7","23.3","69","07/01/2009","06/30/2012"
"LAUGHLIN MEMORIAL HOSPITAL, INC","440025","TN","READM-30-PN-HRRP","513","","1.0802","18.8","17.4","101","07/01/2009","06/30/2012"
"WILLIAMSON MEDICAL CENTER","440029","TN","READM-30-AMI-HRRP","124","","1.0262","16.0","15.6","21","07/01/2009","06/30/2012"
"WILLIAMSON MEDICAL CENTER","440029","TN","READM-30-HF-HRRP","312","","0.9493","21.1","22.2","63","07/01/2009","06/30/2012"
"WILLIAMSON MEDICAL CENTER","440029","TN","READM-30-PN-HRRP","341","","0.9367","15.4","16.5","49","07/01/2009","06/30/2012"
"MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION","440030","TN","READM-30-AMI-HRRP","170","","1.0296","18.0","17.5","32","07/01/2009","06/30/2012"
"MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION","440030","TN","READM-30-HF-HRRP","306","","1.1398","26.6","23.4","89","07/01/2009","06/30/2012"
"MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION","440030","TN","READM-30-PN-HRRP","381","","1.1122","20.2","18.1","83","07/01/2009","06/30/2012"
"ROANE MEDICAL CENTER","440031","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"ROANE MEDICAL CENTER","440031","TN","READM-30-HF-HRRP","108","","1.0079","23.7","23.5","26","07/01/2009","06/30/2012"
"ROANE MEDICAL CENTER","440031","TN","READM-30-PN-HRRP","204","","0.9262","16.8","18.2","30","07/01/2009","06/30/2012"
"WELLMONT HAWKINS COUNTY MEMORIAL HOSPITAL","440032","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"WELLMONT HAWKINS COUNTY MEMORIAL HOSPITAL","440032","TN","READM-30-HF-HRRP","82","","1.0390","24.2","23.3","22","07/01/2009","06/30/2012"
"WELLMONT HAWKINS COUNTY MEMORIAL HOSPITAL","440032","TN","READM-30-PN-HRRP","70","","0.9922","19.2","19.4","13","07/01/2009","06/30/2012"
"TENNOVA HEALTHCARE-LAFOLLETT MEDICAL CENTER","440033","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"TENNOVA HEALTHCARE-LAFOLLETT MEDICAL CENTER","440033","TN","READM-30-HF-HRRP","205","","0.9676","22.8","23.6","45","07/01/2009","06/30/2012"
"TENNOVA HEALTHCARE-LAFOLLETT MEDICAL CENTER","440033","TN","READM-30-PN-HRRP","296","","1.1170","21.1","18.9","69","07/01/2009","06/30/2012"
"METHODIST MEDICAL CENTER OF OAK RIDGE","440034","TN","READM-30-AMI-HRRP","269","","1.1126","19.7","17.7","58","07/01/2009","06/30/2012"
"METHODIST MEDICAL CENTER OF OAK RIDGE","440034","TN","READM-30-HF-HRRP","473","","1.1143","25.3","22.7","126","07/01/2009","06/30/2012"
"METHODIST MEDICAL CENTER OF OAK RIDGE","440034","TN","READM-30-PN-HRRP","266","","1.0568","19.5","18.4","55","07/01/2009","06/30/2012"
"GATEWAY MEDICAL CENTER","440035","TN","READM-30-AMI-HRRP","193","","1.0713","18.0","16.8","38","07/01/2009","06/30/2012"
"GATEWAY MEDICAL CENTER","440035","TN","READM-30-HF-HRRP","492","","1.1413","25.3","22.2","132","07/01/2009","06/30/2012"
"GATEWAY MEDICAL CENTER","440035","TN","READM-30-PN-HRRP","552","","0.9461","17.1","18.0","91","07/01/2009","06/30/2012"
"VANDERBILT UNIVERSITY HOSPITAL","440039","TN","READM-30-AMI-HRRP","570","","1.0339","17.4","16.9","101","07/01/2009","06/30/2012"
"VANDERBILT UNIVERSITY HOSPITAL","440039","TN","READM-30-HF-HRRP","828","","0.9360","21.0","22.4","170","07/01/2009","06/30/2012"
"VANDERBILT UNIVERSITY HOSPITAL","440039","TN","READM-30-PN-HRRP","377","","1.0641","20.0","18.8","79","07/01/2009","06/30/2012"
"PERRY COMMUNITY HOSPITAL","440040","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"PERRY COMMUNITY HOSPITAL","440040","TN","READM-30-HF-HRRP","161","","1.1146","24.8","22.3","46","07/01/2009","06/30/2012"
"PERRY COMMUNITY HOSPITAL","440040","TN","READM-30-PN-HRRP","165","","1.0821","20.3","18.7","38","07/01/2009","06/30/2012"
"TRISTAR HORIZON MEDICAL CENTER","440046","TN","READM-30-AMI-HRRP","44","","1.0277","19.7","19.2","Too Few To Report","07/01/2009","06/30/2012"
"TRISTAR HORIZON MEDICAL CENTER","440046","TN","READM-30-HF-HRRP","304","","1.0664","25.8","24.2","82","07/01/2009","06/30/2012"
"TRISTAR HORIZON MEDICAL CENTER","440046","TN","READM-30-PN-HRRP","229","","0.9960","18.0","18.1","41","07/01/2009","06/30/2012"
"GIBSON GENERAL HOSPITAL","440047","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"GIBSON GENERAL HOSPITAL","440047","TN","READM-30-HF-HRRP","44","","0.9465","20.4","21.5","Too Few To Report","07/01/2009","06/30/2012"
"GIBSON GENERAL HOSPITAL","440047","TN","READM-30-PN-HRRP","59","","1.0181","15.3","15.0","Too Few To Report","07/01/2009","06/30/2012"
"BAPTIST MEMORIAL HOSPITAL","440048","TN","READM-30-AMI-HRRP","829","","0.9291","16.6","17.8","134","07/01/2009","06/30/2012"
"BAPTIST MEMORIAL HOSPITAL","440048","TN","READM-30-HF-HRRP","1678","","0.8882","19.8","22.2","325","07/01/2009","06/30/2012"
"BAPTIST MEMORIAL HOSPITAL","440048","TN","READM-30-PN-HRRP","1002","","0.9633","16.5","17.1","163","07/01/2009","06/30/2012"
"METHODIST HEALTHCARE MEMPHIS HOSPITALS","440049","TN","READM-30-AMI-HRRP","952","","1.0866","18.9","17.4","184","07/01/2009","06/30/2012"
"METHODIST HEALTHCARE MEMPHIS HOSPITALS","440049","TN","READM-30-HF-HRRP","2288","","1.0945","24.7","22.6","571","07/01/2009","06/30/2012"
"METHODIST HEALTHCARE MEMPHIS HOSPITALS","440049","TN","READM-30-PN-HRRP","1162","","1.0418","18.0","17.2","211","07/01/2009","06/30/2012"
"TAKOMA REGIONAL HOSPITAL","440050","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"TAKOMA REGIONAL HOSPITAL","440050","TN","READM-30-HF-HRRP","73","","0.9751","22.4","23.0","15","07/01/2009","06/30/2012"
"TAKOMA REGIONAL HOSPITAL","440050","TN","READM-30-PN-HRRP","101","","0.9696","17.6","18.1","16","07/01/2009","06/30/2012"
"MCNAIRY REGIONAL HOSPITAL","440051","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MCNAIRY REGIONAL HOSPITAL","440051","TN","READM-30-HF-HRRP","88","","1.0197","22.6","22.2","21","07/01/2009","06/30/2012"
"MCNAIRY REGIONAL HOSPITAL","440051","TN","READM-30-PN-HRRP","105","","0.9451","15.3","16.2","13","07/01/2009","06/30/2012"
"SAINT THOMAS RUTHERFORD HOSPITAL","440053","TN","READM-30-AMI-HRRP","187","","1.1328","19.8","17.5","43","07/01/2009","06/30/2012"
"SAINT THOMAS RUTHERFORD HOSPITAL","440053","TN","READM-30-HF-HRRP","531","","1.1037","25.5","23.1","141","07/01/2009","06/30/2012"
"SAINT THOMAS RUTHERFORD HOSPITAL","440053","TN","READM-30-PN-HRRP","757","","1.1707","20.6","17.6","165","07/01/2009","06/30/2012"
"TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL","440056","TN","READM-30-AMI-HRRP","33","","1.1108","26.1","23.5","14","07/01/2009","06/30/2012"
"TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL","440056","TN","READM-30-HF-HRRP","205","","0.9829","21.4","21.8","43","07/01/2009","06/30/2012"
"TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL","440056","TN","READM-30-PN-HRRP","227","","0.9178","16.2","17.7","32","07/01/2009","06/30/2012"
"CLAIBORNE COUNTY HOSPITAL","440057","TN","READM-30-AMI-HRRP","31","","1.0114","23.9","23.7","Too Few To Report","07/01/2009","06/30/2012"
"CLAIBORNE COUNTY HOSPITAL","440057","TN","READM-30-HF-HRRP","224","","1.0055","24.9","24.7","56","07/01/2009","06/30/2012"
"CLAIBORNE COUNTY HOSPITAL","440057","TN","READM-30-PN-HRRP","177","","1.0632","20.6","19.4","40","07/01/2009","06/30/2012"
"SOUTHERN TENNESSEE MEDICAL CENTER","440058","TN","READM-30-AMI-HRRP","43","","0.9602","18.4","19.2","Too Few To Report","07/01/2009","06/30/2012"
"SOUTHERN TENNESSEE MEDICAL CENTER","440058","TN","READM-30-HF-HRRP","278","","1.1938","26.3","22.0","83","07/01/2009","06/30/2012"
"SOUTHERN TENNESSEE MEDICAL CENTER","440058","TN","READM-30-PN-HRRP","379","","1.0377","17.7","17.0","69","07/01/2009","06/30/2012"
"COOKEVILLE REGIONAL MEDICAL CENTER","440059","TN","READM-30-AMI-HRRP","646","","1.0157","17.4","17.1","113","07/01/2009","06/30/2012"
"COOKEVILLE REGIONAL MEDICAL CENTER","440059","TN","READM-30-HF-HRRP","678","","0.9678","22.5","23.3","151","07/01/2009","06/30/2012"
"COOKEVILLE REGIONAL MEDICAL CENTER","440059","TN","READM-30-PN-HRRP","705","","0.9755","18.1","18.5","126","07/01/2009","06/30/2012"
"MILAN GENERAL HOSPITAL","440060","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MILAN GENERAL HOSPITAL","440060","TN","READM-30-HF-HRRP","26","","1.0065","21.7","21.6","Too Few To Report","07/01/2009","06/30/2012"
"MILAN GENERAL HOSPITAL","440060","TN","READM-30-PN-HRRP","39","","0.9703","17.2","17.8","Too Few To Report","07/01/2009","06/30/2012"
"VOLUNTEER COMMUNITY HOSPITAL","440061","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"VOLUNTEER COMMUNITY HOSPITAL","440061","TN","READM-30-HF-HRRP","183","","0.9858","22.3","22.6","40","07/01/2009","06/30/2012"
"VOLUNTEER COMMUNITY HOSPITAL","440061","TN","READM-30-PN-HRRP","304","","1.0454","17.6","16.8","56","07/01/2009","06/30/2012"
"JOHNSON CITY MEDICAL CENTER","440063","TN","READM-30-AMI-HRRP","846","","1.1479","20.4","17.8","179","07/01/2009","06/30/2012"
"JOHNSON CITY MEDICAL CENTER","440063","TN","READM-30-HF-HRRP","960","","1.0213","24.3","23.7","234","07/01/2009","06/30/2012"
"JOHNSON CITY MEDICAL CENTER","440063","TN","READM-30-PN-HRRP","804","","1.1006","21.8","19.8","181","07/01/2009","06/30/2012"
"GRANDVIEW MEDICAL CENTER","440064","TN","READM-30-AMI-HRRP","28","","0.9939","22.5","22.6","Too Few To Report","07/01/2009","06/30/2012"
"GRANDVIEW MEDICAL CENTER","440064","TN","READM-30-HF-HRRP","65","","0.9103","20.2","22.2","Too Few To Report","07/01/2009","06/30/2012"
"GRANDVIEW MEDICAL CENTER","440064","TN","READM-30-PN-HRRP","234","","0.9745","16.0","16.4","36","07/01/2009","06/30/2012"
"NORTHCREST MEDICAL CENTER","440065","TN","READM-30-AMI-HRRP","38","","1.0056","17.7","17.6","Too Few To Report","07/01/2009","06/30/2012"
"NORTHCREST MEDICAL CENTER","440065","TN","READM-30-HF-HRRP","135","","0.9769","23.9","24.5","31","07/01/2009","06/30/2012"
"NORTHCREST MEDICAL CENTER","440065","TN","READM-30-PN-HRRP","357","","0.9972","19.1","19.1","68","07/01/2009","06/30/2012"
"LAKEWAY REGIONAL HOSPITAL","440067","TN","READM-30-AMI-HRRP","25","","1.0047","23.1","22.9","Too Few To Report","07/01/2009","06/30/2012"
"LAKEWAY REGIONAL HOSPITAL","440067","TN","READM-30-HF-HRRP","88","","1.0518","24.1","22.9","24","07/01/2009","06/30/2012"
"LAKEWAY REGIONAL HOSPITAL","440067","TN","READM-30-PN-HRRP","123","","1.1241","22.0","19.6","34","07/01/2009","06/30/2012"
"STARR REGIONAL MEDICAL CENTER ATHENS","440068","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"STARR REGIONAL MEDICAL CENTER ATHENS","440068","TN","READM-30-HF-HRRP","157","","1.0452","22.7","21.7","38","07/01/2009","06/30/2012"
"STARR REGIONAL MEDICAL CENTER ATHENS","440068","TN","READM-30-PN-HRRP","302","","1.0188","15.6","15.3","48","07/01/2009","06/30/2012"
"DECATUR COUNTY GENERAL HOSPITAL","440070","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"DECATUR COUNTY GENERAL HOSPITAL","440070","TN","READM-30-HF-HRRP","60","","1.0660","24.1","22.6","18","07/01/2009","06/30/2012"
"DECATUR COUNTY GENERAL HOSPITAL","440070","TN","READM-30-PN-HRRP","211","","1.1091","18.6","16.7","45","07/01/2009","06/30/2012"
"DYERSBURG REGIONAL MEDICAL CENTER","440072","TN","READM-30-AMI-HRRP","117","","1.1070","25.5","23.0","35","07/01/2009","06/30/2012"
"DYERSBURG REGIONAL MEDICAL CENTER","440072","TN","READM-30-HF-HRRP","479","","1.0404","25.0","24.0","122","07/01/2009","06/30/2012"
"DYERSBURG REGIONAL MEDICAL CENTER","440072","TN","READM-30-PN-HRRP","199","","1.0779","19.0","17.6","42","07/01/2009","06/30/2012"
"MAURY REGIONAL HOSPITAL","440073","TN","READM-30-AMI-HRRP","298","","1.0814","17.6","16.3","56","07/01/2009","06/30/2012"
"MAURY REGIONAL HOSPITAL","440073","TN","READM-30-HF-HRRP","630","","1.0856","24.7","22.7","160","07/01/2009","06/30/2012"
"MAURY REGIONAL HOSPITAL","440073","TN","READM-30-PN-HRRP","791","","1.0620","18.9","17.8","153","07/01/2009","06/30/2012"
"LECONTE MEDICAL CENTER","440081","TN","READM-30-AMI-HRRP","38","","0.9701","16.8","17.4","Too Few To Report","07/01/2009","06/30/2012"
"LECONTE MEDICAL CENTER","440081","TN","READM-30-HF-HRRP","160","","0.9004","19.1","21.2","25","07/01/2009","06/30/2012"
"LECONTE MEDICAL CENTER","440081","TN","READM-30-PN-HRRP","249","","0.9182","14.7","16.0","32","07/01/2009","06/30/2012"
"SAINT THOMAS WEST HOSPITAL","440082","TN","READM-30-AMI-HRRP","1456","","1.0449","17.9","17.1","262","07/01/2009","06/30/2012"
"SAINT THOMAS WEST HOSPITAL","440082","TN","READM-30-HF-HRRP","1415","","0.9337","21.7","23.2","303","07/01/2009","06/30/2012"
"SAINT THOMAS WEST HOSPITAL","440082","TN","READM-30-PN-HRRP","663","","1.1046","19.7","17.8","136","07/01/2009","06/30/2012"
"JAMESTOWN REGIONAL MEDICAL CENTER","440083","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"JAMESTOWN REGIONAL MEDICAL CENTER","440083","TN","READM-30-HF-HRRP","166","","1.1694","27.1","23.2","54","07/01/2009","06/30/2012"
"JAMESTOWN REGIONAL MEDICAL CENTER","440083","TN","READM-30-PN-HRRP","179","","1.1049","20.2","18.3","42","07/01/2009","06/30/2012"
"SWEETWATER HOSPITAL ASSOCIATION","440084","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"SWEETWATER HOSPITAL ASSOCIATION","440084","TN","READM-30-HF-HRRP","135","","1.0437","22.0","21.1","32","07/01/2009","06/30/2012"
"SWEETWATER HOSPITAL ASSOCIATION","440084","TN","READM-30-PN-HRRP","288","","1.0463","17.2","16.4","52","07/01/2009","06/30/2012"
"MEMORIAL HEALTHCARE SYSTEM, INC","440091","TN","READM-30-AMI-HRRP","934","","0.9717","15.1","15.6","140","07/01/2009","06/30/2012"
"MEMORIAL HEALTHCARE SYSTEM, INC","440091","TN","READM-30-HF-HRRP","1469","","0.8787","18.5","21.1","265","07/01/2009","06/30/2012"
"MEMORIAL HEALTHCARE SYSTEM, INC","440091","TN","READM-30-PN-HRRP","1151","","0.8480","13.9","16.4","151","07/01/2009","06/30/2012"
"LINCOLN MEDICAL CENTER","440102","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"LINCOLN MEDICAL CENTER","440102","TN","READM-30-HF-HRRP","144","","0.9753","19.7","20.2","27","07/01/2009","06/30/2012"
"LINCOLN MEDICAL CENTER","440102","TN","READM-30-PN-HRRP","201","","0.9411","14.1","14.9","25","07/01/2009","06/30/2012"
"ERLANGER MEDICAL CENTER","440104","TN","READM-30-AMI-HRRP","264","","0.9793","15.5","15.8","40","07/01/2009","06/30/2012"
"ERLANGER MEDICAL CENTER","440104","TN","READM-30-HF-HRRP","340","","0.9018","20.8","23.0","65","07/01/2009","06/30/2012"
"ERLANGER MEDICAL CENTER","440104","TN","READM-30-PN-HRRP","297","","0.9497","17.8","18.8","50","07/01/2009","06/30/2012"
"HARDIN MEDICAL CENTER","440109","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"HARDIN MEDICAL CENTER","440109","TN","READM-30-HF-HRRP","108","","1.0589","23.9","22.6","29","07/01/2009","06/30/2012"
"HARDIN MEDICAL CENTER","440109","TN","READM-30-PN-HRRP","256","","0.9666","16.4","16.9","40","07/01/2009","06/30/2012"
"FORT LOUDOUN MEDICAL CENTER","440110","TN","READM-30-AMI-HRRP","27","","1.0298","24.1","23.4","Too Few To Report","07/01/2009","06/30/2012"
"FORT LOUDOUN MEDICAL CENTER","440110","TN","READM-30-HF-HRRP","121","","0.8693","18.5","21.3","15","07/01/2009","06/30/2012"
"FORT LOUDOUN MEDICAL CENTER","440110","TN","READM-30-PN-HRRP","137","","1.0146","16.2","16.0","23","07/01/2009","06/30/2012"
"METRO NASHVILLE GENERAL HOSPITAL","440111","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"METRO NASHVILLE GENERAL HOSPITAL","440111","TN","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"METRO NASHVILLE GENERAL HOSPITAL","440111","TN","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"TENNOVA HEALTHCARE","440120","TN","READM-30-AMI-HRRP","497","","1.0901","17.7","16.2","92","07/01/2009","06/30/2012"
"TENNOVA HEALTHCARE","440120","TN","READM-30-HF-HRRP","750","","0.8807","20.1","22.8","144","07/01/2009","06/30/2012"
"TENNOVA HEALTHCARE","440120","TN","READM-30-PN-HRRP","566","","0.8753","15.6","17.9","81","07/01/2009","06/30/2012"
"FORT SANDERS REGIONAL MEDICAL CENTER","440125","TN","READM-30-AMI-HRRP","237","","1.0555","17.1","16.2","43","07/01/2009","06/30/2012"
"FORT SANDERS REGIONAL MEDICAL CENTER","440125","TN","READM-30-HF-HRRP","379","","1.0406","23.9","23.0","93","07/01/2009","06/30/2012"
"FORT SANDERS REGIONAL MEDICAL CENTER","440125","TN","READM-30-PN-HRRP","442","","0.9985","17.9","17.9","79","07/01/2009","06/30/2012"
"BAPTIST MEMORIAL HOSPITAL UNION CITY","440130","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"BAPTIST MEMORIAL HOSPITAL UNION CITY","440130","TN","READM-30-HF-HRRP","174","","1.0318","23.1","22.4","42","07/01/2009","06/30/2012"
"BAPTIST MEMORIAL HOSPITAL UNION CITY","440130","TN","READM-30-PN-HRRP","148","","1.0685","17.1","16.0","29","07/01/2009","06/30/2012"
"BAPTIST MEMORIAL HOSPITAL TIPTON","440131","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"BAPTIST MEMORIAL HOSPITAL TIPTON","440131","TN","READM-30-HF-HRRP","59","","0.9635","20.3","21.1","Too Few To Report","07/01/2009","06/30/2012"
"BAPTIST MEMORIAL HOSPITAL TIPTON","440131","TN","READM-30-PN-HRRP","115","","0.9810","15.7","16.0","17","07/01/2009","06/30/2012"
"HENRY COUNTY MEDICAL CENTER","440132","TN","READM-30-AMI-HRRP","47","","1.0211","21.2","20.8","11","07/01/2009","06/30/2012"
"HENRY COUNTY MEDICAL CENTER","440132","TN","READM-30-HF-HRRP","176","","0.8708","18.4","21.1","25","07/01/2009","06/30/2012"
"HENRY COUNTY MEDICAL CENTER","440132","TN","READM-30-PN-HRRP","268","","1.0767","17.1","15.9","50","07/01/2009","06/30/2012"
"SAINT THOMAS MIDTOWN HOSPITAL","440133","TN","READM-30-AMI-HRRP","177","","1.0691","18.0","16.8","35","07/01/2009","06/30/2012"
"SAINT THOMAS MIDTOWN HOSPITAL","440133","TN","READM-30-HF-HRRP","615","","0.8868","19.1","21.5","111","07/01/2009","06/30/2012"
"SAINT THOMAS MIDTOWN HOSPITAL","440133","TN","READM-30-PN-HRRP","420","","1.0515","17.2","16.3","75","07/01/2009","06/30/2012"
"HERITAGE MEDICAL CENTER","440137","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"HERITAGE MEDICAL CENTER","440137","TN","READM-30-HF-HRRP","132","","1.1232","25.3","22.5","40","07/01/2009","06/30/2012"
"HERITAGE MEDICAL CENTER","440137","TN","READM-30-PN-HRRP","195","","0.9647","15.9","16.5","29","07/01/2009","06/30/2012"
"CUMBERLAND RIVER HOSPITAL","440141","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"CUMBERLAND RIVER HOSPITAL","440141","TN","READM-30-HF-HRRP","72","","1.0404","22.0","21.2","18","07/01/2009","06/30/2012"
"CUMBERLAND RIVER HOSPITAL","440141","TN","READM-30-PN-HRRP","136","","1.0388","19.0","18.3","28","07/01/2009","06/30/2012"
"HARTON REGIONAL MEDICAL CENTER","440144","TN","READM-30-AMI-HRRP","81","","0.9954","18.8","18.9","15","07/01/2009","06/30/2012"
"HARTON REGIONAL MEDICAL CENTER","440144","TN","READM-30-HF-HRRP","288","","1.1382","24.6","21.6","78","07/01/2009","06/30/2012"
"HARTON REGIONAL MEDICAL CENTER","440144","TN","READM-30-PN-HRRP","310","","1.0331","17.8","17.2","57","07/01/2009","06/30/2012"
"BAPTIST REHABILITATION GERMANTOWN","440147","TN","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"BAPTIST REHABILITATION GERMANTOWN","440147","TN","READM-30-HF-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"BAPTIST REHABILITATION GERMANTOWN","440147","TN","READM-30-PN-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"STONES RIVER HOSPITAL AND DEKALB COMMUNITY HOSP","440148","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"STONES RIVER HOSPITAL AND DEKALB COMMUNITY HOSP","440148","TN","READM-30-HF-HRRP","105","","0.9839","22.8","23.1","23","07/01/2009","06/30/2012"
"STONES RIVER HOSPITAL AND DEKALB COMMUNITY HOSP","440148","TN","READM-30-PN-HRRP","138","","1.0593","18.7","17.6","29","07/01/2009","06/30/2012"
"TRISTAR SUMMIT MEDICAL CENTER","440150","TN","READM-30-AMI-HRRP","84","","1.0026","17.7","17.7","15","07/01/2009","06/30/2012"
"TRISTAR SUMMIT MEDICAL CENTER","440150","TN","READM-30-HF-HRRP","295","","1.0252","22.6","22.0","68","07/01/2009","06/30/2012"
"TRISTAR SUMMIT MEDICAL CENTER","440150","TN","READM-30-PN-HRRP","387","","1.0494","17.1","16.3","69","07/01/2009","06/30/2012"
"RIVER PARK HOSPITAL","440151","TN","READM-30-AMI-HRRP","25","","0.9995","24.1","24.1","Too Few To Report","07/01/2009","06/30/2012"
"RIVER PARK HOSPITAL","440151","TN","READM-30-HF-HRRP","236","","1.0430","24.0","23.0","59","07/01/2009","06/30/2012"
"RIVER PARK HOSPITAL","440151","TN","READM-30-PN-HRRP","351","","1.0653","19.5","18.3","72","07/01/2009","06/30/2012"
"REGIONAL MEDICAL CENTER AT MEMPHIS","440152","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"REGIONAL MEDICAL CENTER AT MEMPHIS","440152","TN","READM-30-HF-HRRP","27","","1.0565","22.1","20.9","Too Few To Report","07/01/2009","06/30/2012"
"REGIONAL MEDICAL CENTER AT MEMPHIS","440152","TN","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"TENNOVA HEALTHCARE-NEWPORT MEDICAL CENTER","440153","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"TENNOVA HEALTHCARE-NEWPORT MEDICAL CENTER","440153","TN","READM-30-HF-HRRP","94","","1.0432","25.1","24.1","26","07/01/2009","06/30/2012"
"TENNOVA HEALTHCARE-NEWPORT MEDICAL CENTER","440153","TN","READM-30-PN-HRRP","183","","1.0243","18.4","17.9","35","07/01/2009","06/30/2012"
"PARKRIDGE MEDICAL CENTER","440156","TN","READM-30-AMI-HRRP","251","","0.8740","14.8","16.9","31","07/01/2009","06/30/2012"
"PARKRIDGE MEDICAL CENTER","440156","TN","READM-30-HF-HRRP","420","","0.9281","21.0","22.6","84","07/01/2009","06/30/2012"
"PARKRIDGE MEDICAL CENTER","440156","TN","READM-30-PN-HRRP","412","","0.9162","15.7","17.2","60","07/01/2009","06/30/2012"
"DELTA MEDICAL CENTER","440159","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"DELTA MEDICAL CENTER","440159","TN","READM-30-HF-HRRP","90","","1.0985","26.2","23.8","29","07/01/2009","06/30/2012"
"DELTA MEDICAL CENTER","440159","TN","READM-30-PN-HRRP","36","","1.0013","19.2","19.2","Too Few To Report","07/01/2009","06/30/2012"
