"State","HCAHPS Question","HCAHPS Answer Description","HCAHPS Answer Percent"
"PR","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",
"PR","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",
"PR","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",
"PR","How often did doctors communicate well with patients?","Doctors always communicated well",
"PR","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",
"PR","How often did doctors communicate well with patients?","Doctors usually communicated well",
"PR","How often did nurses communicate well with patients?","Nurses always communicated well",
"PR","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",
"PR","How often did nurses communicate well with patients?","Nurses usually communicated well",
"PR","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",
"PR","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",
"PR","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",
"PR","How often did staff explain about medicines before giving them to patients?","Staff always explained",
"PR","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",
"PR","How often did staff explain about medicines before giving them to patients?","Staff usually explained",
"PR","How often was patients&#39; pain well controlled?","Pain was always well controlled",
"PR","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",
"PR","How often was patients&#39; pain well controlled?","Pain was usually well controlled",
"PR","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",
"PR","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",
"PR","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",
"PR","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",
"PR","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",
"PR","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",
"PR","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",
"PR","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",
"PR","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",
"PR","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",
"PR","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",
"RI","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",10
"RI","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",27
"RI","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",63
"RI","How often did doctors communicate well with patients?","Doctors always communicated well",79
"RI","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",5
"RI","How often did doctors communicate well with patients?","Doctors usually communicated well",16
"RI","How often did nurses communicate well with patients?","Nurses always communicated well",74
"RI","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",6
"RI","How often did nurses communicate well with patients?","Nurses usually communicated well",20
"RI","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",61
"RI","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",12
"RI","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",27
"RI","How often did staff explain about medicines before giving them to patients?","Staff always explained",58
"RI","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",23
"RI","How often did staff explain about medicines before giving them to patients?","Staff usually explained",19
"RI","How often was patients&#39; pain well controlled?","Pain was always well controlled",69
"RI","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",8
"RI","How often was patients&#39; pain well controlled?","Pain was usually well controlled",23
"RI","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",51
"RI","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",16
"RI","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",33
"RI","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",70
"RI","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",9
"RI","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",21
"RI","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",19
"RI","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",81
"RI","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",6
"RI","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",69
"RI","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",25
"SC","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",11
"SC","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",25
"SC","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",64
"SC","How often did doctors communicate well with patients?","Doctors always communicated well",82
"SC","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",4
"SC","How often did doctors communicate well with patients?","Doctors usually communicated well",14
"SC","How often did nurses communicate well with patients?","Nurses always communicated well",75
"SC","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",7
"SC","How often did nurses communicate well with patients?","Nurses usually communicated well",18
"SC","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",62
"SC","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",13
"SC","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",25
"SC","How often did staff explain about medicines before giving them to patients?","Staff always explained",59
"SC","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",23
"SC","How often did staff explain about medicines before giving them to patients?","Staff usually explained",18
"SC","How often was patients&#39; pain well controlled?","Pain was always well controlled",68
"SC","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",8
"SC","How often was patients&#39; pain well controlled?","Pain was usually well controlled",24
"SC","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",63
"SC","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",10
"SC","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",27
"SC","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",68
"SC","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",12
"SC","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",20
"SC","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",20
"SC","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",80
"SC","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",7
"SC","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",66
"SC","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",27
"SD","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",7
"SD","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",23
"SD","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",70
"SD","How often did doctors communicate well with patients?","Doctors always communicated well",81
"SD","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",3
"SD","How often did doctors communicate well with patients?","Doctors usually communicated well",16
"SD","How often did nurses communicate well with patients?","Nurses always communicated well",77
"SD","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",4
"SD","How often did nurses communicate well with patients?","Nurses usually communicated well",19
"SD","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",70
"SD","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",7
"SD","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",23
"SD","How often did staff explain about medicines before giving them to patients?","Staff always explained",61
"SD","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",17
"SD","How often did staff explain about medicines before giving them to patients?","Staff usually explained",22
"SD","How often was patients&#39; pain well controlled?","Pain was always well controlled",67
"SD","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",6
"SD","How often was patients&#39; pain well controlled?","Pain was usually well controlled",27
"SD","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",63
"SD","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",8
"SD","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",29
"SD","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",78
"SD","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",6
"SD","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",16
"SD","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",19
"SD","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",81
"SD","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",3
"SD","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",72
"SD","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",25
"TN","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",11
"TN","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",24
"TN","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",65
"TN","How often did doctors communicate well with patients?","Doctors always communicated well",82
"TN","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",5
"TN","How often did doctors communicate well with patients?","Doctors usually communicated well",13
"TN","How often did nurses communicate well with patients?","Nurses always communicated well",75
"TN","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",6
"TN","How often did nurses communicate well with patients?","Nurses usually communicated well",19
"TN","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",63
"TN","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",12
"TN","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",25
"TN","How often did staff explain about medicines before giving them to patients?","Staff always explained",59
"TN","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",24
"TN","How often did staff explain about medicines before giving them to patients?","Staff usually explained",17
"TN","How often was patients&#39; pain well controlled?","Pain was always well controlled",69
"TN","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",9
"TN","How often was patients&#39; pain well controlled?","Pain was usually well controlled",22
"TN","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",62
"TN","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",10
"TN","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",28
"TN","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",70
"TN","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",11
"TN","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",19
"TN","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",22
"TN","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",78
"TN","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",7
"TN","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",68
"TN","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",25
"TX","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",10
"TX","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",23
"TX","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",67
"TX","How often did doctors communicate well with patients?","Doctors always communicated well",83
"TX","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",4
"TX","How often did doctors communicate well with patients?","Doctors usually communicated well",13
"TX","How often did nurses communicate well with patients?","Nurses always communicated well",75
"TX","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",6
"TX","How often did nurses communicate well with patients?","Nurses usually communicated well",19
"TX","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",63
"TX","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",12
"TX","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",25
"TX","How often did staff explain about medicines before giving them to patients?","Staff always explained",62
"TX","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",21
"TX","How often did staff explain about medicines before giving them to patients?","Staff usually explained",17
"TX","How often was patients&#39; pain well controlled?","Pain was always well controlled",71
"TX","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",7
"TX","How often was patients&#39; pain well controlled?","Pain was usually well controlled",22
"TX","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",65
"TX","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",9
"TX","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",26
"TX","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",71
"TX","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",10
"TX","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",19
"TX","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",19
"TX","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",81
"TX","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",6
"TX","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",71
"TX","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",23
"UT","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",8
"UT","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",25
"UT","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",67
"UT","How often did doctors communicate well with patients?","Doctors always communicated well",83
"UT","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",3
"UT","How often did doctors communicate well with patients?","Doctors usually communicated well",14
"UT","How often did nurses communicate well with patients?","Nurses always communicated well",75
"UT","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",5
"UT","How often did nurses communicate well with patients?","Nurses usually communicated well",20
"UT","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",65
"UT","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",8
"UT","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",27
"UT","How often did staff explain about medicines before giving them to patients?","Staff always explained",58
"UT","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",23
"UT","How often did staff explain about medicines before giving them to patients?","Staff usually explained",19
"UT","How often was patients&#39; pain well controlled?","Pain was always well controlled",71
"UT","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",6
"UT","How often was patients&#39; pain well controlled?","Pain was usually well controlled",23
"UT","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",55
"UT","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",12
"UT","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",33
"UT","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",71
"UT","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",9
"UT","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",20
"UT","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",19
"UT","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",81
"UT","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",5
"UT","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",76
"UT","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",19
"VA","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",12
"VA","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",27
"VA","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",61
"VA","How often did doctors communicate well with patients?","Doctors always communicated well",80
"VA","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",5
"VA","How often did doctors communicate well with patients?","Doctors usually communicated well",15
"VA","How often did nurses communicate well with patients?","Nurses always communicated well",72
"VA","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",7
"VA","How often did nurses communicate well with patients?","Nurses usually communicated well",21
"VA","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",60
"VA","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",14
"VA","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",26
"VA","How often did staff explain about medicines before giving them to patients?","Staff always explained",57
"VA","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",25
"VA","How often did staff explain about medicines before giving them to patients?","Staff usually explained",18
"VA","How often was patients&#39; pain well controlled?","Pain was always well controlled",67
"VA","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",9
"VA","How often was patients&#39; pain well controlled?","Pain was usually well controlled",24
"VA","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",56
"VA","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",14
"VA","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",30
"VA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",67
"VA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",12
"VA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",21
"VA","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",20
"VA","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",80
"VA","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",7
"VA","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",66
"VA","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",27
"VI","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",
"VI","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",
"VI","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",
"VI","How often did doctors communicate well with patients?","Doctors always communicated well",
"VI","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",
"VI","How often did doctors communicate well with patients?","Doctors usually communicated well",
"VI","How often did nurses communicate well with patients?","Nurses always communicated well",
"VI","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",
"VI","How often did nurses communicate well with patients?","Nurses usually communicated well",
"VI","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",
"VI","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",
"VI","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",
"VI","How often did staff explain about medicines before giving them to patients?","Staff always explained",
"VI","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",
"VI","How often did staff explain about medicines before giving them to patients?","Staff usually explained",
"VI","How often was patients&#39; pain well controlled?","Pain was always well controlled",
"VI","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",
"VI","How often was patients&#39; pain well controlled?","Pain was usually well controlled",
"VI","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",
"VI","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",
"VI","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",
"VI","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",
"VI","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",
"VI","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",
"VI","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",
"VI","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",
"VI","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",
"VI","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",
"VI","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",
"VT","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",7
"VT","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",25
"VT","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",68
"VT","How often did doctors communicate well with patients?","Doctors always communicated well",82
"VT","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",3
"VT","How often did doctors communicate well with patients?","Doctors usually communicated well",15
"VT","How often did nurses communicate well with patients?","Nurses always communicated well",79
"VT","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",3
"VT","How often did nurses communicate well with patients?","Nurses usually communicated well",18
"VT","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",69
"VT","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",7
"VT","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",24
"VT","How often did staff explain about medicines before giving them to patients?","Staff always explained",63
"VT","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",18
"VT","How often did staff explain about medicines before giving them to patients?","Staff usually explained",19
"VT","How often was patients&#39; pain well controlled?","Pain was always well controlled",71
"VT","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",6
"VT","How often was patients&#39; pain well controlled?","Pain was usually well controlled",23
"VT","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",55
"VT","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",12
"VT","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",33
"VT","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",77
"VT","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",5
"VT","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",18
"VT","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",16
"VT","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",84
"VT","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",3
"VT","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",73
"VT","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",24
"WA","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",10
"WA","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",26
"WA","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",64
"WA","How often did doctors communicate well with patients?","Doctors always communicated well",79
"WA","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",5
"WA","How often did doctors communicate well with patients?","Doctors usually communicated well",16
"WA","How often did nurses communicate well with patients?","Nurses always communicated well",72
"WA","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",5
"WA","How often did nurses communicate well with patients?","Nurses usually communicated well",23
"WA","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",61
"WA","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",10
"WA","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",29
"WA","How often did staff explain about medicines before giving them to patients?","Staff always explained",59
"WA","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",21
"WA","How often did staff explain about medicines before giving them to patients?","Staff usually explained",20
"WA","How often was patients&#39; pain well controlled?","Pain was always well controlled",67
"WA","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",7
"WA","How often was patients&#39; pain well controlled?","Pain was usually well controlled",26
"WA","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",51
"WA","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",15
"WA","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",34
"WA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",70
"WA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",9
"WA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",21
"WA","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",19
"WA","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",81
"WA","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",5
"WA","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",70
"WA","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",25
"WI","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",7
"WI","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",24
"WI","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",69
"WI","How often did doctors communicate well with patients?","Doctors always communicated well",82
"WI","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",3
"WI","How often did doctors communicate well with patients?","Doctors usually communicated well",15
"WI","How often did nurses communicate well with patients?","Nurses always communicated well",78
"WI","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",3
"WI","How often did nurses communicate well with patients?","Nurses usually communicated well",19
"WI","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",69
"WI","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",7
"WI","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",24
"WI","How often did staff explain about medicines before giving them to patients?","Staff always explained",64
"WI","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",17
"WI","How often did staff explain about medicines before giving them to patients?","Staff usually explained",19
"WI","How often was patients&#39; pain well controlled?","Pain was always well controlled",70
"WI","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",5
"WI","How often was patients&#39; pain well controlled?","Pain was usually well controlled",25
"WI","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",58
"WI","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",10
"WI","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",32
"WI","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",76
"WI","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",6
"WI","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",18
"WI","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",16
"WI","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",84
"WI","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",3
"WI","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",71
"WI","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",26
"WV","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",12
"WV","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",26
"WV","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",62
"WV","How often did doctors communicate well with patients?","Doctors always communicated well",81
"WV","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",5
"WV","How often did doctors communicate well with patients?","Doctors usually communicated well",14
"WV","How often did nurses communicate well with patients?","Nurses always communicated well",74
"WV","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",6
"WV","How often did nurses communicate well with patients?","Nurses usually communicated well",20
"WV","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",64
"WV","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",11
"WV","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",25
"WV","How often did staff explain about medicines before giving them to patients?","Staff always explained",59
"WV","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",23
"WV","How often did staff explain about medicines before giving them to patients?","Staff usually explained",18
"WV","How often was patients&#39; pain well controlled?","Pain was always well controlled",67
"WV","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",8
"WV","How often was patients&#39; pain well controlled?","Pain was usually well controlled",25
"WV","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",51
