"Provider Number","Hospital Name","Condition","Measure Name","Category","Mortality Rate","Lower Mortality Estimate","Upper Mortality Estimate","Number of Patients","Footnote"
"450196","PARIS REGIONAL MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.8,8.6,15.8,125,
"450196","PARIS REGIONAL MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",14.2,10.9,18.5,169,
"450200","WADLEY REGIONAL MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",13.7,10.4,18,77,
"450200","WADLEY REGIONAL MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.1,8.3,14.4,167,
"450200","WADLEY REGIONAL MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9,6.6,12,141,
"450203","WEATHERFORD REGIONAL MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.8,11.6,20.6,25,
"450203","WEATHERFORD REGIONAL MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.2,7.2,14.2,89,
"450203","WEATHERFORD REGIONAL MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.2,9,16.4,150,
"450209","NORTHWEST TEXAS HEALTHCARE SYSTEM","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.7,12.4,22,88,
"450209","NORTHWEST TEXAS HEALTHCARE SYSTEM","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",13.5,9.7,18.4,107,
"450209","NORTHWEST TEXAS HEALTHCARE SYSTEM","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.4,8.4,17.4,114,
"450210","EAST TEXAS MEDICAL CENTER-CARTHAGE","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.8,13,21.4,10,
"450210","EAST TEXAS MEDICAL CENTER-CARTHAGE","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11,7.5,16.1,32,
"450210","EAST TEXAS MEDICAL CENTER-CARTHAGE","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.4,8.4,17.8,58,
"450211","MEMORIAL MEDICAL CENTER OF EAST TEXAS","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.3,13.5,21.8,67,
"450211","MEMORIAL MEDICAL CENTER OF EAST TEXAS","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.5,7.6,13.9,170,
"450211","MEMORIAL MEDICAL CENTER OF EAST TEXAS","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",14.4,11.1,18.5,198,
"450213","UNIVERSITY HEALTH SYSTEM","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.4,11.2,20.7,19,
"450213","UNIVERSITY HEALTH SYSTEM","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.9,7.3,15.9,37,
"450213","UNIVERSITY HEALTH SYSTEM","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.5,6.9,15.5,37,
"450214","GULF COAST MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.4,12.2,21.2,27,
"450214","GULF COAST MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.4,7.4,14.7,40,
"450214","GULF COAST MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.9,8.5,16.9,65,
"450219","LLANO MEMORIAL HEALTHCARE SYSTEM","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.4,11.7,19.5,6,
"450219","LLANO MEMORIAL HEALTHCARE SYSTEM","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.6,7.5,14.6,34,
"450219","LLANO MEMORIAL HEALTHCARE SYSTEM","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.6,8.7,15.4,104,
"450221","MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.7,12.3,19.4,7,
"450221","MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",13,8.8,18.3,40,
"450221","MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.7,6.7,15.8,31,
"450222","CONROE REGIONAL MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16,12.6,20.3,144,
"450222","CONROE REGIONAL MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",9.2,6.9,12,254,
"450222","CONROE REGIONAL MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10,7.2,13.6,182,
"450224","PRESBYTERIAN HOSPITAL OF WINNSBORO","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.7,12.3,22.1,5,
"450224","PRESBYTERIAN HOSPITAL OF WINNSBORO","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.8,7.9,17.2,23,
"450224","PRESBYTERIAN HOSPITAL OF WINNSBORO","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.7,6.8,16.3,31,
"450229","HENDRICK MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.8,12,20.4,140,
"450229","HENDRICK MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Worse than U.S. National Rate",15.2,11.9,19.4,208,
"450229","HENDRICK MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Worse than U.S. National Rate",14.7,11.5,18.7,207,
"450231","BAPTIST ST ANTHONYS HEALTH SYSTEM-BAPTIST CAMPUS","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.5,12.4,19.1,227,
"450231","BAPTIST ST ANTHONYS HEALTH SYSTEM-BAPTIST CAMPUS","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.4,9.6,15.9,298,
"450231","BAPTIST ST ANTHONYS HEALTH SYSTEM-BAPTIST CAMPUS","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.3,8.7,14.8,312,
"450234","COMANCHE COUNTY MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.8,12.2,20.2,12,
"450234","COMANCHE COUNTY MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.6,7.7,14.4,75,
"450234","COMANCHE COUNTY MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.5,6.3,14.1,44,
"450235","MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16,12.7,19.8,4,
"450235","MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",14.1,10.1,19.3,26,
"450235","MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.3,7.9,16.1,53,
"450236","HOPKINS COUNTY MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.3,12.5,20.6,23,
"450236","HOPKINS COUNTY MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12,8.5,16.7,89,
"450236","HOPKINS COUNTY MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13.1,9.7,17.3,148,
"450237","CHRISTUS SANTA ROSA HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.5,12.6,21.2,60,
"450237","CHRISTUS SANTA ROSA HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.1,8.3,14.9,189,
"450237","CHRISTUS SANTA ROSA HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.5,6.7,12.9,107,
"450239","CORYELL MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.5,12.4,21.6,5,
"450239","CORYELL MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.2,7.4,16.3,14,
"450239","CORYELL MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.1,6.4,15.4,44,
"450241","FAITH COMMUNITY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.4,12,21.7,8,
"450241","FAITH COMMUNITY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11,7.3,16.1,12,
"450241","FAITH COMMUNITY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.2,7,17.6,15,
"450243","HAMLIN MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16,11.3,22.5,1,
"450243","HAMLIN MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.3,7.7,16.5,4,
"450243","HAMLIN MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.8,6.5,14.6,17,
"450253","BELLVILLE GENERAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.8,12.5,22,7,
"450253","BELLVILLE GENERAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.8,8.5,18.4,26,
"450253","BELLVILLE GENERAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13.3,9.2,18.5,33,
"450270","LAKE WHITNEY MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.1,12,20.7,4,
"450270","LAKE WHITNEY MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.3,6.9,15.4,14,
"450270","LAKE WHITNEY MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.5,6.6,16.2,24,
"450271","WISE REGIONAL HEALTH SYSTEM","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.2,12.5,22.8,19,
"450271","WISE REGIONAL HEALTH SYSTEM","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12,8.1,17.6,41,
"450271","WISE REGIONAL HEALTH SYSTEM","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13.8,9.5,19.7,86,
"450272","CENTRAL TEXAS MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.6,12.7,21.6,37,
"450272","CENTRAL TEXAS MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.2,7,14.3,80,
"450272","CENTRAL TEXAS MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.8,9.2,17.6,105,
"450280","BAYLOR MEDICAL CENTER AT GARLAND","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.9,12,20.6,63,
"450280","BAYLOR MEDICAL CENTER AT GARLAND","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.7,7.9,14.1,155,
"450280","BAYLOR MEDICAL CENTER AT GARLAND","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.9,9,15.1,190,
"450283","COZBY-GERMANY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.2,13.8,18.2,1,
"450283","COZBY-GERMANY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",9.9,6.7,14.6,17,
"450283","COZBY-GERMANY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13.7,9.2,19.2,33,
"450289","HARRIS COUNTY HOSPITAL DISTRICT","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.1,11.7,22,18,
"450289","HARRIS COUNTY HOSPITAL DISTRICT","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.9,7.3,16,58,
"450289","HARRIS COUNTY HOSPITAL DISTRICT","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.2,7.1,16.7,21,
"450292","PRESBYTERIAN HOSPITAL OF KAUFMAN","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.4,12.7,21,18,
"450292","PRESBYTERIAN HOSPITAL OF KAUFMAN","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.4,7.3,14.3,88,
"450292","PRESBYTERIAN HOSPITAL OF KAUFMAN","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.6,7.8,17,60,
"450293","FRIO REGIONAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.5,11.4,20.5,5,
"450293","FRIO REGIONAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.7,7.2,15.5,23,
"450293","FRIO REGIONAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.1,6.7,14.8,24,
"450296","CLEVELAND REGIONAL MEDICAL CTR","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.4,11.8,19.9,25,
"450296","CLEVELAND REGIONAL MEDICAL CTR","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.3,9,16.5,74,
"450296","CLEVELAND REGIONAL MEDICAL CTR","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.9,6.8,13.8,67,
"450299","COLLEGE STATION MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15,11.1,19.8,32,
"450299","COLLEGE STATION MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.1,7.2,13.7,74,
"450299","COLLEGE STATION MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.8,8,16.6,47,
"450306","STAMFORD MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16,11.4,22.2,1,
"450306","STAMFORD MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.9,7.9,17.5,15,
"450306","STAMFORD MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.5,8.4,18.3,17,
"450315","VISTA HOSPITAL OF DALLAS","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack",,,,,,"5         "
"450315","VISTA HOSPITAL OF DALLAS","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure",,,,,,"5         "
"450315","VISTA HOSPITAL OF DALLAS","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia",,,,,,"5         "
"450324","TEXOMA MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",14.9,11.4,19.4,96,
"450324","TEXOMA MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.8,8.6,15.9,122,
"450324","TEXOMA MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.1,7.4,13.8,184,
"450330","OAKBEND MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.2,11.2,20.3,23,
"450330","OAKBEND MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.7,7.5,15,89,
"450330","OAKBEND MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.1,8.4,16.3,83,
"450340","SAN ANGELO COMMUNITY MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.1,12,21.3,57,
"450340","SAN ANGELO COMMUNITY MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",13.8,9.9,19.1,81,
"450340","SAN ANGELO COMMUNITY MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13,9.6,17.4,150,
"450346","MEMORIAL HERMANN BAPTIST BEAUMONT HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.9,12.3,20.3,73,
"450346","MEMORIAL HERMANN BAPTIST BEAUMONT HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.6,8.6,15.6,161,
"450346","MEMORIAL HERMANN BAPTIST BEAUMONT HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13.1,9.9,16.5,225,
"450347","HUNTSVILLE MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.3,11.7,19.3,9,
"450347","HUNTSVILLE MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",14.3,10.4,19.8,51,
"450347","HUNTSVILLE MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13.2,9.5,17.9,88,
"450348","FALLS COMMUNITY HOSPITAL AND CLINIC","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.9,12.2,23,4,
"450348","FALLS COMMUNITY HOSPITAL AND CLINIC","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.7,7.3,15.1,32,
"450348","FALLS COMMUNITY HOSPITAL AND CLINIC","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.9,7.6,15.4,68,
"450351","HARRIS METHODIST ERATH COUNTY","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.5,12.5,21.5,31,
"450351","HARRIS METHODIST ERATH COUNTY","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",13.1,9.5,17.8,71,
"450351","HARRIS METHODIST ERATH COUNTY","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13.3,9.7,17.9,103,
"450352","PRESBYTERIAN HOSPITAL OF GREENVILLE","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.9,11.9,20.9,46,
"450352","PRESBYTERIAN HOSPITAL OF GREENVILLE","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.8,7.7,14.7,139,
"450352","PRESBYTERIAN HOSPITAL OF GREENVILLE","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",8.8,6,12.3,142,
"450358","METHODIST HOSPITAL,THE","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.3,12.3,18.8,247,
"450358","METHODIST HOSPITAL,THE","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.9,9.5,14.7,380,
"450358","METHODIST HOSPITAL,THE","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Better than U.S. National Rate",7.9,5.9,10.6,266,
"450369","CHILDRESS REGIONAL MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.1,12.6,20.1,3,
"450369","CHILDRESS REGIONAL MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.2,6.8,14.7,26,
"450369","CHILDRESS REGIONAL MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.2,7.4,16.3,57,
"450370","COLUMBUS COMMUNITY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.1,11.7,21.1,5,
"450370","COLUMBUS COMMUNITY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.3,8.5,17.3,22,
"450370","COLUMBUS COMMUNITY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.8,8.6,18.7,34,
"450372","BAYLOR MEDICAL CENTER AT WAXAHACHIE","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",18.1,13.6,23.8,18,
"450372","BAYLOR MEDICAL CENTER AT WAXAHACHIE","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.2,6.9,14.5,72,
"450372","BAYLOR MEDICAL CENTER AT WAXAHACHIE","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Worse than U.S. National Rate",16.8,12.2,22.2,80,
"450373","EAST TEXAS MEDICAL CENTER MOUNT VERNON","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.8,11.8,20.5,2,
"450373","EAST TEXAS MEDICAL CENTER MOUNT VERNON","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.2,8.3,17.6,25,
"450373","EAST TEXAS MEDICAL CENTER MOUNT VERNON","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.5,7.8,16.3,23,
"450378","TWELVE OAKS MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.2,11.8,21.7,18,
"450378","TWELVE OAKS MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.2,8.2,17.5,27,
"450378","TWELVE OAKS MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.3,7.6,16.4,16,
"450379","RHD MEMORIAL MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.6,12.6,21.1,39,
"450379","RHD MEMORIAL MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.3,7.2,14.5,61,
"450379","RHD MEMORIAL MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.6,6.8,13.5,62,
"450388","METHODIST HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.1,13.3,19.4,334,
"450388","METHODIST HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.9,9,13.1,648,
"450388","METHODIST HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.9,7.9,12.2,477,
"450389","EAST TEXAS MEDICAL CENTER ATHENS","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.3,13.4,21.9,70,
"450389","EAST TEXAS MEDICAL CENTER ATHENS","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.5,7.6,14.3,141,
"450389","EAST TEXAS MEDICAL CENTER ATHENS","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.6,8.7,15.4,219,
"450393","COMMUNITY SPECIALTY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack",,,,,,"5         "
"450393","COMMUNITY SPECIALTY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure",,,,,,"5         "
"450393","COMMUNITY SPECIALTY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia",,,,,,"5         "
"450395","MEMORIAL MEDICAL CENTER LIVINGSTON","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.4,12.3,21.4,8,
"450395","MEMORIAL MEDICAL CENTER LIVINGSTON","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.6,8.9,17.3,93,
"450395","MEMORIAL MEDICAL CENTER LIVINGSTON","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.7,8.9,17.7,71,
"450399","BROWNFIELD REGIONAL MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.9,12.2,22.8,3,
