"State","MS-DRG ID","MS-DRG Name","Medicare Payment Range","Number Of Cases"
"ME","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","39649 - 41466","26"
"MI","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","36253 - 44292","204"
"MN","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","38423 - 42870","91"
"MO","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","32714 - 40150","128"
"MS","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","33990 - 37465","60"
"MT","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","31462 - 36347","15"
"NC","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","36132 - 44696","196"
"ND","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","32301 - 37650","30"
"NE","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","34725 - 50092","43"
"NH","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","38339 - 53346","12"
"NJ","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","43722 - 51450","227"
"NM","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","35386 - 40045","17"
"NV","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","3175 - 44715","29"
"NY","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","11592 - 58991","457"
"OH","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","32974 - 41600","241"
"OK","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","32419 - 38543","66"
"OR","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","2303 - 39534","43"
"PA","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","5896 - 39644","429"
"PR","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","20893 - 20893","*"
"RI","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","9931 - 18425","*"
"SC","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","34661 - 40847","94"
"SD","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","33150 - 36423","18"
"TN","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","33611 - 38277","95"
"TX","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","34724 - 41995","324"
"UT","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","28535 - 38090","24"
"VA","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","34430 - 41040","100"
"VT","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","52587 - 53021","12"
"WA","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","41121 - 47797","76"
"WI","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","34393 - 40803","127"
"WV","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","30746 - 37465","64"
"WY","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","38302 - 42629","*"
"AK","226","Cardiac defibrillator implant w/o cardiac cath w MCC","46897 - 49320","14"
"AL","226","Cardiac defibrillator implant w/o cardiac cath w MCC","30537 - 34374","125"
"AR","226","Cardiac defibrillator implant w/o cardiac cath w MCC","31975 - 34687","128"
"AZ","226","Cardiac defibrillator implant w/o cardiac cath w MCC","30810 - 37888","244"
"CA","226","Cardiac defibrillator implant w/o cardiac cath w MCC","37443 - 53373","660"
"CO","226","Cardiac defibrillator implant w/o cardiac cath w MCC","34267 - 49209","78"
"CT","226","Cardiac defibrillator implant w/o cardiac cath w MCC","43896 - 50938","125"
"DC","226","Cardiac defibrillator implant w/o cardiac cath w MCC","45419 - 47213","43"
"DE","226","Cardiac defibrillator implant w/o cardiac cath w MCC","37065 - 40472","53"
"FL","226","Cardiac defibrillator implant w/o cardiac cath w MCC","30833 - 37824","842"
"GA","226","Cardiac defibrillator implant w/o cardiac cath w MCC","33416 - 41581","293"
"HI","226","Cardiac defibrillator implant w/o cardiac cath w MCC","40213 - 46824","40"
"IA","226","Cardiac defibrillator implant w/o cardiac cath w MCC","32805 - 33582","66"
"ID","226","Cardiac defibrillator implant w/o cardiac cath w MCC","629 - 35201","14"
"IL","226","Cardiac defibrillator implant w/o cardiac cath w MCC","33393 - 44068","405"
"IN","226","Cardiac defibrillator implant w/o cardiac cath w MCC","31461 - 38527","221"
"KS","226","Cardiac defibrillator implant w/o cardiac cath w MCC","29898 - 34432","74"
"KY","226","Cardiac defibrillator implant w/o cardiac cath w MCC","32739 - 37349","195"
"LA","226","Cardiac defibrillator implant w/o cardiac cath w MCC","31601 - 36322","157"
"MA","226","Cardiac defibrillator implant w/o cardiac cath w MCC","40382 - 50817","164"
"MD","226","Cardiac defibrillator implant w/o cardiac cath w MCC","39668 - 64723","191"
"ME","226","Cardiac defibrillator implant w/o cardiac cath w MCC","37491 - 39037","34"
"MI","226","Cardiac defibrillator implant w/o cardiac cath w MCC","34421 - 46731","368"
"MN","226","Cardiac defibrillator implant w/o cardiac cath w MCC","36135 - 40370","112"
"MO","226","Cardiac defibrillator implant w/o cardiac cath w MCC","31084 - 41283","206"
"MS","226","Cardiac defibrillator implant w/o cardiac cath w MCC","31858 - 36999","94"
"MT","226","Cardiac defibrillator implant w/o cardiac cath w MCC","32369 - 39877","16"
"NC","226","Cardiac defibrillator implant w/o cardiac cath w MCC","34103 - 41997","225"
"ND","226","Cardiac defibrillator implant w/o cardiac cath w MCC","29183 - 30902","23"
"NE","226","Cardiac defibrillator implant w/o cardiac cath w MCC","31771 - 41499","50"
"NH","226","Cardiac defibrillator implant w/o cardiac cath w MCC","36482 - 50053","26"
"NJ","226","Cardiac defibrillator implant w/o cardiac cath w MCC","40806 - 48850","367"
"NM","226","Cardiac defibrillator implant w/o cardiac cath w MCC","35091 - 44698","22"
"NV","226","Cardiac defibrillator implant w/o cardiac cath w MCC","34668 - 42264","72"
"NY","226","Cardiac defibrillator implant w/o cardiac cath w MCC","12976 - 55597","715"
"OH","226","Cardiac defibrillator implant w/o cardiac cath w MCC","30782 - 39986","487"
"OK","226","Cardiac defibrillator implant w/o cardiac cath w MCC","31698 - 36196","136"
"OR","226","Cardiac defibrillator implant w/o cardiac cath w MCC","1755 - 37687","60"
"PA","226","Cardiac defibrillator implant w/o cardiac cath w MCC","6732 - 38654","655"
"PR","226","Cardiac defibrillator implant w/o cardiac cath w MCC","19621 - 21354","*"
"RI","226","Cardiac defibrillator implant w/o cardiac cath w MCC","44712 - 51790","24"
"SC","226","Cardiac defibrillator implant w/o cardiac cath w MCC","33929 - 40970","116"
"SD","226","Cardiac defibrillator implant w/o cardiac cath w MCC","31132 - 34551","19"
"TN","226","Cardiac defibrillator implant w/o cardiac cath w MCC","32314 - 39218","238"
"TX","226","Cardiac defibrillator implant w/o cardiac cath w MCC","32074 - 38247","723"
"UT","226","Cardiac defibrillator implant w/o cardiac cath w MCC","34583 - 41195","31"
"VA","226","Cardiac defibrillator implant w/o cardiac cath w MCC","32325 - 41861","179"
"VT","226","Cardiac defibrillator implant w/o cardiac cath w MCC","49270 - 49792","*"
"WA","226","Cardiac defibrillator implant w/o cardiac cath w MCC","38821 - 47295","100"
"WI","226","Cardiac defibrillator implant w/o cardiac cath w MCC","33151 - 45328","125"
"WV","226","Cardiac defibrillator implant w/o cardiac cath w MCC","8571 - 34734","73"
"WY","226","Cardiac defibrillator implant w/o cardiac cath w MCC","35229 - 43285","*"
"AK","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","40302 - 40396","50"
"AL","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","25398 - 29165","566"
"AR","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","25530 - 29333","642"
"AZ","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","2825 - 31380","825"
"CA","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","31658 - 41927","2387"
"CO","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","29461 - 34769","233"
"CT","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","38131 - 39903","572"
"DC","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","39082 - 39242","165"
"DE","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","31603 - 34508","160"
"FL","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","25930 - 30345","3187"
"GA","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","27189 - 34606","932"
"HI","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","34255 - 39924","90"
"IA","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","27068 - 28356","583"
"ID","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","27651 - 30014","54"
"IL","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","28461 - 35241","1580"
"IN","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","26825 - 30594","985"
"KS","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","25493 - 31567","302"
"KY","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","28914 - 33767","639"
"LA","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","25852 - 29459","697"
"MA","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","34570 - 45471","587"
"MD","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","32980 - 52161","610"
"ME","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","27637 - 32024","158"
"MI","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","28995 - 36229","1285"
"MN","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","30217 - 34328","695"
"MO","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","25627 - 31724","758"
"MS","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","27128 - 29999","472"
"MT","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","25197 - 31108","109"
"NC","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","29005 - 35808","895"
"ND","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","25567 - 30095","144"
"NE","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","27090 - 29288","414"
"NH","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","29878 - 42199","98"
"NJ","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","34615 - 39777","1764"
"NM","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","28028 - 32065","104"
"NV","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","30108 - 35805","262"
"NY","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","9282 - 45543","3217"
"OH","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","26247 - 33863","2077"
"OK","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","26441 - 30862","713"
"OR","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","8097 - 31750","318"
"PA","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","5710 - 32706","2651"
"PR","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","16729 - 17771","23"
"RI","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","8049 - 44007","92"
"SC","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","28306 - 34697","522"
"SD","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","26544 - 28827","126"
"TN","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","26913 - 32904","1215"
"TX","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","27106 - 32325","2213"
"UT","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","28537 - 31145","158"
"VA","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","27195 - 32862","533"
"VI","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","7840 - 7840","*"
"VT","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","42010 - 42455","53"
"WA","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","32927 - 36932","642"
"WI","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","27889 - 32976","729"
"WV","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","24619 - 30625","239"
"WY","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","29714 - 40201","28"
"AK","235","Coronary bypass w/o cardiac cath w MCC","41078 - 57162","14"
"AL","235","Coronary bypass w/o cardiac cath w MCC","25599 - 31452","219"
"AR","235","Coronary bypass w/o cardiac cath w MCC","24263 - 29752","186"
"AZ","235","Coronary bypass w/o cardiac cath w MCC","20590 - 34484","300"
"CA","235","Coronary bypass w/o cardiac cath w MCC","21250 - 46473","697"
"CO","235","Coronary bypass w/o cardiac cath w MCC","20312 - 31435","114"
"CT","235","Coronary bypass w/o cardiac cath w MCC","30753 - 40671","111"
"DC","235","Coronary bypass w/o cardiac cath w MCC","37111 - 39997","93"
"DE","235","Coronary bypass w/o cardiac cath w MCC","23245 - 35127","24"
"FL","235","Coronary bypass w/o cardiac cath w MCC","21313 - 29566","943"
"GA","235","Coronary bypass w/o cardiac cath w MCC","27535 - 36136","338"
"HI","235","Coronary bypass w/o cardiac cath w MCC","38597 - 40692","49"
"IA","235","Coronary bypass w/o cardiac cath w MCC","25921 - 38695","159"
"ID","235","Coronary bypass w/o cardiac cath w MCC","26966 - 30592","27"
"IL","235","Coronary bypass w/o cardiac cath w MCC","26427 - 40689","540"
"IN","235","Coronary bypass w/o cardiac cath w MCC","25368 - 31979","334"
"KS","235","Coronary bypass w/o cardiac cath w MCC","25762 - 29519","87"
"KY","235","Coronary bypass w/o cardiac cath w MCC","26588 - 31653","368"
"LA","235","Coronary bypass w/o cardiac cath w MCC","22355 - 29226","312"
"MA","235","Coronary bypass w/o cardiac cath w MCC","29991 - 44107","196"
"MD","235","Coronary bypass w/o cardiac cath w MCC","24550 - 49766","249"
"ME","235","Coronary bypass w/o cardiac cath w MCC","27979 - 33843","70"
"MI","235","Coronary bypass w/o cardiac cath w MCC","21547 - 33760","476"
"MN","235","Coronary bypass w/o cardiac cath w MCC","21247 - 34993","130"
"MO","235","Coronary bypass w/o cardiac cath w MCC","23221 - 32146","339"
"MS","235","Coronary bypass w/o cardiac cath w MCC","27118 - 31227","91"
"MT","235","Coronary bypass w/o cardiac cath w MCC","25680 - 28712","19"
"NC","235","Coronary bypass w/o cardiac cath w MCC","29107 - 38452","303"
"ND","235","Coronary bypass w/o cardiac cath w MCC","24782 - 26533","20"
"NE","235","Coronary bypass w/o cardiac cath w MCC","22772 - 30414","98"
"NH","235","Coronary bypass w/o cardiac cath w MCC","30318 - 41269","52"
"NJ","235","Coronary bypass w/o cardiac cath w MCC","31036 - 40542","290"
"NM","235","Coronary bypass w/o cardiac cath w MCC","28568 - 36883","28"
"NV","235","Coronary bypass w/o cardiac cath w MCC","20821 - 36494","110"
"NY","235","Coronary bypass w/o cardiac cath w MCC","14304 - 47640","586"
"OH","235","Coronary bypass w/o cardiac cath w MCC","19957 - 34748","571"
"OK","235","Coronary bypass w/o cardiac cath w MCC","25660 - 31414","255"
"OR","235","Coronary bypass w/o cardiac cath w MCC","2907 - 44490","187"
"PA","235","Coronary bypass w/o cardiac cath w MCC","5099 - 31983","615"
"PR","235","Coronary bypass w/o cardiac cath w MCC","16099 - 17052","69"
"RI","235","Coronary bypass w/o cardiac cath w MCC","7759 - 33686","14"
"SC","235","Coronary bypass w/o cardiac cath w MCC","25291 - 34003","246"
"SD","235","Coronary bypass w/o cardiac cath w MCC","27055 - 30559","38"
"TN","235","Coronary bypass w/o cardiac cath w MCC","26060 - 33740","469"
"TX","235","Coronary bypass w/o cardiac cath w MCC","26965 - 34256","1035"
"UT","235","Coronary bypass w/o cardiac cath w MCC","24906 - 41363","56"
"VA","235","Coronary bypass w/o cardiac cath w MCC","27640 - 40963","274"
"VT","235","Coronary bypass w/o cardiac cath w MCC","26767 - 43272","*"
"WA","235","Coronary bypass w/o cardiac cath w MCC","32339 - 40707","195"
"WI","235","Coronary bypass w/o cardiac cath w MCC","21585 - 33299","198"
"WV","235","Coronary bypass w/o cardiac cath w MCC","24533 - 30137","139"
"WY","235","Coronary bypass w/o cardiac cath w MCC","28197 - 30274","*"
"AK","236","Coronary bypass w/o cardiac cath w/o MCC","27341 - 29896","36"
"AL","236","Coronary bypass w/o cardiac cath w/o MCC","18722 - 20787","717"
"AR","236","Coronary bypass w/o cardiac cath w/o MCC","18894 - 21603","501"
"AZ","236","Coronary bypass w/o cardiac cath w/o MCC","19351 - 23502","532"
"CA","236","Coronary bypass w/o cardiac cath w/o MCC","19766 - 30190","1625"
"CO","236","Coronary bypass w/o cardiac cath w/o MCC","15698 - 23004","242"
"CT","236","Coronary bypass w/o cardiac cath w/o MCC","27331 - 29530","377"
"DC","236","Coronary bypass w/o cardiac cath w/o MCC","28804 - 31319","53"
"DE","236","Coronary bypass w/o cardiac cath w/o MCC","16746 - 25120","83"
"FL","236","Coronary bypass w/o cardiac cath w/o MCC","18648 - 21241","1790"
"GA","236","Coronary bypass w/o cardiac cath w/o MCC","19993 - 25824","848"
"GU","236","Coronary bypass w/o cardiac cath w/o MCC","7832 - 7832","*"
"HI","236","Coronary bypass w/o cardiac cath w/o MCC","24877 - 29256","71"
"IA","236","Coronary bypass w/o cardiac cath w/o MCC","19536 - 20985","396"
"ID","236","Coronary bypass w/o cardiac cath w/o MCC","20833 - 22212","157"
"IL","236","Coronary bypass w/o cardiac cath w/o MCC","19849 - 24238","1151"
"IN","236","Coronary bypass w/o cardiac cath w/o MCC","19852 - 22642","859"
"KS","236","Coronary bypass w/o cardiac cath w/o MCC","18866 - 23361","295"
"KY","236","Coronary bypass w/o cardiac cath w/o MCC","19655 - 22663","658"
"LA","236","Coronary bypass w/o cardiac cath w/o MCC","17055 - 20986","585"
"MA","236","Coronary bypass w/o cardiac cath w/o MCC","24035 - 33637","547"
"MD","236","Coronary bypass w/o cardiac cath w/o MCC","22051 - 37011","285"
"ME","236","Coronary bypass w/o cardiac cath w/o MCC","22554 - 24345","108"
"MI","236","Coronary bypass w/o cardiac cath w/o MCC","19294 - 24513","1095"
"MN","236","Coronary bypass w/o cardiac cath w/o MCC","21664 - 25404","419"
"MO","236","Coronary bypass w/o cardiac cath w/o MCC","18397 - 23010","906"
"MS","236","Coronary bypass w/o cardiac cath w/o MCC","19981 - 22201","530"
"MT","236","Coronary bypass w/o cardiac cath w/o MCC","18644 - 20847","115"
"NC","236","Coronary bypass w/o cardiac cath w/o MCC","21061 - 26486","932"
"ND","236","Coronary bypass w/o cardiac cath w/o MCC","18290 - 19500","84"
"NE","236","Coronary bypass w/o cardiac cath w/o MCC","19719 - 21674","398"
"NH","236","Coronary bypass w/o cardiac cath w/o MCC","22013 - 25888","161"
"NJ","236","Coronary bypass w/o cardiac cath w/o MCC","24751 - 29437","816"
"NM","236","Coronary bypass w/o cardiac cath w/o MCC","20706 - 23730","131"
"NV","236","Coronary bypass w/o cardiac cath w/o MCC","20848 - 26498","213"
"NY","236","Coronary bypass w/o cardiac cath w/o MCC","6869 - 30544","1658"
"OH","236","Coronary bypass w/o cardiac cath w/o MCC","16538 - 23336","1393"
"OK","236","Coronary bypass w/o cardiac cath w/o MCC","18631 - 21357","725"
"OR","236","Coronary bypass w/o cardiac cath w/o MCC","992 - 23240","441"
"PA","236","Coronary bypass w/o cardiac cath w/o MCC","4695 - 23482","1242"
"PR","236","Coronary bypass w/o cardiac cath w/o MCC","1107 - 12381","174"
"RI","236","Coronary bypass w/o cardiac cath w/o MCC","5908 - 32058","87"
"SC","236","Coronary bypass w/o cardiac cath w/o MCC","18761 - 25776","435"
"SD","236","Coronary bypass w/o cardiac cath w/o MCC","19644 - 20314","135"
"TN","236","Coronary bypass w/o cardiac cath w/o MCC","18923 - 22582","1106"
"TX","236","Coronary bypass w/o cardiac cath w/o MCC","19983 - 23408","2123"
"UT","236","Coronary bypass w/o cardiac cath w/o MCC","20804 - 23022","191"
"VA","236","Coronary bypass w/o cardiac cath w/o MCC","19741 - 23908","768"
"VT","236","Coronary bypass w/o cardiac cath w/o MCC","30904 - 31419","25"
"WA","236","Coronary bypass w/o cardiac cath w/o MCC","23578 - 26217","570"
"WI","236","Coronary bypass w/o cardiac cath w/o MCC","14232 - 22752","626"
"WV","236","Coronary bypass w/o cardiac cath w/o MCC","17892 - 21772","389"
"WY","236","Coronary bypass w/o cardiac cath w/o MCC","21982 - 21990","29"
"AK","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","35659 - 36023","22"
"AL","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","22649 - 28847","525"
"AR","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","23427 - 26507","290"
"AZ","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","22608 - 28899","625"
"CA","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","27318 - 41762","1993"
"CO","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","24327 - 30766","274"
"CT","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","31792 - 40013","326"
"DC","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","34851 - 34994","175"
"DE","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","26343 - 30773","93"
"FL","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","23456 - 28806","2056"
"GA","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","24250 - 31362","720"
"GU","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","3427 - 8322","*"
"HI","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","29975 - 35602","68"
"IA","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","24138 - 31152","364"
"ID","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","24538 - 27611","76"
"IL","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","25391 - 35852","1178"
"IN","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","23957 - 33624","721"
"KS","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","22733 - 28189","242"
"KY","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","23688 - 28393","570"
"LA","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","23124 - 28718","434"
"MA","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","28971 - 40479","675"
"MD","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","20587 - 51860","435"
"ME","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","28211 - 29681","125"
"MI","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","25856 - 32221","1241"
"MN","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","26773 - 35673","547"
"MO","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","23027 - 30630","748"
"MS","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","25181 - 27273","229"
"MT","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","24486 - 25951","76"
"NC","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","25961 - 35214","823"
"ND","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","22189 - 25505","95"
"NE","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","24157 - 31470","142"
"NH","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","26647 - 38193","135"
"NJ","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","29454 - 35471","785"
"NM","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","24994 - 28594","99"
"NV","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","2420 - 31709","193"
"NY","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","9866 - 45239","1834"
"OH","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","23408 - 30403","1455"
"OK","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","22450 - 30352","347"
"OR","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","2543 - 32899","239"
"PA","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","6239 - 29288","1708"
"PR","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","14900 - 15612","45"
"RI","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","6832 - 35679","108"
"SC","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","23919 - 31060","357"
"SD","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","23671 - 27856","82"
"TN","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","24000 - 29542","725"
"TX","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","24687 - 31258","2000"
"UT","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","25827 - 31744","149"
"VA","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","24418 - 36580","623"
"VI","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","1060 - 1060","*"
"VT","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","37462 - 37860","37"
"WA","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","28667 - 40534","504"
"WI","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","24464 - 34215","582"
"WV","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","22121 - 27221","203"
"WY","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","24359 - 31698","22"
"AK","243","Permanent cardiac pacemaker implant w CC","20161 - 21104","74"
"AL","243","Permanent cardiac pacemaker implant w CC","12710 - 14113","817"
"AR","243","Permanent cardiac pacemaker implant w CC","13351 - 14276","618"
"AZ","243","Permanent cardiac pacemaker implant w CC","12633 - 15942","855"
"CA","243","Permanent cardiac pacemaker implant w CC","15485 - 20479","3264"
"CO","243","Permanent cardiac pacemaker implant w CC","13746 - 15591","435"
"CT","243","Permanent cardiac pacemaker implant w CC","16171 - 19489","617"
"DC","243","Permanent cardiac pacemaker implant w CC","19397 - 19837","126"
"DE","243","Permanent cardiac pacemaker implant w CC","15322 - 17444","103"
"FL","243","Permanent cardiac pacemaker implant w CC","13107 - 14662","3772"
"GA","243","Permanent cardiac pacemaker implant w CC","13744 - 15981","924"
"HI","243","Permanent cardiac pacemaker implant w CC","16991 - 19216","118"
"IA","243","Permanent cardiac pacemaker implant w CC","13572 - 14240","510"
"ID","243","Permanent cardiac pacemaker implant w CC","13459 - 14926","130"
"IL","243","Permanent cardiac pacemaker implant w CC","14379 - 16464","1805"
"IN","243","Permanent cardiac pacemaker implant w CC","13560 - 14972","990"
"KS","243","Permanent cardiac pacemaker implant w CC","12887 - 14577","402"
"KY","243","Permanent cardiac pacemaker implant w CC","13504 - 15699","685"
"LA","243","Permanent cardiac pacemaker implant w CC","12999 - 14778","675"
"MA","243","Permanent cardiac pacemaker implant w CC","15571 - 20868","953"
"MD","243","Permanent cardiac pacemaker implant w CC","14873 - 25673","648"
"ME","243","Permanent cardiac pacemaker implant w CC","15020 - 16629","242"
"MI","243","Permanent cardiac pacemaker implant w CC","14370 - 16744","1644"
"MN","243","Permanent cardiac pacemaker implant w CC","14683 - 15867","877"
"MO","243","Permanent cardiac pacemaker implant w CC","12985 - 15017","978"
"MS","243","Permanent cardiac pacemaker implant w CC","13677 - 14976","401"
"MT","243","Permanent cardiac pacemaker implant w CC","13078 - 14240","134"
